layer,f1_macro,f1_capable_failed,f1_honest_mistake,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,auroc,n_samples
0,0.6028748347998718,0.49850489602782944,0.7072447735719143,1258,0.41961307538358905,1740,0.580386924616411,788,0.20510150963040083,3054,0.7948984903695991,0.6806693705380499,6840
1,0.6195265822218391,0.5307249338485485,0.7083282305951297,1394,0.46497665110073383,1604,0.5350233488992662,855,0.22254034357105673,2987,0.7774596564289432,0.697089227949281,6840
2,0.6328118611592568,0.5555150808189833,0.7101086414995302,1503,0.5013342228152101,1495,0.4986657771847899,904,0.23529411764705882,2938,0.7647058823529411,0.713162141130108,6840
3,0.6436161256877353,0.5744702294872414,0.7127620218882293,1586,0.5290193462308206,1412,0.47098065376917947,933,0.24284226965122332,2909,0.7571577303487766,0.7178847533301014,6840
4,0.6598386070551653,0.5996366447723177,0.7200405693380129,1692,0.5643762508338893,1306,0.43562374916611074,947,0.24648620510150962,2895,0.7535137948984904,0.7318047792370834,6840
5,0.6611552137024086,0.5997280170378986,0.7225824103669185,1682,0.5610406937958639,1316,0.4389593062041361,925,0.2407600208224883,2917,0.7592399791775117,0.7385973909907534,6840
6,0.6639905484698578,0.6037888211853255,0.7241922757543902,1695,0.5653769179452969,1303,0.4346230820547031,921,0.23971889640812077,2921,0.7602811035918793,0.7442805820426596,6840
7,0.6563019483153661,0.5918281636247638,0.7207757330059685,1645,0.5486991327551701,1353,0.4513008672448299,915,0.23815720978656948,2927,0.7618427902134305,0.7371526416618439,6840
8,0.6568677638598894,0.5941267758864976,0.7196087518332812,1663,0.5547031354236157,1335,0.44529686457638423,933,0.24284226965122332,2909,0.7571577303487766,0.7358744737470554,6840
9,0.6611446284994036,0.5976359872325301,0.7246532697662771,1664,0.5550366911274183,1334,0.44496330887258173,901,0.2345132743362832,2941,0.7654867256637168,0.738357848741236,6840
10,0.667548157047976,0.6099133070687637,0.7251830070271883,1726,0.5757171447631755,1272,0.4242828552368246,933,0.24284226965122332,2909,0.7571577303487766,0.7465325384414938,6840
11,0.6671852989379408,0.614184738448477,0.7201858594274044,1768,0.5897264843228819,1230,0.41027351567711806,988,0.2571577303487767,2854,0.7428422696512234,0.753877257832794,6840
12,0.676668991294487,0.6240260496736594,0.7293119329153145,1788,0.5963975983989326,1210,0.40360240160106736,942,0.24518479958355024,2900,0.7548152004164498,0.7596546658750742,6840
13,0.6770204393234625,0.6226467167052465,0.7313941619416784,1773,0.5913942628418946,1225,0.4086057371581054,921,0.23971889640812077,2921,0.7602811035918793,0.7628866003068345,6840
14,0.679561162422222,0.6232836059784599,0.7358387188659841,1758,0.5863909272848565,1240,0.4136090727151434,884,0.23008849557522124,2958,0.7699115044247787,0.7649471508740261,6840
15,0.6854887252620028,0.635029336636386,0.7359481138876195,1826,0.609072715143429,1172,0.390927284856571,923,0.24023945861530452,2919,0.7597605413846955,0.7687258150792744,6840
16,0.6929313313645631,0.6455635037220075,0.7402991590071185,1869,0.6234156104069379,1129,0.37658438959306206,921,0.23971889640812077,2921,0.7602811035918793,0.7768367651181205,6840
17,0.6860658921022822,0.636816719998053,0.7353150642065113,1837,0.6127418278852569,1161,0.38725817211474317,933,0.24284226965122332,2909,0.7571577303487766,0.7779943255817912,6840
18,0.69065625387921,0.6434472881983467,0.7378652195600734,1865,0.6220813875917278,1133,0.3779186124082722,933,0.24284226965122332,2909,0.7571577303487766,0.7781661471366481,6840
19,0.6976745274557563,0.6512860276171117,0.7440630272944008,1887,0.6294196130753836,1111,0.3705803869246164,908,0.23633524206142634,2934,0.7636647579385737,0.7856766318768289,6840
20,0.7132336844849605,0.6708916250202891,0.7555757439496318,1959,0.6534356237491661,1039,0.3465643762508339,879,0.22878709005726183,2963,0.7712129099427382,0.7989089652631389,6840
21,0.7195642559482653,0.6797629900876649,0.7593655218088657,1997,0.6661107404936625,1001,0.3338892595063376,878,0.22852680895366997,2964,0.77147319104633,0.8019570130034037,6840
22,0.7211119440642355,0.6808552224770029,0.7613686656514682,1996,0.6657771847898599,1002,0.3342228152101401,865,0.22514315460697554,2977,0.7748568453930245,0.8056718454068758,6840
23,0.7227062039995729,0.6834700095488597,0.7619423984502859,2010,0.6704469646430954,988,0.3295530353569046,870,0.22644456012493494,2972,0.773555439875065,0.8079942596320997,6840
24,0.7159689015661572,0.6732903111088031,0.7586474920235113,1960,0.6537691794529686,1038,0.34623082054703136,860,0.22384174908901613,2982,0.7761582509109839,0.8047253420024614,6840
25,0.7160930440218932,0.6758987906268868,0.7562872974168996,1988,0.6631087391594396,1010,0.33689126084056037,892,0.23217074440395627,2950,0.7678292555960438,0.8049924572773166,6840
26,0.7148228063900479,0.6735728864079115,0.7560727263721845,1974,0.6584389593062041,1024,0.34156104069379584,885,0.23034877667881312,2957,0.7696512233211869,0.8050036953423371,6840
27,0.7132639332839282,0.6727418514856255,0.753786015082231,1980,0.6604402935290193,1018,0.33955970647098066,903,0.23503383654346693,2939,0.764966163456533,0.8033957112220037,6840
28,0.72020426419187,0.6821269491829475,0.7582815792007926,2020,0.6737825216811207,978,0.32621747831887926,899,0.23399271212909942,2943,0.7660072878709006,0.7999709196866107,6840
29,0.7154007385631282,0.6762956016608122,0.7545058754654443,1999,0.6667778519012675,999,0.33322214809873246,910,0.2368558042686101,2932,0.7631441957313899,0.7994746534207665,6840
30,0.7114520337080387,0.6706005263520414,0.752303541064036,1973,0.6581054036024016,1025,0.3418945963975984,908,0.23633524206142634,2934,0.7636647579385737,0.7996676033205673,6840
31,0.7139341231836874,0.6741145047825068,0.7537537415848681,1988,0.6631087391594396,1010,0.33689126084056037,908,0.23633524206142634,2934,0.7636647579385737,0.7988155349757318,6840
32,0.7127755549897079,0.6728126198876521,0.7527384900917636,1983,0.6614409606404269,1015,0.33855903935957304,911,0.23711608537220197,2931,0.762883914627798,0.7962979016647891,6840
33,0.710907486511881,0.6706098374931393,0.7512051355306226,1978,0.6597731821214142,1020,0.3402268178785857,918,0.23893805309734514,2924,0.7610619469026548,0.7965882450692561,6840
34,0.712178612836741,0.6715466143879021,0.7528106112855799,1975,0.6587725150100067,1023,0.34122748498999333,906,0.2358146798542426,2936,0.7641853201457575,0.797221818565864,6840
35,0.7100126871890364,0.6683345628226292,0.7516908115554436,1960,0.6537691794529686,1038,0.34623082054703136,904,0.23529411764705882,2938,0.7647058823529411,0.794109370547887,6840
36,0.7074305710406172,0.6651978546355547,0.7496632874456797,1949,0.6501000667111407,1049,0.34989993328885927,910,0.2368558042686101,2932,0.7631441957313899,0.7929744738390185,6840
37,0.7044130226834083,0.6615853201261167,0.7472407252407,1937,0.6460973982655104,1061,0.3539026017344897,918,0.23893805309734514,2924,0.7610619469026548,0.792175258632241,6840
38,0.7057158052691509,0.6620939293023594,0.7493376812359424,1931,0.6440960640426951,1067,0.35590393595730485,901,0.2345132743362832,2941,0.7654867256637168,0.7904872900494707,6840
