layer,f1_macro,f1_deception,f1_natural_deception,cm_deception_deception,cm_norm_deception_deception,cm_deception_natural_deception,cm_norm_deception_natural_deception,cm_natural_deception_deception,cm_norm_natural_deception_deception,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,auroc,n_samples
0,0.8102838423202194,0.9256606039827597,0.6949070806576791,6238,0.9704418170504044,190,0.02955818294959552,812,0.4155578300921187,1142,0.5844421699078812,0.8799253191806958,8382
1,0.8452252002114811,0.935279061067534,0.7551713393554282,6199,0.9643746110765401,229,0.035625388923459865,629,0.3219037871033777,1325,0.6780962128966224,0.9151225383163591,8382
2,0.8756685934942012,0.9467981780972685,0.8045390088911338,6237,0.9702862476664592,191,0.02971375233354076,510,0.2610030706243603,1444,0.7389969293756398,0.9434470388925993,8382
3,0.8900616549110232,0.9527310625872525,0.8273922472347939,6268,0.9751088985687617,160,0.024891101431238332,462,0.23643807574206754,1492,0.7635619242579325,0.9551391805529514,8382
4,0.8959314625712703,0.9552362783147462,0.8366266468277944,6283,0.9774424393279403,145,0.02255756067205974,444,0.22722620266120777,1510,0.7727737973387923,0.9562327795017616,8382
5,0.9984974224515029,0.9993002457632137,0.9976945991397921,6424,0.9993777224642191,4,0.0006222775357809583,5,0.00255885363357216,1949,0.9974411463664279,0.9999732905408315,8382
6,0.9988320982582991,0.9994554644467686,0.9982087320698296,6425,0.9995332918481643,3,0.0004667081518357187,4,0.0020470829068577278,1950,0.9979529170931423,0.9999481662795624,8382
7,0.9989999860567558,0.9995331949344084,0.9984667771791031,6423,0.9992221530802738,5,0.0007778469197261979,1,0.0005117707267144319,1953,0.9994882292732856,0.9999984066430873,8382
8,0.9981643848837426,0.9991443621303089,0.9971844076371763,6422,0.9990665836963286,6,0.0009334163036714375,5,0.00255885363357216,1949,0.9974411463664279,0.9999844679527502,8382
9,0.9949942420201265,0.997666574044513,0.99232190999574,6415,0.9979775980087119,13,0.0020224019912881146,17,0.008700102354145343,1937,0.9912998976458547,0.9998726545068024,8382
10,0.9782411668187547,0.9899020385941586,0.9665802950433509,6374,0.9915992532669571,54,0.008400746733042938,76,0.038894575230296824,1878,0.9611054247697032,0.9968676296049438,8382
11,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
12,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
13,0.9998330938889174,0.9999222697240576,0.9997439180537772,6428,1.0,0,0.0,1,0.0005117707267144319,1953,0.9994882292732856,1.0,8382
14,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
15,0.9996667511349098,0.9998443579530891,0.9994891443167304,6426,0.9996888612321095,2,0.00031113876789047915,0,0.0,1954,1.0,1.0,8382
16,0.9996667511349098,0.9998443579530891,0.9994891443167304,6426,0.9996888612321095,2,0.00031113876789047915,0,0.0,1954,1.0,1.0,8382
17,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
18,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
19,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
20,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
21,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
22,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
23,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
24,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
25,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
26,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
27,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
28,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
29,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
30,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
31,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
32,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
33,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
34,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
35,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
36,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
37,0.9998333907077319,0.9999222092570985,0.9997445721583652,6427,0.9998444306160548,1,0.00015556938394523958,0,0.0,1954,1.0,1.0,8382
38,0.9998333907077319,0.9999222092570985,0.9997445721583652,6427,0.9998444306160548,1,0.00015556938394523958,0,0.0,1954,1.0,1.0,8382
39,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
40,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
41,1.0,1.0,1.0,6428,1.0,0,0.0,0,0.0,1954,1.0,1.0,8382
