layer,f1_macro,f1_honest_mistake,f1_natural_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,auroc,n_samples
0,0.42014976511208774,0.7891018012215232,0.051197729002652306,3742,0.973971889640812,100,0.026028110359187923,1900,0.9723643807574207,54,0.027635619242579325,0.5681156519403604,5796
1,0.4537258642111925,0.7854972692139761,0.12195445920840886,3659,0.952368558042686,183,0.0476314419573139,1815,0.9288638689866939,139,0.07113613101330604,0.5834140010025706,5796
2,0.4503243382551096,0.7859056117962323,0.1147430647139869,3668,0.954711087975013,174,0.045288912024986985,1824,0.9334698055271239,130,0.06653019447287616,0.5824832523552889,5796
3,0.4550381521600784,0.7873346656096745,0.12274163871048238,3673,0.9560124934929725,169,0.04398750650702759,1815,0.9288638689866939,139,0.07113613101330604,0.583032362780552,5796
4,0.4693748659338284,0.7873345747371283,0.1514151571305284,3649,0.9497657470067673,193,0.05023425299323269,1778,0.90992835209826,176,0.09007164790174002,0.5835311753612401,5796
5,0.45678982300841803,0.7847080336705093,0.1288716123463267,3647,0.9492451847995835,195,0.05075481520041645,1806,0.9242579324462641,148,0.07574206755373593,0.5844510895894515,5796
6,0.4500944371025184,0.7849663497263932,0.11522252447864352,3660,0.9526288391462779,182,0.04737116085372202,1823,0.9329580348004094,131,0.06704196519959059,0.5853066058217935,5796
7,0.46343926720781714,0.7859614020744192,0.14091713234121508,3647,0.9492451847995835,195,0.05075481520041645,1791,0.9165813715455476,163,0.0834186284544524,0.5908936815608834,5796
8,0.4596320751540161,0.7871844100421085,0.1320797402659237,3664,0.9536699635606455,178,0.0463300364393545,1803,0.9227226202661207,151,0.07727737973387923,0.5889539509177988,5796
9,0.45980521119963913,0.7868320563676958,0.1327783660315825,3661,0.9528891202498698,181,0.04711087975013014,1802,0.9222108495394064,152,0.07778915046059365,0.5893601533678346,5796
10,0.47240620201514105,0.7874898754021066,0.1573225286281755,3645,0.9487246225923998,197,0.05127537740760021,1770,0.9058341862845445,184,0.09416581371545547,0.5938924945946059,5796
11,0.4654882319117706,0.7884054157316582,0.14257104809188295,3665,0.9539302446642374,177,0.04606975533576262,1790,0.9160696008188332,164,0.08393039918116683,0.5947520965049106,5796
12,0.47867691199711315,0.7883832716250757,0.16897055236915062,3642,0.9479437792816241,200,0.052056220718375845,1755,0.898157625383828,199,0.10184237461617196,0.597796534545935,5796
