layer,f1_macro,f1_capable_failed,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.6144891941939531,0.5220278102549522,0.706950578132954,1398,0.46631087391594395,1600,0.533689126084056,959,0.23690711462450592,3089,0.763092885375494,0.6865639232611358,7046
1,0.6403152165287773,0.5684693721861381,0.7121610608714166,1603,0.5346897931954636,1395,0.46531020680453633,1038,0.2564229249011858,3010,0.7435770750988142,0.703541293245189,7046
2,0.6408259889609379,0.5704793532398175,0.7111726246820583,1617,0.5393595730486991,1381,0.46064042695130086,1052,0.2598814229249012,2996,0.7401185770750988,0.7130908131742307,7046
3,0.6466551718542807,0.5753240429219395,0.7179863007866218,1618,0.5396931287525016,1380,0.4603068712474983,1008,0.2490118577075099,3040,0.7509881422924901,0.7188571471900878,7046
4,0.6396918820064885,0.565218869390014,0.7141648946229632,1580,0.5270180120080054,1418,0.47298198799199465,1012,0.25,3036,0.75,0.7129589823688489,7046
5,0.6414476337106232,0.5683777032937061,0.7145175641275403,1595,0.5320213475650434,1403,0.4679786524349566,1018,0.25148221343873517,3030,0.7485177865612648,0.7184015364159329,7046
6,0.6446691721769677,0.5732125048518906,0.7161258395020448,1614,0.5383589059372915,1384,0.4616410940627085,1018,0.25148221343873517,3030,0.7485177865612648,0.7225547018340434,7046
7,0.6437711006174289,0.5724088341557476,0.7151333670791102,1614,0.5383589059372915,1384,0.4616410940627085,1025,0.2532114624505929,3023,0.7467885375494071,0.7222139174758488,7046
8,0.6425480216258141,0.5753451842914278,0.7097508589602006,1648,0.5496997998665777,1350,0.45030020013342226,1079,0.2665513833992095,2969,0.7334486166007905,0.7189999453987811,7046
9,0.6434716722072824,0.5734059859119565,0.7135373585026084,1625,0.5420280186791194,1373,0.4579719813208806,1041,0.25716403162055335,3007,0.7428359683794467,0.7179492627786669,7046
10,0.6416136440294615,0.5701014385234711,0.7131258495354521,1609,0.5366911274182788,1389,0.46330887258172115,1035,0.2556818181818182,3013,0.7443181818181818,0.7189169965672889,7046
11,0.6452241602338844,0.5742799559752222,0.7161683644925467,1621,0.5406937958639093,1377,0.45930620413609075,1022,0.2524703557312253,3026,0.7475296442687747,0.725780799623539,7046
12,0.6555638579069596,0.5877547876996907,0.7233729281142286,1665,0.5553702468312208,1333,0.4446297531687792,999,0.2467885375494071,3049,0.7532114624505929,0.7291854967873167,7046
13,0.6637281973897087,0.6008421287809048,0.7266142659985126,1723,0.5747164776517678,1275,0.42528352234823213,1011,0.24975296442687747,3037,0.7502470355731226,0.7352218317117504,7046
14,0.6603877410637741,0.5954619876492405,0.7253134944783076,1698,0.5663775850567044,1300,0.4336224149432955,1005,0.2482707509881423,3043,0.7517292490118577,0.7374669292384389,7046
15,0.6595027158221587,0.5966876846188403,0.7223177470254771,1716,0.5723815877251501,1282,0.4276184122748499,1035,0.2556818181818182,3013,0.7443181818181818,0.7399142250059876,7046
16,0.6609328820081111,0.6010900429345366,0.7207757210816855,1745,0.5820547031354236,1253,0.4179452968645764,1061,0.26210474308300397,2987,0.7378952569169961,0.743884266778009,7046
17,0.6703470015796822,0.6110329975019628,0.7296610056574016,1767,0.5893929286190794,1231,0.4106070713809206,1016,0.2509881422924901,3032,0.7490118577075099,0.7453393550106184,7046
18,0.6672235312260397,0.6091194913208884,0.7253275711311911,1772,0.5910607071380921,1226,0.40893929286190794,1047,0.2586462450592885,3001,0.7413537549407114,0.7451301855852936,7046
19,0.6662846890433464,0.6078758396791657,0.724693538407527,1768,0.5897264843228819,1230,0.41027351567711806,1049,0.25914031620553357,2999,0.7408596837944664,0.7473795830242078,7046
20,0.6581814878509216,0.5943798514914954,0.7219831242103476,1705,0.5687124749833222,1293,0.4312875250166778,1031,0.25469367588932806,3017,0.745306324110672,0.7457996254955592,7046
