layer,f1_macro,f1_natural_deception,f1_truth,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.5443418020622073,0.2877218834490113,0.8009617206754033,377,0.19293756397134085,1577,0.8070624360286591,290,0.0716403162055336,3758,0.9283596837944664,0.6634391234358454,6002
1,0.5821139763053047,0.35761109625058307,0.8066168563600264,497,0.25435005117707266,1457,0.7456499488229273,327,0.0807806324110672,3721,0.9192193675889329,0.6904297383361724,6002
2,0.6090772327450704,0.40938776447814823,0.8087667010119926,601,0.3075742067553736,1353,0.6924257932446264,381,0.09412055335968379,3667,0.9058794466403162,0.7158718998913789,6002
3,0.6180238517503318,0.4223983511472317,0.8136493523534319,619,0.31678607983623336,1335,0.6832139201637666,356,0.08794466403162056,3692,0.9120553359683794,0.7256815663748054,6002
4,0.6340630757229941,0.4539958587351164,0.8141302927108718,692,0.3541453428863869,1262,0.6458546571136131,402,0.09930830039525691,3646,0.900691699604743,0.7396728727595556,6002
5,0.6234859037272942,0.43580196522194486,0.8111698422326434,656,0.33572159672466734,1298,0.6642784032753326,400,0.09881422924901186,3648,0.9011857707509882,0.7348497550278424,6002
6,0.6374835332448812,0.45562076041243926,0.8193463060773232,682,0.3490276356192426,1272,0.6509723643807575,356,0.08794466403162056,3692,0.9120553359683794,0.7437960773589701,6002
7,0.6370002890868638,0.45670759494233487,0.8172929832313928,691,0.35363357215967245,1263,0.6463664278403275,378,0.09337944664031621,3670,0.9066205533596838,0.749820725106362,6002
8,0.6475075242607469,0.474864209807761,0.8201508387137327,727,0.372057318321392,1227,0.627942681678608,381,0.09412055335968379,3667,0.9058794466403162,0.7536622673497502,6002
9,0.6503072434799311,0.48017318985864665,0.8204412971012154,740,0.37871033776867963,1214,0.6212896622313203,388,0.0958498023715415,3660,0.9041501976284585,0.7541813754694549,6002
10,0.660737857367268,0.49982456344918136,0.8216511512853547,789,0.4037871033776868,1165,0.5962128966223132,413,0.10202569169960474,3635,0.8979743083003953,0.7636987100810808,6002
11,0.6700939287510144,0.5163667361711834,0.8238211213308452,827,0.4232343909928352,1127,0.5767656090071648,423,0.10449604743083003,3625,0.8955039525691699,0.7683149332199148,6002
12,0.6794635869820286,0.5329897833433164,0.8259373906207408,868,0.44421699078812693,1086,0.5557830092118731,436,0.10770750988142293,3612,0.892292490118577,0.7795111744821304,6002
13,0.6866802230126663,0.5430224742621552,0.8303379717631774,882,0.45138178096212894,1072,0.548618219037871,413,0.10202569169960474,3635,0.8979743083003953,0.7867969140440441,6002
14,0.6845350497497924,0.539299361215302,0.8297707382842828,874,0.44728761514841353,1080,0.5527123848515865,412,0.10177865612648221,3636,0.8982213438735178,0.7898155652743679,6002
