layer,f1_macro,f1_capable_failed,f1_deception,f1_deception_rejection,f1_honest_mistake,f1_natural_deception,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_deception,cm_norm_capable_failed_deception,cm_capable_failed_deception_rejection,cm_norm_capable_failed_deception_rejection,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_capable_failed_natural_deception,cm_norm_capable_failed_natural_deception,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_deception_capable_failed,cm_norm_deception_capable_failed,cm_deception_deception,cm_norm_deception_deception,cm_deception_deception_rejection,cm_norm_deception_deception_rejection,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_natural_deception,cm_norm_deception_natural_deception,cm_deception_truth,cm_norm_deception_truth,cm_deception_rejection_capable_failed,cm_norm_deception_rejection_capable_failed,cm_deception_rejection_deception,cm_norm_deception_rejection_deception,cm_deception_rejection_deception_rejection,cm_norm_deception_rejection_deception_rejection,cm_deception_rejection_honest_mistake,cm_norm_deception_rejection_honest_mistake,cm_deception_rejection_natural_deception,cm_norm_deception_rejection_natural_deception,cm_deception_rejection_truth,cm_norm_deception_rejection_truth,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_deception_rejection,cm_norm_honest_mistake_deception_rejection,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_natural_deception_capable_failed,cm_norm_natural_deception_capable_failed,cm_natural_deception_deception,cm_norm_natural_deception_deception,cm_natural_deception_deception_rejection,cm_norm_natural_deception_deception_rejection,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_deception,cm_norm_truth_deception,cm_truth_deception_rejection,cm_norm_truth_deception_rejection,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth
0,0.2945368955174108,0.32919131613049546,0.7236114700895548,0.0,0.39657171031761396,0.00399266833759399,0.31385420822920684,851,0.28385590393595733,688,0.2294863242161441,0,0.0,883,0.29452968645763844,6,0.0020013342228152103,570,0.19012675116744496,30,0.004667081518357187,5787,0.9002800248911015,0,0.0,190,0.02955818294959552,5,0.0007778469197261979,416,0.06471686372121967,1,0.0072992700729927005,116,0.8467153284671532,0,0.0,9,0.06569343065693431,0,0.0,11,0.08029197080291971,496,0.1290994273815721,1027,0.26730869338886,0,0.0,1647,0.4286829776158251,14,0.003643935450286309,658,0.17126496616345654,224,0.11463664278403275,579,0.2963152507676561,0,0.0,771,0.394575230296827,4,0.0020470829068577278,376,0.19242579324462641,571,0.14105731225296442,1371,0.33868577075098816,0,0.0,964,0.2381422924901186,10,0.0024703557312252965,1132,0.27964426877470355
1,0.3175716498107109,0.34780918035584785,0.7549743193201959,0.0,0.4345623581114809,0.02041043311523246,0.3476736079615083,943,0.31454302868579054,496,0.16544362908605736,0,0.0,926,0.30887258172114745,14,0.004669779853235491,619,0.20647098065376918,49,0.007622899813316739,5604,0.8718108276291225,0,0.0,255,0.03967019290603609,7,0.0010889856876166771,513,0.07980709396390791,2,0.014598540145985401,109,0.7956204379562044,0,0.0,13,0.0948905109489051,1,0.0072992700729927005,12,0.08759124087591241,560,0.14575741801145237,679,0.176730869338886,0,0.0,1900,0.49453409682457056,31,0.008068714211348256,672,0.17490890161374284,259,0.13254861821903788,396,0.20266120777891505,0,0.0,856,0.43807574206755373,21,0.010747185261003071,422,0.21596724667349027,608,0.15019762845849802,1134,0.2801383399209486,0,0.0,951,0.2349308300395257,32,0.007905138339920948,1323,0.3268280632411067
2,0.3349276197326017,0.36300446122709684,0.7837838523975139,0.012903225806451613,0.4552069968652882,0.023188858668447422,0.37147832343081244,989,0.3298865910607071,414,0.1380920613742495,1,0.000333555703802535,900,0.3002001334222815,13,0.004336224149432955,681,0.22715143428952636,47,0.00731176104542626,5710,0.888301182327318,3,0.0004667081518357187,146,0.02271313005600498,11,0.0017112632233976354,511,0.07949595519601742,1,0.0072992700729927005,111,0.8102189781021898,1,0.0072992700729927005,8,0.058394160583941604,0,0.0,16,0.11678832116788321,537,0.13977095262883915,539,0.1402915148360229,0,0.0,1954,0.508589276418532,36,0.009370119729307652,776,0.20197813638729828,243,0.12436028659160696,326,0.1668372569089048,0,0.0,881,0.4508700102354145,24,0.012282497441146366,480,0.24564994882292732,634,0.1566205533596838,1043,0.2576581027667984,1,0.00024703557312252963,853,0.2107213438735178,30,0.007411067193675889,1487,0.3673418972332016
3,0.3444385372449219,0.37142253671302494,0.8074742198698432,0.0,0.4582000499113959,0.025994729659449944,0.40353968731581713,1026,0.34222815210140095,375,0.12508338892595064,0,0.0,835,0.27851901267511675,8,0.00266844563042028,754,0.2515010006671114,58,0.009023024268823895,5807,0.9033914125700062,1,0.00015556938394523958,100,0.015556938394523958,6,0.0009334163036714375,456,0.07093963907902924,3,0.021897810218978103,113,0.8248175182481752,0,0.0,4,0.029197080291970802,0,0.0,17,0.12408759124087591,556,0.14471629359708485,470,0.12233211868818324,0,0.0,1908,0.4966163456533056,43,0.011192087454450807,865,0.22514315460697554,242,0.12384851586489252,285,0.1458546571136131,0,0.0,863,0.44165813715455476,27,0.013817809621289662,537,0.27482088024564993,641,0.1583498023715415,907,0.2240612648221344,1,0.00024703557312252963,775,0.19145256916996048,35,0.008646245059288538,1689,0.4172430830039526
4,0.3522635807297132,0.36889090094780225,0.8032352592342461,0.025,0.47126116052694733,0.05519457194522792,0.38999959172405607,1010,0.33689126084056037,394,0.1314209472981988,0,0.0,784,0.26150767178118745,28,0.009339559706470981,782,0.2608405603735824,34,0.005289359054138146,5827,0.9065028002489111,5,0.0007778469197261979,84,0.013067828251400125,15,0.0023335407591785935,463,0.07202862476664593,2,0.014598540145985401,108,0.7883211678832117,2,0.014598540145985401,4,0.029197080291970802,0,0.0,21,0.15328467153284672,540,0.14055179593961478,468,0.12181155648099948,0,0.0,1948,0.5070275897969807,61,0.015877147319104633,825,0.21473191046330037,238,0.1218014329580348,295,0.15097236438075742,1,0.0005117707267144319,862,0.44114636642784033,60,0.030706243602865915,498,0.2548618219037871,653,0.16131422924901187,989,0.24431818181818182,1,0.00024703557312252963,742,0.183300395256917,55,0.01358695652173913,1608,0.39723320158102765
5,0.40682668024344704,0.39384202259332624,0.971552901137791,0.027586206896551724,0.4909927559267069,0.05025170979199785,0.5067344851143087,1116,0.3722481654436291,4,0.00133422281521014,0,0.0,862,0.2875250166777852,27,0.009006004002668445,989,0.3298865910607071,1,0.00015556938394523958,6319,0.9830429371499689,6,0.0009334163036714375,2,0.00031113876789047915,0,0.0,100,0.015556938394523958,0,0.0,135,0.9854014598540146,2,0.014598540145985401,0,0.0,0,0.0,0,0.0,595,0.15486725663716813,5,0.0013014055179593961,0,0.0,2113,0.5499739718896408,64,0.01665799062988027,1065,0.2771993753253514,265,0.13561924257932445,1,0.0005117707267144319,0,0.0,940,0.481064483111566,54,0.027635619242579325,694,0.35516888433981575,691,0.170701581027668,116,0.02865612648221344,0,0.0,847,0.20923913043478262,54,0.0133399209486166,2340,0.5780632411067194
6,0.40596361123208774,0.39870991520606147,0.9710591116615529,0.013793103448275862,0.49997515774971335,0.03588823162866662,0.5163561476982566,1121,0.3739159439626418,4,0.00133422281521014,0,0.0,851,0.28385590393595733,19,0.0063375583722481655,1003,0.33455637091394264,2,0.00031113876789047915,6308,0.9813316739265713,3,0.0004667081518357187,2,0.00031113876789047915,0,0.0,113,0.017579340385812072,0,0.0,136,0.9927007299270073,1,0.0072992700729927005,0,0.0,0,0.0,0,0.0,582,0.15148360229047372,6,0.0015616866215512754,0,0.0,2166,0.5637688703800104,52,0.01353461738677772,1036,0.2696512233211869,251,0.1284544524053224,2,0.0010235414534288639,0,0.0,972,0.49744114636642783,38,0.019447287615148412,691,0.35363357215967245,667,0.16477272727272727,108,0.0266798418972332,0,0.0,829,0.2047924901185771,46,0.011363636363636364,2398,0.592391304347826
7,0.4019118131932414,0.38754173284415055,0.9710508400773351,0.0,0.4948374053824895,0.04561520773544806,0.5124256931200251,1094,0.36490993995997334,2,0.00066711140760507,0,0.0,888,0.2961974649766511,14,0.004669779853235491,1000,0.333555703802535,4,0.0006222775357809583,6307,0.981176104542626,1,0.00015556938394523958,2,0.00031113876789047915,0,0.0,114,0.01773490976975731,0,0.0,137,1.0,0,0.0,0,0.0,0,0.0,0,0.0,585,0.15226444560124935,3,0.0007808433107756377,0,0.0,2151,0.5598646538261323,52,0.01353461738677772,1051,0.2735554398750651,273,0.13971340839303992,0,0.0,0,0.0,972,0.49744114636642783,48,0.02456499488229273,661,0.3382804503582395,691,0.170701581027668,113,0.027915019762845848,0,0.0,840,0.2075098814229249,36,0.008893280632411068,2368,0.5849802371541502
8,0.4068366393004898,0.38203731486104286,0.9717051325376685,0.027126436781609198,0.49097607388936293,0.058885302645403745,0.5102895750878518,1073,0.3579052701801201,2,0.00066711140760507,0,0.0,890,0.2968645763842562,21,0.007004669779853236,1012,0.33755837224816543,5,0.0007778469197261979,6320,0.9831985065339142,2,0.00031113876789047915,0,0.0,0,0.0,101,0.015712507778469196,0,0.0,135,0.9854014598540146,2,0.014598540145985401,0,0.0,0,0.0,0,0.0,586,0.15252472670484124,3,0.0007808433107756377,0,0.0,2140,0.5570015616866215,80,0.020822488287350338,1033,0.26887038001041125,262,0.13408393039918118,1,0.0005117707267144319,0,0.0,1000,0.5117707267144319,64,0.032753326509723645,627,0.3208802456499488,694,0.17144268774703558,119,0.029397233201581028,0,0.0,846,0.20899209486166007,52,0.012845849802371542,2337,0.5773221343873518
9,0.4091584158167443,0.3847509188677305,0.9650529119416837,0.04095238095238095,0.4967729284716359,0.06010028235331687,0.5073210723137179,1073,0.3579052701801201,21,0.007004669779853236,0,0.0,857,0.2858572381587725,22,0.00733822548365577,1025,0.3418945963975984,6,0.0009334163036714375,6296,0.9794648413192284,5,0.0007778469197261979,7,0.0010889856876166771,1,0.00015556938394523958,113,0.017579340385812072,1,0.0072992700729927005,133,0.9708029197080292,3,0.021897810218978103,0,0.0,0,0.0,0,0.0,559,0.14549713690786048,18,0.004685059864653826,1,0.0002602811035918792,2157,0.5614263404476835,69,0.017959396147839667,1038,0.2701717855283706,258,0.13203684749232344,8,0.0040941658137154556,0,0.0,986,0.5046059365404298,65,0.03326509723643808,637,0.32599795291709316,682,0.16847826086956522,144,0.03557312252964427,0,0.0,836,0.20652173913043478,54,0.0133399209486166,2332,0.5760869565217391
