layer,f1_macro,f1_capable_failed,f1_honest_mistake,f1_natural_deception,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_capable_failed_natural_deception,cm_norm_capable_failed_natural_deception,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_natural_deception_capable_failed,cm_norm_natural_deception_capable_failed,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth
0,0.3199766992194202,0.3496046431970952,0.45347274069209265,0.006991036656408256,0.46983837633208464,918,0.30620413609072716,1083,0.36124082721814543,7,0.0023348899266177454,990,0.33022014676450967,522,0.13586673607496097,2141,0.5572618427902134,10,0.0026028110359187923,1169,0.3042686100989068,244,0.12487205731832139,1026,0.5250767656090072,7,0.0035823950870010235,677,0.34646878198567044,569,0.14056324110671936,1349,0.3332509881422925,15,0.0037055335968379445,2115,0.5224802371541502
1,0.33817470625203827,0.3573997053668517,0.4671318420878687,0.03249282571440902,0.4956744518390236,978,0.32621747831887926,1105,0.3685790527018012,13,0.004336224149432955,902,0.3008672448298866,590,0.15356585111920876,2162,0.5627277459656429,36,0.009370119729307652,1054,0.2743362831858407,262,0.13408393039918118,985,0.5040941658137155,34,0.017400204708290685,673,0.3444216990788127,642,0.15859683794466403,1161,0.2868083003952569,45,0.011116600790513834,2200,0.5434782608695652
2,0.3479854986973915,0.37182376926140187,0.4794763682984661,0.02404565542859014,0.5165962018011077,1024,0.34156104069379584,1013,0.337891927951968,13,0.004336224149432955,948,0.3162108072048032,570,0.14836022904737117,2153,0.560385216033316,41,0.010671525247267048,1078,0.2805830296720458,272,0.13920163766632548,961,0.49181166837256907,25,0.0127942681678608,696,0.3561924257932446,640,0.15810276679841898,1012,0.25,38,0.009387351778656126,2358,0.5825098814229249
3,0.35230864755367547,0.37455286462137505,0.47504817011707334,0.03264381592409031,0.5269897395521632,1059,0.3532354903268846,921,0.3072048032021348,20,0.0066711140760507,998,0.33288859239492996,624,0.16241540864133264,2042,0.5314940135346173,37,0.009630400832899531,1139,0.29646017699115046,280,0.14329580348004095,932,0.47697031729785055,34,0.017400204708290685,708,0.3623336745138178,692,0.17094861660079053,860,0.2124505928853755,30,0.007411067193675889,2466,0.6091897233201581
4,0.3638191008529319,0.3798098011408322,0.48481916403179215,0.060003649161140496,0.5306437890779626,1055,0.35190126751167444,864,0.28819212808539024,28,0.009339559706470981,1051,0.3505670446964643,590,0.15356585111920876,2062,0.536699635606455,76,0.01978136387298282,1114,0.28995314940135347,238,0.1218014329580348,939,0.4805527123848516,66,0.033776867963152504,711,0.3638689866939611,672,0.16600790513833993,800,0.1976284584980237,76,0.018774703557312252,2500,0.6175889328063241
5,0.3641187799948207,0.38743440676976715,0.49275189972235056,0.050013876465448234,0.5262749370217168,1094,0.36490993995997334,864,0.28819212808539024,29,0.009673115410273516,1011,0.3372248165443629,582,0.15148360229047372,2120,0.551795939614784,63,0.01639770952628839,1077,0.2803227485684539,271,0.13868986693961105,931,0.4764585465711361,54,0.027635619242579325,698,0.3572159672466735,701,0.17317193675889328,847,0.20923913043478262,60,0.014822134387351778,2440,0.6027667984189723
6,0.3630437168150667,0.3842278319085398,0.4952289675779876,0.03578932828578463,0.5369287394879547,1081,0.3605737158105404,877,0.2925283522348232,18,0.00600400266844563,1022,0.3408939292861908,594,0.15460697553357627,2140,0.5570015616866215,59,0.015356585111920874,1049,0.2730348776678813,274,0.14022517911975435,956,0.48925281473899696,38,0.019447287615148412,686,0.3510747185261003,680,0.16798418972332016,827,0.204298418972332,44,0.010869565217391304,2497,0.6168478260869565
7,0.36519698099399145,0.38244523191103585,0.4959602667076372,0.04387011048815314,0.5385123148691395,1082,0.3609072715143429,892,0.29753168779186123,13,0.004336224149432955,1011,0.3372248165443629,602,0.1566892243623113,2154,0.5606454971369078,44,0.011452368558042686,1042,0.27121290994273817,278,0.14227226202661208,973,0.49795291709314227,46,0.02354145342886387,657,0.33623336745138177,697,0.17218379446640317,825,0.20380434782608695,36,0.008893280632411068,2490,0.6151185770750988
8,0.36730980032964333,0.3840470943131856,0.49196290017258154,0.05828378846612379,0.5349454183666823,1083,0.36124082721814543,888,0.2961974649766511,21,0.007004669779853236,1006,0.33555703802535025,588,0.15304528891202498,2146,0.5585632483081728,70,0.018219677251431546,1038,0.2701717855283706,256,0.13101330603889458,1007,0.515353121801433,63,0.03224155578300921,628,0.32139201637666326,706,0.17440711462450592,843,0.20825098814229248,45,0.011116600790513834,2454,0.6062252964426877
9,0.3696347174538984,0.38259739729273257,0.49923992443200244,0.0635378232115847,0.5331637248792738,1067,0.35590393595730485,859,0.28652434956637757,25,0.008338892595063376,1047,0.34923282188125415,560,0.14575741801145237,2166,0.5637688703800104,69,0.017959396147839667,1047,0.27251431546069754,255,0.13050153531218014,979,0.5010235414534289,69,0.035312180143295804,651,0.33316274309109517,693,0.17119565217391305,833,0.2057806324110672,53,0.013092885375494072,2469,0.6099308300395256
10,0.37450740163453455,0.3798262843633876,0.5051112977773469,0.06600519861629273,0.547086825781111,1057,0.3525683789192795,848,0.2828552368245497,19,0.0063375583722481655,1074,0.35823882588392264,568,0.1478396668401874,2182,0.5679333680374805,75,0.019521082769390942,1017,0.2647058823529412,257,0.131525076765609,1002,0.5127942681678608,72,0.0368474923234391,623,0.3188331627430911,686,0.16946640316205533,766,0.1892292490118577,50,0.012351778656126482,2546,0.6289525691699605
11,0.37392905018279565,0.3830147254836572,0.5099046787096745,0.05235089722416462,0.5504458993136863,1092,0.3642428285523682,822,0.2741827885256838,24,0.008005336891260841,1060,0.3535690460306871,621,0.161634565330557,2191,0.5702758979698074,58,0.015096304008328995,972,0.25299323269130664,274,0.14022517911975435,990,0.5066530194472876,56,0.028659160696008188,634,0.32446264073694986,714,0.17638339920948617,749,0.1850296442687747,36,0.008893280632411068,2549,0.629693675889328
12,0.3858646293647457,0.3905544949867143,0.5197767789743153,0.06772837234738802,0.5653988711505651,1098,0.36624416277518346,864,0.28819212808539024,10,0.00333555703802535,1026,0.34222815210140095,598,0.1556480999479438,2248,0.5851119208745446,82,0.021343050494534097,914,0.23789692868297763,237,0.12128966223132037,997,0.5102354145342887,74,0.037871033776867964,646,0.330603889457523,687,0.16971343873517786,698,0.1724308300395257,49,0.012104743083003952,2614,0.6457509881422925
13,0.39178245821065294,0.39313971592961516,0.5288954471159075,0.07125876093483585,0.5738359088622532,1103,0.36791194129419613,871,0.29052701801200803,19,0.0063375583722481655,1005,0.3352234823215477,579,0.15070275897969806,2296,0.5976054138469548,80,0.020822488287350338,887,0.23086933888599687,240,0.12282497441146366,1006,0.5148413510747185,78,0.03991811668372569,630,0.3224155578300921,687,0.16971343873517786,667,0.16477272727272727,51,0.012598814229249012,2643,0.6529150197628458
14,0.389968235688448,0.3864173730047235,0.5316406625371463,0.06642546900926094,0.5753894382026614,1073,0.3579052701801201,891,0.29719813208805873,15,0.005003335557038025,1019,0.33989326217478316,579,0.15070275897969806,2333,0.6072358146798542,74,0.019260801665799063,856,0.22280062467464862,237,0.12128966223132037,1021,0.522517911975435,72,0.0368474923234391,624,0.3193449334698055,666,0.16452569169960474,689,0.1702075098814229,49,0.012104743083003952,2644,0.6531620553359684
15,0.3903655358212531,0.39854549715643317,0.5275677474022638,0.06449695625499723,0.5708519424713183,1131,0.3772515010006671,833,0.2778519012675117,16,0.00533689126084056,1018,0.33955970647098066,608,0.15825091098386257,2269,0.5905778240499739,71,0.018479958355023425,894,0.23269130661114004,249,0.12743091095189354,990,0.5066530194472876,70,0.03582395087001024,645,0.33009211873080857,686,0.16946640316205533,668,0.1650197628458498,56,0.01383399209486166,2638,0.6516798418972332
16,0.39810788322822116,0.39780643757880696,0.5378842553982242,0.07868329954046197,0.5780575403953916,1129,0.37658438959306206,844,0.28152101400933954,19,0.0063375583722481655,1006,0.33555703802535025,587,0.1527850078084331,2352,0.6121811556480999,86,0.022384174908901613,817,0.21264966163456533,246,0.12589559877175024,1031,0.5276356192425793,86,0.044012282497441144,591,0.3024564994882293,714,0.17638339920948617,675,0.16674901185770752,32,0.007905138339920948,2627,0.6489624505928854
17,0.3983419054063864,0.4067102334140952,0.5426127485770271,0.06308017214917158,0.5809644674852519,1149,0.38325550366911276,844,0.28152101400933954,19,0.0063375583722481655,986,0.32888592394929955,565,0.14705882352941177,2387,0.6212909942738157,63,0.01639770952628839,827,0.2152524726704841,247,0.12640736949846468,1048,0.5363357215967247,68,0.03480040941658137,591,0.3024564994882293,689,0.1702075098814229,677,0.16724308300395258,40,0.009881422924901186,2642,0.6526679841897233
18,0.4005005280152191,0.4036499898765931,0.5436078379603464,0.0710579773650917,0.5836863068588454,1143,0.38125416944629753,849,0.2831887925283522,23,0.007671781187458306,983,0.32788525683789194,577,0.15018219677251432,2394,0.6231129619989588,85,0.022123893805309734,786,0.20458094742321709,254,0.1299897645854657,1045,0.5348004094165814,78,0.03991811668372569,577,0.2952917093142272,686,0.16946640316205533,678,0.1674901185770751,49,0.012104743083003952,2635,0.6509387351778656
19,0.41042418368745825,0.41231567796332885,0.5523555351015735,0.0852346619425783,0.5917908597423521,1175,0.39192795196797864,830,0.2768512341561041,22,0.00733822548365577,971,0.32388258839226153,571,0.14862051015096303,2431,0.6327433628318584,83,0.021603331598125976,757,0.19703279541905258,249,0.12743091095189354,1062,0.5435005117707267,94,0.048106448311156604,549,0.28096212896622313,707,0.17465415019762845,637,0.1573616600790514,46,0.011363636363636364,2658,0.6566205533596838
20,0.42154847658520544,0.4111277134500904,0.5657216360491235,0.10517537365498653,0.6041691831866215,1160,0.3869246164109406,803,0.26784523015343564,23,0.007671781187458306,1012,0.33755837224816543,554,0.1441957313899011,2506,0.6522644456012493,100,0.026028110359187923,682,0.17751171264966165,228,0.11668372569089049,1118,0.5721596724667349,119,0.0609007164790174,489,0.2502558853633572,703,0.17366600790513834,590,0.14575098814229248,58,0.01432806324110672,2697,0.6662549407114624
21,0.4264387287500344,0.41253344529460206,0.5637674956960492,0.12655299066860382,0.6029009833408826,1173,0.3912608405603736,762,0.2541694462975317,35,0.011674449633088725,1028,0.342895263509006,559,0.14549713690786048,2475,0.644195731389901,125,0.0325351379489849,683,0.1777719937532535,244,0.12487205731832139,1109,0.567553735926305,147,0.0752302968270215,454,0.2323439099283521,711,0.1756422924901186,592,0.14624505928853754,64,0.015810276679841896,2681,0.662302371541502
22,0.42834765941477004,0.42217784061261393,0.5671739157844455,0.1200260550905603,0.6040128261714603,1195,0.39859906604402934,768,0.2561707805203469,21,0.007004669779853236,1014,0.3382254836557705,530,0.137948984903696,2512,0.6538261322228006,101,0.026288391462779802,699,0.18193649141072357,233,0.11924257932446264,1133,0.5798362333674514,136,0.06960081883316274,452,0.23132036847492324,705,0.1741600790513834,603,0.14896245059288538,52,0.012845849802371542,2688,0.6640316205533597
23,0.4298551198537326,0.41719366885586434,0.5704745753107909,0.12643728071947619,0.6053149545287988,1188,0.3962641761174116,787,0.26250833889259506,21,0.007004669779853236,1002,0.3342228152101401,535,0.13925039042165538,2522,0.6564289432587194,123,0.032014575741801145,662,0.17230609057782406,261,0.13357215967246674,1092,0.5588536335721597,146,0.07471852610030706,455,0.23285568065506654,712,0.17588932806324112,597,0.1474802371541502,63,0.015563241106719368,2676,0.6610671936758893
24,0.4295533107565266,0.41658002948187783,0.5685296912388825,0.12708448341850578,0.60601903888684,1183,0.39459639759839893,805,0.2685123415610407,17,0.005670446964643095,993,0.3312208138759173,542,0.14107235814679855,2523,0.6566892243623113,113,0.029411764705882353,664,0.1728266527850078,245,0.1253838280450358,1110,0.5680655066530195,146,0.07471852610030706,453,0.23183213920163767,710,0.17539525691699603,594,0.14673913043478262,67,0.016551383399209488,2677,0.6613142292490118
25,0.4327785026972727,0.4155985125334515,0.5675963630841752,0.13712723320121958,0.6107919019702446,1179,0.3932621747831888,802,0.2675116744496331,25,0.008338892595063376,992,0.33088725817211473,544,0.1415929203539823,2507,0.6525247267048412,131,0.03409682457053618,660,0.1717855283706403,250,0.12794268167860798,1107,0.5665301944728761,161,0.08239508700102355,436,0.22313203684749233,703,0.17366600790513834,575,0.14204545454545456,72,0.017786561264822136,2698,0.666501976284585
26,0.4352106704134973,0.4102032439664668,0.5704940759844026,0.14892581526094284,0.611219546442177,1143,0.38125416944629753,795,0.26517678452301535,25,0.008338892595063376,1035,0.34523015343562374,529,0.13768870380010412,2512,0.6538261322228006,121,0.031494013534617386,680,0.17699115044247787,238,0.1218014329580348,1081,0.553224155578301,175,0.08955987717502559,460,0.23541453428863868,664,0.16403162055335968,574,0.141798418972332,71,0.017539525691699604,2739,0.6766304347826086
27,0.4272368317849031,0.40604758052734996,0.5680287339511146,0.13160417699187826,0.6032668356692698,1133,0.3779186124082722,808,0.2695130086724483,23,0.007671781187458306,1034,0.34489659773182124,535,0.13925039042165538,2515,0.6546069755335763,106,0.027589796980739198,686,0.17855283706402916,244,0.12487205731832139,1088,0.5568065506653019,153,0.07830092118730808,469,0.24002047082906858,669,0.16526679841897232,600,0.1482213438735178,85,0.02099802371541502,2694,0.6655138339920948
28,0.4243577589059898,0.4149026037247839,0.5621040526503277,0.12784422140562618,0.5925801578432214,1168,0.3895930620413609,757,0.252501667778519,33,0.011007338225483656,1040,0.3468979319546364,529,0.13768870380010412,2464,0.6413326392503904,119,0.030973451327433628,730,0.19000520562207185,247,0.12640736949846468,1073,0.5491299897645855,149,0.07625383828045036,485,0.24820880245649948,688,0.16996047430830039,629,0.15538537549407114,77,0.019021739130434784,2654,0.6556324110671937
29,0.42149609499377777,0.4058984811723829,0.5609140934859376,0.12650981820556823,0.5926619871112224,1139,0.3799199466310874,795,0.26517678452301535,30,0.01000667111407605,1034,0.34489659773182124,524,0.13638729828214471,2478,0.6449765747006767,126,0.03279541905257678,714,0.18584070796460178,253,0.12947799385875128,1085,0.5552712384851587,148,0.07574206755373593,468,0.23950870010235414,697,0.17218379446640317,635,0.15686758893280633,78,0.019268774703557312,2638,0.6516798418972332
30,0.42416581236439493,0.4126809936679541,0.5643924407943001,0.12503454952280618,0.5945552654725195,1154,0.38492328218812544,792,0.26417611741160774,29,0.009673115410273516,1023,0.34122748498999333,500,0.1301405517959396,2492,0.648620510150963,121,0.031494013534617386,729,0.18974492451847996,239,0.12231320368474924,1086,0.5557830092118731,145,0.07420675537359263,484,0.24769703172978505,701,0.17317193675889328,618,0.15266798418972333,70,0.017292490118577076,2659,0.6568675889328063
31,0.42892093873943826,0.42036971565181236,0.5643364608160101,0.13401526123310686,0.5969623172568237,1192,0.3975983989326217,792,0.26417611741160774,22,0.00733822548365577,992,0.33088725817211473,526,0.1369078604893285,2490,0.6480999479437792,104,0.02706923477355544,722,0.18792295679333682,252,0.12896622313203684,1075,0.5501535312180144,154,0.07881269191402251,473,0.2420675537359263,703,0.17366600790513834,625,0.15439723320158102,67,0.016551383399209488,2653,0.6553853754940712
32,0.4212879323146332,0.41201029900975633,0.5608770911155945,0.12094213431226512,0.5913222048209168,1164,0.3882588392261508,805,0.2685123415610407,29,0.009673115410273516,1000,0.333555703802535,519,0.1350858927641853,2484,0.646538261322228,120,0.031233732431025507,719,0.18714211348256116,239,0.12231320368474924,1100,0.5629477993858751,140,0.07164790174002048,475,0.24309109518935518,729,0.1800889328063241,626,0.15464426877470355,73,0.018033596837944664,2620,0.6472332015810277
33,0.4226967894615934,0.409159255247834,0.5596055317496009,0.1251309629080784,0.5968914079408604,1154,0.38492328218812544,805,0.2685123415610407,29,0.009673115410273516,1010,0.33689126084056037,539,0.1402915148360229,2477,0.6447162935970848,119,0.030973451327433628,707,0.1840187402394586,250,0.12794268167860798,1097,0.5614124872057318,145,0.07420675537359263,462,0.23643807574206754,697,0.17218379446640317,632,0.15612648221343872,70,0.017292490118577076,2649,0.654397233201581
34,0.42379529047575754,0.4063723528625566,0.5580035392735742,0.13559339028381476,0.5952118794830847,1148,0.3829219479653102,816,0.27218145430286855,29,0.009673115410273516,1005,0.3352234823215477,535,0.13925039042165538,2465,0.6415929203539823,121,0.031494013534617386,721,0.18766267568974493,260,0.1330603889457523,1079,0.5522006141248721,158,0.08085977482088025,457,0.2338792221084954,707,0.17465415019762845,632,0.15612648221343872,69,0.017045454545454544,2640,0.6521739130434783
35,0.4214067235739491,0.4098452028324637,0.5546978717703304,0.12933610675324028,0.5917477129397619,1157,0.385923949299533,808,0.2695130086724483,28,0.009339559706470981,1005,0.3352234823215477,544,0.1415929203539823,2459,0.640031233732431,116,0.03019260801665799,723,0.18818323789692867,237,0.12128966223132037,1105,0.5655066530194472,150,0.0767656090071648,462,0.23643807574206754,708,0.17490118577075098,651,0.16082015810276679,68,0.016798418972332016,2621,0.6474802371541502
36,0.41978710008261516,0.4075552306587573,0.5560072688489568,0.12178441754340963,0.5938014832793368,1146,0.38225483655770515,823,0.27451634422948634,34,0.01134089392928619,995,0.33188792528352234,534,0.13899010931806352,2476,0.6444560124934929,117,0.03045288912024987,715,0.18610098906819364,237,0.12128966223132037,1117,0.5716479017400204,141,0.07215967246673491,459,0.23490276356192427,707,0.17465415019762845,648,0.1600790513833992,68,0.016798418972332016,2625,0.6484683794466403
37,0.42218164516800855,0.40317619541790706,0.5572610386841989,0.13210787394872703,0.5961814726212011,1129,0.37658438959306206,832,0.27751834556370913,32,0.01067378252168112,1005,0.3352234823215477,532,0.13846954711087975,2481,0.6457574180114524,115,0.02993232691306611,714,0.18584070796460178,234,0.11975435005117707,1116,0.5711361310133061,154,0.07881269191402251,450,0.23029682702149437,703,0.17366600790513834,632,0.15612648221343872,73,0.018033596837944664,2640,0.6521739130434783
38,0.4214656365389781,0.40355300894079493,0.5558571249211359,0.13011816157131925,0.5963342507226623,1140,0.3802535023348899,828,0.276184122748499,37,0.012341561040693796,993,0.3312208138759173,544,0.1415929203539823,2467,0.6421134825611661,120,0.031233732431025507,711,0.18505986465382612,242,0.12384851586489252,1116,0.5711361310133061,152,0.07778915046059365,444,0.22722620266120777,723,0.17860671936758893,623,0.15390316205533597,70,0.017292490118577076,2632,0.650197628458498
39,0.4151046945894361,0.39378306340991276,0.5528796662454647,0.12193453148317232,0.5918215172191947,1103,0.36791194129419613,856,0.28552368245497,40,0.0133422281521014,999,0.33322214809873246,543,0.1413326392503904,2470,0.6428943258719417,113,0.029411764705882353,716,0.18636127017178553,246,0.12589559877175024,1107,0.5665301944728761,141,0.07215967246673491,460,0.23541453428863868,710,0.17539525691699603,659,0.16279644268774704,64,0.015810276679841896,2615,0.645998023715415
40,0.4211108217920084,0.4044919789193707,0.5564185127101757,0.1306645970104076,0.5928681985280798,1147,0.38258839226150765,845,0.2818545697131421,36,0.01200800533689126,970,0.32354903268845897,546,0.14211348256116607,2480,0.6454971369078605,123,0.032014575741801145,693,0.1803748047891723,239,0.12231320368474924,1106,0.5660184237461617,153,0.07830092118730808,456,0.23336745138178097,738,0.18231225296442688,640,0.15810276679841898,72,0.017786561264822136,2598,0.641798418972332
41,0.41683547444190877,0.40001651223097817,0.558062220042716,0.12008950886103693,0.589173656632904,1131,0.3772515010006671,833,0.2778519012675117,28,0.009339559706470981,1006,0.33555703802535025,532,0.13846954711087975,2503,0.6514836022904738,111,0.028891202498698594,696,0.18115564809994794,257,0.131525076765609,1128,0.5772773797338793,138,0.07062436028659161,431,0.22057318321392017,736,0.18181818181818182,664,0.16403162055335968,67,0.016551383399209488,2581,0.637598814229249
