layer,f1_macro,f1_capable_failed,f1_honest_mistake,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,auroc,n_samples
0,0.49801299043267866,0.16395290066126209,0.8320730802040952,203,0.0945945945945946,1943,0.9054054054054054,126,0.02399086062452399,5126,0.976009139375476,0.6037732825839834,7398
1,0.4963312954329512,0.16248435275824136,0.830178238107661,203,0.0945945945945946,1943,0.9054054054054054,146,0.027798933739527798,5106,0.9722010662604722,0.6076220729324395,7398
2,0.5038878212595231,0.17672594061925034,0.8310497018997959,223,0.10391425908667289,1923,0.8960857409133272,151,0.02875095201827875,5101,0.9712490479817213,0.6200524855947864,7398
3,0.5083710200169207,0.1852662469127814,0.83147579312106,235,0.10950605778191985,1911,0.8904939422180802,155,0.029512566641279513,5097,0.9704874333587205,0.6219928055290213,7398
4,0.5097356528711793,0.1904032676382037,0.8290680381041549,246,0.11463187325256291,1900,0.8853681267474371,188,0.0357958872810358,5064,0.9642041127189642,0.6260545688118986,7398
5,0.530758336001025,0.2313684743062213,0.8301481976958286,310,0.14445479962721341,1836,0.8555452003727866,222,0.04226961157654227,5030,0.9577303884234577,0.6445976571325719,7398
6,0.5384330862498762,0.2434594046683798,0.8334067678313726,325,0.15144454799627213,1821,0.8485554520037278,199,0.03789032749428789,5053,0.9621096725057121,0.6527727159590324,7398
7,0.5381177340073108,0.24849648057410686,0.8277389874405147,344,0.1602982292637465,1802,0.8397017707362535,271,0.0515993907083016,4981,0.9484006092916984,0.6529493428145254,7398
8,0.5479222236750857,0.2662710677481864,0.829573379601985,372,0.1733457595526561,1774,0.8266542404473439,272,0.05178979436405179,4980,0.9482102056359482,0.6616049526568059,7398
9,0.5407615306826146,0.2544803821030909,0.8270426792621384,355,0.16542404473438957,1791,0.8345759552656105,286,0.054455445544554455,4966,0.9455445544554455,0.6650098491128208,7398
10,0.5560209436379439,0.2810054882100413,0.8310363990658465,396,0.18452935694315004,1750,0.8154706430568499,274,0.052170601675552174,4978,0.9478293983244478,0.6705256705908754,7398
11,0.5558127415510717,0.2819935099583222,0.8296319731438213,401,0.18685927306616962,1745,0.8131407269338303,292,0.055597867479055596,4960,0.9444021325209444,0.6719230187249571,7398
12,0.5731671219869598,0.31597116788467816,0.8303630760892415,465,0.21668219944082012,1681,0.7833178005591799,330,0.06283320639756283,4922,0.9371667936024372,0.6824071451650502,7398
13,0.5776977418507971,0.32596416321008626,0.8294313204915081,487,0.22693383038210624,1659,0.7730661696178938,355,0.06759329779131759,4897,0.9324067022086824,0.6923053918061375,7398
14,0.5793006711118587,0.32759998834513876,0.8310013538785785,487,0.22693383038210624,1659,0.7730661696178938,339,0.06454683929931454,4913,0.9354531607006854,0.6970153667484759,7398
15,0.5989427738844285,0.36763355552758104,0.830251992241276,576,0.2684063373718546,1570,0.7315936626281454,410,0.07806549885757806,4842,0.9219345011424219,0.7163294750954255,7398
16,0.6121975359905645,0.39070115276724254,0.8336939192138864,620,0.28890959925442683,1526,0.7110904007455732,407,0.0774942878903275,4845,0.9225057121096725,0.7283189384264064,7398
17,0.6214952210145168,0.40980182972355894,0.8331886123054748,668,0.31127679403541475,1478,0.6887232059645852,446,0.08492003046458492,4806,0.915079969535415,0.739253847632685,7398
18,0.6461688931458,0.4520946692336999,0.8402431170579,756,0.35228331780055916,1390,0.6477166821994408,440,0.08377760853008377,4812,0.9162223914699162,0.7529657166997021,7398
19,0.6415927079501389,0.44358495974719947,0.8396004561530784,735,0.342497670083877,1411,0.657502329916123,431,0.08206397562833206,4821,0.917936024371668,0.7482472494209091,7398
20,0.6274241659286767,0.42137637212347345,0.8334719597338799,698,0.32525629077353213,1448,0.6747437092264679,465,0.08853769992383853,4787,0.9114623000761615,0.746284305739916,7398
21,0.6199687631503334,0.4057635897990245,0.8341739365016423,655,0.30521901211556385,1491,0.6947809878844362,427,0.08130236100533131,4825,0.9186976389946687,0.7390015000554951,7398
22,0.6123374130787379,0.3909146709782522,0.8337601551792236,621,0.2893755824790308,1525,0.7106244175209693,407,0.0774942878903275,4845,0.9225057121096725,0.7322947743833279,7398
23,0.6138059554125503,0.39255214643975644,0.8350597643853442,621,0.2893755824790308,1525,0.7106244175209693,394,0.07501904036557502,4858,0.924980959634425,0.7279145311799307,7398
24,0.5984295079513928,0.36576014892568354,0.8310988669771022,570,0.2656104380242311,1576,0.7343895619757689,397,0.07559025133282558,4855,0.9244097486671744,0.7234469784650034,7398
25,0.5968950444560644,0.362787517360103,0.831002571552026,563,0.26234855545200375,1583,0.7376514445479962,393,0.07482863670982483,4859,0.9251713632901751,0.7214894582853427,7398
26,0.5919151240252809,0.3546308825037761,0.8291993655467857,549,0.25582479030754895,1597,0.7441752096924511,401,0.07635186595582635,4851,0.9236481340441737,0.7185157655435087,7398
27,0.5891957481821719,0.3488079927539961,0.8295835036103476,536,0.24976700838769805,1610,0.750232991612302,388,0.07387661843107388,4864,0.9261233815689262,0.7115517803266613,7398
