layer,f1_macro,f1_deception,f1_natural_deception,cm_deception_deception,cm_norm_deception_deception,cm_deception_natural_deception,cm_norm_deception_natural_deception,cm_natural_deception_deception,cm_norm_natural_deception_deception,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,auroc,n_samples
0,0.8525241080938162,0.9186201990791683,0.786428017108464,6603,0.9397950469684031,423,0.060204953031596925,747,0.25732001377884944,2156,0.7426799862211505,0.9295092732015048,9929
1,0.8143639499545744,0.9008454318451854,0.7278824680639634,6554,0.932820950754341,472,0.06717904924565898,971,0.3344815707888391,1932,0.6655184292111609,0.8991121020409241,9929
2,0.8428167648574438,0.9136091492002718,0.7720243805146157,6579,0.9363791631084543,447,0.06362083689154568,797,0.27454357561143644,2106,0.7254564243885635,0.9268891309237214,9929
3,0.8387270008177545,0.9109571852895781,0.7664968163459308,6548,0.9319669797893538,478,0.06803302021064617,802,0.27626593179469516,2101,0.7237340682053048,0.9228491397379452,9929
4,0.9162274026366112,0.9517718325056306,0.8806829727675918,6731,0.9580130942214632,295,0.041986905778536865,387,0.1333103685842232,2516,0.8666896314157768,0.9734285775432175,9929
5,0.9682871146184385,0.9815267922978347,0.9550474369390424,6906,0.9829205807002562,120,0.017079419299743808,140,0.04822597313124354,2763,0.9517740268687565,0.9946238675907036,9929
6,0.9353590256160049,0.9626989749793993,0.9080190762526106,6801,0.9679760888129804,225,0.03202391118701964,302,0.10403031346882535,2601,0.8959696865311746,0.9820756258644451,9929
7,0.9142879222215106,0.9508663673429172,0.877709477100104,6736,0.9587247366922858,290,0.04127526330771421,406,0.13985532208060628,2497,0.8601446779193938,0.9725841869590605,9929
8,0.9455698373990978,0.9684391327308359,0.9227005420673597,6827,0.9716766296612582,199,0.028323370338741816,246,0.08473992421632794,2657,0.9152600757836721,0.9874148254562088,9929
9,0.9933084484028196,0.9960852810838933,0.9905316157217461,6997,0.9958724736692286,29,0.00412752633077142,26,0.008956252152945229,2877,0.9910437478470547,0.9995008651186046,9929
10,0.9901546706471457,0.9942306377735226,0.9860787035207688,6979,0.993310560774267,47,0.0066894392257329915,34,0.011712022046159145,2869,0.9882879779538408,0.9993738923319306,9929
11,0.9892969686609278,0.9937349778757895,0.984858959446066,6979,0.993310560774267,47,0.0066894392257329915,41,0.014123320702721322,2862,0.9858766792972786,0.9994969306104015,9929
12,0.9940378963539105,0.996512472321807,0.9915633203860139,7001,0.9964417876458868,25,0.0035582123541132936,24,0.00826730967964175,2879,0.9917326903203583,0.9998198271916255,9929
13,0.9964722019556629,0.9979356638191768,0.995008740092149,7009,0.997580415599203,17,0.0024195844007970395,12,0.004133654839820875,2891,0.9958663451601791,0.9999115029259145,9929
14,0.9990270531228771,0.9994304528821955,0.9986236533635588,7020,0.9991460290350128,6,0.0008539709649871904,2,0.0006889424733034792,2901,0.9993110575266965,0.999995833971987,9929
15,0.9995132682607171,0.9997153024550478,0.9993112340663863,7023,0.9995730145175064,3,0.0004269854824935952,1,0.0003444712366517396,2902,0.9996555287633483,0.9999968144202601,9929
16,0.9987829981861956,0.9992883573634099,0.9982776390089814,7021,0.9992883575291773,5,0.0007116424708226587,5,0.001722356183258698,2898,0.9982776438167413,0.9999887255064378,9929
17,0.9989051007390003,0.9993594051227834,0.9984507963552172,7020,0.9991460290350128,6,0.0008539709649871904,3,0.0010334137099552187,2900,0.9989665862900448,0.999997549439646,9929
18,0.9997565603252176,0.9998576512275239,0.9996554694229113,7024,0.999715343011671,2,0.0002846569883290635,0,0.0,2903,1.0,1.0,9929
19,1.0,1.0,1.0,7026,1.0,0,0.0,0,0.0,2903,1.0,1.0,9929
20,0.9997565856541807,0.9998577018854501,0.9996554694229113,7025,0.9998576715058355,1,0.00014232849416453175,1,0.0003444712366517396,2902,0.9996555287633483,1.0,9929
21,0.9996350012737942,0.9997865021702488,0.9994835003773396,7024,0.999715343011671,2,0.0002846569883290635,1,0.0003444712366517396,2902,0.9996555287633483,1.0,9929
22,0.999391192401252,0.9996443052634618,0.999138079539042,7024,0.999715343011671,2,0.0002846569883290635,3,0.0010334137099552187,2900,0.9989665862900448,0.9999987742240897,9929
23,0.999391192401252,0.9996443052634618,0.999138079539042,7024,0.999715343011671,2,0.0002846569883290635,3,0.0010334137099552187,2900,0.9989665862900448,0.9999985283727778,9929
24,0.9992697059949309,0.9995730042323313,0.9989664077575305,7023,0.9995730145175064,3,0.0004269854824935952,3,0.0010334137099552187,2900,0.9989665862900448,0.9999977946939749,9929
25,0.9993916591629821,0.9996440520277987,0.9991392662981656,7022,0.9994306860233418,4,0.000569313976658127,1,0.0003444712366517396,2902,0.9996555287633483,0.9999995097392091,9929
26,0.9993915617354969,0.9996441534158006,0.9991389700551931,7023,0.9995730145175064,3,0.0004269854824935952,2,0.0006889424733034792,2901,0.9993110575266965,0.9999960796487406,9929
27,0.9995132687719215,0.9997153024550478,0.9993112350887952,7023,0.9995730145175064,3,0.0004269854824935952,1,0.0003444712366517396,2902,0.9996555287633483,0.999998039700437,9929
