layer,f1_macro,f1_honest_mistake,f1_natural_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,auroc,n_samples
0,0.41018300738050606,0.778712472666804,0.041653542094208094,5159,0.9822924600152323,93,0.017707539984767706,2839,0.9779538408542887,64,0.022046159145711335,0.5537104826575006,8155
1,0.42399536394997506,0.778276606880497,0.0697141210194531,5125,0.9758187357197258,127,0.02418126428027418,2793,0.9621081639683087,110,0.037891836031691356,0.5538974530744569,8155
2,0.4258452602067573,0.7773511044223798,0.07433941599113483,5110,0.9729626808834729,142,0.02703731911652704,2785,0.9593523940750948,118,0.040647605924905274,0.5572684654052129,8155
3,0.43132265790859237,0.7780833854966106,0.08456193032057419,5107,0.9723914699162224,145,0.02760853008377761,2768,0.9534963830520151,135,0.04650361694798484,0.5495464543569575,8155
4,0.4293598716458694,0.7761040807062365,0.08261566258550238,5087,0.9685833968012186,165,0.031416603198781416,2770,0.9541853255253187,133,0.04581467447468136,0.5544580151239769,8155
5,0.4469525363582339,0.7750909473914398,0.118814125325028,5035,0.9586824067022087,217,0.04131759329779132,2705,0.9317946951429555,198,0.06820530485704444,0.5659333471675787,8155
6,0.4436422735384747,0.7779346404205737,0.1093499066563757,5078,0.9668697638994669,174,0.03313023610053313,2725,0.9386841198759903,178,0.061315880124009646,0.5585279094174729,8155
7,0.4442763825671323,0.7743476214683387,0.11420514366592589,5033,0.9583015993907082,219,0.0416984006092917,2714,0.9348949362728212,189,0.06510506372717878,0.563828275856637,8155
8,0.4470228773970501,0.7752883511689845,0.11875740362511567,5038,0.9592536176694593,214,0.040746382330540745,2706,0.9321391663796073,197,0.06786083362039269,0.5658743734250036,8155
9,0.45237277294118955,0.7763109504717269,0.12843459541065214,5038,0.9592536176694593,214,0.040746382330540745,2689,0.9262831553565277,214,0.07371684464347227,0.570058846446866,8155
10,0.4531002867870738,0.7750762873789804,0.13112428619516728,5021,0.9560167555217061,231,0.043983244478293985,2683,0.9242163279366173,220,0.07578367206338271,0.5719325661348039,8155
11,0.4527426202350185,0.7769783937581337,0.1285068467119033,5045,0.9605864432597105,207,0.039413556740289415,2689,0.9262831553565277,214,0.07371684464347227,0.5693055159052827,8155
12,0.4533902496751133,0.7751343785328505,0.1316461208173761,5021,0.9560167555217061,231,0.043983244478293985,2682,0.9238718566999655,221,0.07612814330003445,0.5736124195241801,8155
13,0.4597602269428468,0.7749247554535693,0.14459569843212425,5003,0.9525894897182026,249,0.04741051028179741,2657,0.9152600757836721,246,0.08473992421632794,0.5748387831092776,8155
14,0.4586527671166819,0.7743734887314495,0.14293204550191427,4999,0.9518278750952018,253,0.04817212490479817,2660,0.9162934894936273,243,0.08370651050637272,0.5760290630963483,8155
15,0.45633932518521,0.7751332359248493,0.1375454144455707,5014,0.9546839299314547,238,0.045316070068545315,2671,0.9200826730967964,232,0.07991732690320358,0.5765608361744212,8155
16,0.4568207213087556,0.7758000283102369,0.13784141430727434,5021,0.9560167555217061,231,0.043983244478293985,2671,0.9200826730967964,232,0.07991732690320358,0.5764858319093372,8155
17,0.4511850742044464,0.7738725361658583,0.12849761224303452,5011,0.9541127189642041,241,0.04588728103579589,2687,0.9255942128832243,216,0.07440578711677574,0.5764248522979993,8155
18,0.4621090864446012,0.7755332630964608,0.1486849097927416,5005,0.9529702970297029,247,0.04702970297029703,2650,0.9128487771271099,253,0.08715122287289011,0.5797897125764916,8155
19,0.4632281147445929,0.774712009845557,0.15174421964362886,4992,0.9504950495049505,260,0.04950495049504951,2643,0.9104374784705477,260,0.0895625215294523,0.5800575136039458,8155
20,0.4688396807339351,0.7724382347937311,0.1652411266741392,4950,0.9424980959634425,302,0.0575019040365575,2614,0.9004478126076473,289,0.09955218739235273,0.5807888471576707,8155
21,0.46328451731792136,0.7736628941412631,0.15290614049457965,4979,0.948019801980198,273,0.05198019801980198,2640,0.9094040647605925,263,0.09059593523940751,0.576507799841677,8155
22,0.44925942919129896,0.774259092989306,0.12425976539329198,5020,0.9558263518659559,232,0.044173648134044174,2695,0.9283499827764382,208,0.07165001722356183,0.5718258581524538,8155
23,0.4502014285928549,0.7745421494123474,0.12586070777336233,5021,0.9560167555217061,231,0.043983244478293985,2692,0.927316569066483,211,0.07268343093351705,0.5697504859538833,8155
24,0.4405430884743837,0.7769868811251566,0.10409929582361085,5073,0.965917745620716,179,0.03408225437928408,2733,0.9414398897692042,170,0.05856011023079573,0.5679654945589825,8155
25,0.4448306396481367,0.7757988469788276,0.11386243231744571,5049,0.9613480578827114,203,0.03865194211728865,2715,0.935239407509473,188,0.06476059249052704,0.5679437862278182,8155
26,0.43689387025819676,0.776309350910194,0.09747838960619946,5073,0.965917745620716,179,0.03408225437928408,2744,0.9452290733723734,159,0.054770926627626594,0.5678395797521667,8155
27,0.4380979480753863,0.7766788058880553,0.09951709026271742,5075,0.9662985529322163,177,0.033701447067783705,2741,0.9441956596624181,162,0.05580434033758181,0.5657238673288292,8155
