layer,f1_macro,f1_capable_failed,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.5650739044643788,0.34873772098477024,0.7814100879439874,551,0.25675675675675674,1595,0.7432432432432432,457,0.11078787878787878,3668,0.8892121212121212,0.6842146506535512,6271
1,0.5643482592093231,0.34738617276143374,0.7813103456572124,548,0.255358807082945,1598,0.744641192917055,456,0.11054545454545454,3669,0.8894545454545455,0.6821498931418594,6271
2,0.5727664561574803,0.36336108406234074,0.78217182825262,583,0.271668219944082,1563,0.728331780055918,472,0.11442424242424243,3653,0.8855757575757576,0.6883883295468919,6271
3,0.5808192295994621,0.3803631970458228,0.7812752621531015,624,0.2907735321528425,1522,0.7092264678471575,505,0.12242424242424242,3620,0.8775757575757576,0.6935551540777757,6271
4,0.5945022459210256,0.4058282726944299,0.7831762191476214,681,0.3173345759552656,1465,0.6826654240447344,527,0.12775757575757576,3598,0.8722424242424243,0.7018537497268997,6271
5,0.603440108947766,0.42399845179740436,0.7828817660981277,728,0.33923578751164957,1418,0.6607642124883504,559,0.1355151515151515,3566,0.8644848484848485,0.7039621060170743,6271
6,0.606088620825194,0.42878930809264704,0.783387933557741,740,0.3448275862068966,1406,0.6551724137931034,563,0.1364848484848485,3562,0.8635151515151516,0.7051697708915468,6271
7,0.6018129668338051,0.4218067313841707,0.7818192022834396,725,0.33783783783783783,1421,0.6621621621621622,565,0.13696969696969696,3560,0.863030303030303,0.7068501623816634,6271
8,0.6048306772665979,0.42529138206824857,0.7843699724649473,728,0.33923578751164957,1418,0.6607642124883504,548,0.13284848484848485,3577,0.8671515151515151,0.7085699814866834,6271
9,0.6030334332480626,0.42344837056556556,0.7826184959305595,728,0.33923578751164957,1418,0.6607642124883504,561,0.136,3564,0.864,0.7055459949963121,6271
10,0.6035238830689688,0.4245608643787781,0.7824869017591594,730,0.3401677539608574,1416,0.6598322460391426,563,0.1364848484848485,3562,0.8635151515151516,0.705505723029613,6271
11,0.6050173635702003,0.4265853722633273,0.7834493548770733,733,0.34156570363466915,1413,0.6584342963653308,558,0.13527272727272727,3567,0.8647272727272727,0.7106728051370758,6271
12,0.6075056843554336,0.4293907016247319,0.7856206670861352,736,0.3429636533084809,1410,0.6570363466915191,544,0.13187878787878787,3581,0.8681212121212121,0.7093676935232962,6271
13,0.6088711302564896,0.4329195234744657,0.7848227370385136,747,0.34808946877912395,1399,0.651910531220876,557,0.13503030303030303,3568,0.8649696969696969,0.7108841007242699,6271
14,0.6088944258872717,0.4330425015800935,0.7847463501944499,748,0.34855545200372784,1398,0.6514445479962722,558,0.13527272727272727,3567,0.8647272727272727,0.7119880384590743,6271
15,0.6105467771017203,0.43691593669132944,0.7841776175121111,759,0.3536812674743709,1387,0.6463187325256291,569,0.13793939393939394,3556,0.8620606060606061,0.7129847546862347,6271
16,0.6052834871511363,0.4288083844249462,0.7817585898773266,744,0.3466915191053122,1402,0.6533084808946877,578,0.14012121212121212,3547,0.8598787878787879,0.713937515995867,6271
17,0.6049398646037809,0.4271143417088208,0.7827653874987409,737,0.34342963653308484,1409,0.6565703634669152,566,0.1372121212121212,3559,0.8627878787878788,0.7116672307725163,6271
18,0.6035225160110065,0.42464230293575744,0.7824027290862555,731,0.3406337371854613,1415,0.6593662628145387,565,0.13696969696969696,3560,0.863030303030303,0.7116145721321196,6271
19,0.6179283218371366,0.44928518455188876,0.7865714591223846,787,0.36672879776328055,1359,0.6332712022367195,570,0.13818181818181818,3555,0.8618181818181818,0.7153517835699653,6271
20,0.6124030092251664,0.4413880644971286,0.7834179539532042,773,0.36020503261882575,1373,0.6397949673811743,584,0.14157575757575758,3541,0.8584242424242424,0.7133050958437851,6271
21,0.6073063072291791,0.4335171626417692,0.7810954518165891,758,0.353215284249767,1388,0.646784715750233,592,0.1435151515151515,3533,0.8564848484848485,0.7076436861705361,6271
22,0.6065304565811072,0.4308550850378222,0.7822058281243922,749,0.3490214352283318,1397,0.6509785647716683,578,0.14012121212121212,3547,0.8598787878787879,0.7049597355897568,6271
23,0.6079815888507272,0.4329568477601299,0.7830063299413244,752,0.3504193849021435,1394,0.6495806150978565,574,0.13915151515151516,3551,0.8608484848484849,0.7077975513797925,6271
24,0.6062078746765557,0.43185128960104857,0.7805644597520628,755,0.35181733457595527,1391,0.6481826654240447,594,0.144,3531,0.856,0.7036134918874877,6271
25,0.5985600022873054,0.41908348478409374,0.7780365197905171,727,0.3387698042870457,1419,0.6612301957129544,595,0.14424242424242426,3530,0.8557575757575757,0.6998794751877205,6271
26,0.5956775592463113,0.4148299772447312,0.7765251412478914,719,0.33504193849021435,1427,0.6649580615097856,601,0.14569696969696969,3524,0.8543030303030303,0.6985334187541374,6271
27,0.6008464070342641,0.42094336863272347,0.7807494454358046,726,0.3383038210624418,1420,0.6616961789375583,574,0.13915151515151516,3551,0.8608484848484849,0.6939400825624926,6271
