layer,f1_macro,f1_natural_deception,f1_truth,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.5892755642275493,0.4688489008874872,0.7097022275676114,1165,0.4013089906992766,1738,0.5986910093007234,900,0.21818181818181817,3225,0.7818181818181819,0.6533927754007521,7028
1,0.5978071616898324,0.4845698345537916,0.7110444888258732,1223,0.4212883224250775,1680,0.5787116775749225,922,0.22351515151515153,3203,0.7764848484848484,0.6633121116800386,7028
2,0.614328041308805,0.5089661061415091,0.719689976476101,1300,0.44781260764726144,1603,0.5521873923527385,905,0.2193939393939394,3220,0.7806060606060606,0.679335308093098,7028
3,0.6132290683449164,0.5075382074362902,0.7189199292535426,1296,0.4464347227006545,1607,0.5535652772993455,908,0.22012121212121213,3217,0.7798787878787878,0.6851175902895055,7028
4,0.6285034521266335,0.5324251798198876,0.7245817244333794,1387,0.4777816052359628,1516,0.5222183947640372,920,0.22303030303030302,3205,0.776969696969697,0.7051441549449027,7028
5,0.6380278487979416,0.5465231356841724,0.7295325619117108,1435,0.4943162245952463,1468,0.5056837754047537,913,0.22133333333333333,3212,0.7786666666666666,0.7124607470634892,7028
6,0.64215696844306,0.5526599710377231,0.7316539658483969,1457,0.5018945918015846,1446,0.4981054081984154,911,0.22084848484848485,3214,0.7791515151515152,0.7138908227626133,7028
7,0.646256528891779,0.5583043334222102,0.7342087243613479,1474,0.5077506028246641,1429,0.49224939717533583,903,0.21890909090909091,3222,0.7810909090909091,0.7214173214128345,7028
8,0.6546566124087688,0.569982628341732,0.7393305964758057,1512,0.5208405098174302,1391,0.47915949018256976,890,0.21575757575757576,3235,0.7842424242424243,0.7305881899294446,7028
9,0.6551229109274967,0.5691767237348607,0.7410690981201327,1501,0.5170513262142611,1402,0.4829486737857389,871,0.21115151515151515,3254,0.7888484848484848,0.7300887217477163,7028
10,0.6522436022504216,0.5638944046737944,0.7405927998270487,1478,0.5091284877712711,1425,0.4908715122287289,861,0.20872727272727273,3264,0.7912727272727272,0.7293128116586363,7028
11,0.6602690191225993,0.5770196269284708,0.7435184113167279,1530,0.5270409920771616,1373,0.47295900792283846,871,0.21115151515151515,3254,0.7888484848484848,0.7380791680829902,7028
12,0.6650606728299449,0.5843314151503133,0.7457899305095765,1559,0.537030657940062,1344,0.462969342059938,873,0.21163636363636365,3252,0.7883636363636364,0.7483909650244507,7028
13,0.6752525715868292,0.5986750747943775,0.7518300683792807,1609,0.554254219772649,1294,0.445745780227351,861,0.20872727272727273,3264,0.7912727272727272,0.7558210953981622,7028
14,0.6786801246146249,0.603360829240458,0.7539994199887918,1624,0.5594212883224251,1279,0.4405787116775749,855,0.20727272727272728,3270,0.7927272727272727,0.7646448292048624,7028
15,0.7002426920196891,0.6316482199660612,0.7688371640733169,1712,0.5897347571477781,1191,0.4102652428522218,805,0.19515151515151516,3320,0.8048484848484848,0.7845541765809319,7028
16,0.7012958080626521,0.6341993998214458,0.7683922163038586,1729,0.5955907681708578,1174,0.4044092318291423,819,0.19854545454545455,3306,0.8014545454545454,0.7918151948591501,7028
17,0.713692010865782,0.6526040992866843,0.7747799224448797,1806,0.6221150533930416,1097,0.3778849466069583,823,0.1995151515151515,3302,0.8004848484848485,0.7995401860015071,7028
18,0.7233197540558038,0.6627664400389855,0.7838730680726222,1821,0.6272821219428177,1082,0.3727178780571822,769,0.18642424242424244,3356,0.8135757575757576,0.8130903493957918,7028
19,0.7280338525293581,0.6693186337850925,0.7867490712736238,1845,0.6355494316224595,1058,0.3644505683775405,764,0.18521212121212122,3361,0.8147878787878788,0.8155937678164517,7028
20,0.717282055705464,0.6540030934202231,0.7805610179907048,1784,0.6145366861867034,1119,0.38546331381329657,768,0.18618181818181817,3357,0.8138181818181818,0.8092836916856857,7028
21,0.7160708229757204,0.6509542280044066,0.7811874179470344,1764,0.6076472614536687,1139,0.3923527385463314,751,0.18206060606060606,3374,0.817939393939394,0.7991739108696316,7028
22,0.698287831860297,0.6263546632036506,0.7702210005169432,1678,0.5780227351016191,1225,0.421977264898381,774,0.18763636363636363,3351,0.8123636363636364,0.786657668380643,7028
23,0.6972975313124108,0.6258046588064453,0.7687904038183762,1681,0.5790561488115742,1222,0.42094385118842575,786,0.19054545454545455,3339,0.8094545454545454,0.7845927617321053,7028
24,0.6933328702520039,0.6183790112448471,0.7682867292591606,1643,0.5659662418188082,1260,0.4340337581811919,766,0.1856969696969697,3359,0.8143030303030303,0.7789963983115624,7028
25,0.6948877140242179,0.621057817165048,0.7687176108833877,1656,0.5704443678952807,1247,0.42955563210471925,771,0.1869090909090909,3354,0.8130909090909091,0.7761331498857048,7028
26,0.6926144210445243,0.6193164059877685,0.7659124361012801,1658,0.5711333103685842,1245,0.4288666896314158,792,0.192,3333,0.808,0.7738288886850583,7028
27,0.6818312914639112,0.6049816134174423,0.7586809695103801,1614,0.5559765759559077,1289,0.44402342404409234,816,0.1978181818181818,3309,0.8021818181818182,0.7621567153522284,7028
