layer,f1_macro,f1_capable_failed,f1_deception,f1_deception_rejection,f1_honest_mistake,f1_natural_deception,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_deception,cm_norm_capable_failed_deception,cm_capable_failed_deception_rejection,cm_norm_capable_failed_deception_rejection,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_capable_failed_natural_deception,cm_norm_capable_failed_natural_deception,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_deception_capable_failed,cm_norm_deception_capable_failed,cm_deception_deception,cm_norm_deception_deception,cm_deception_deception_rejection,cm_norm_deception_deception_rejection,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_natural_deception,cm_norm_deception_natural_deception,cm_deception_truth,cm_norm_deception_truth,cm_deception_rejection_capable_failed,cm_norm_deception_rejection_capable_failed,cm_deception_rejection_deception,cm_norm_deception_rejection_deception,cm_deception_rejection_deception_rejection,cm_norm_deception_rejection_deception_rejection,cm_deception_rejection_honest_mistake,cm_norm_deception_rejection_honest_mistake,cm_deception_rejection_natural_deception,cm_norm_deception_rejection_natural_deception,cm_deception_rejection_truth,cm_norm_deception_rejection_truth,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_deception_rejection,cm_norm_honest_mistake_deception_rejection,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_natural_deception_capable_failed,cm_norm_natural_deception_capable_failed,cm_natural_deception_deception,cm_norm_natural_deception_deception,cm_natural_deception_deception_rejection,cm_norm_natural_deception_deception_rejection,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_deception,cm_norm_truth_deception,cm_truth_deception_rejection,cm_norm_truth_deception_rejection,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth
0,0.2929691722431686,0.11760179433046145,0.7566465008773016,0.02342057451339362,0.4761515616582,0.007385106896955357,0.37660949518269965,149,0.06943150046598323,381,0.17753960857409135,3,0.0013979496738117428,1179,0.5493942218080149,4,0.001863932898415657,430,0.20037278657968313,6,0.0008539709649871904,6133,0.8729006547110731,9,0.0012809564474807857,597,0.08497011101622545,3,0.0004269854824935952,278,0.03956732137773982,3,0.005366726296958855,459,0.8211091234347049,7,0.012522361359570662,65,0.11627906976744186,3,0.005366726296958855,22,0.03935599284436494,95,0.018088347296268088,936,0.1782178217821782,4,0.0007616146230007616,3288,0.6260472201066261,22,0.004188880426504189,907,0.1726961157654227,50,0.01722356183258698,430,0.148122631760248,3,0.0010334137099552187,1765,0.6079917326903204,11,0.0037891836031691355,644,0.2218394764037203,83,0.02012121212121212,846,0.2050909090909091,14,0.003393939393939394,1664,0.4033939393939394,32,0.007757575757575757,1486,0.36024242424242425
1,0.2761445772053252,0.1277851420279908,0.7007286650353108,0.01667367241137733,0.46009517273293,0.010633763972115278,0.3409510470522271,164,0.07642124883504194,541,0.25209692451071763,3,0.0013979496738117428,1111,0.5177073625349488,12,0.005591798695246971,315,0.146784715750233,9,0.0012809564474807857,5988,0.852263023057216,10,0.0014232849416453174,703,0.10005693139766582,2,0.0002846569883290635,314,0.04469114716766297,1,0.0017889087656529517,425,0.7602862254025045,5,0.008944543828264758,87,0.1556350626118068,3,0.005366726296958855,38,0.06797853309481217,110,0.020944402132520943,1246,0.23724295506473725,4,0.0007616146230007616,3084,0.5872048743335873,31,0.005902513328255902,777,0.14794364051789793,51,0.01756803306923872,654,0.22528418877023768,2,0.0006889424733034792,1634,0.5628660006889424,16,0.005511539786427834,546,0.1880812952118498,84,0.020363636363636365,1211,0.2935757575757576,5,0.0012121212121212121,1535,0.37212121212121213,33,0.008,1257,0.30472727272727274
2,0.30334047842959083,0.13202433690489973,0.7523114610850884,0.043217557191732224,0.4896381326237803,0.018529677210977376,0.384321705561067,170,0.07921714818266543,422,0.1966449207828518,1,0.00046598322460391424,1141,0.5316868592730661,17,0.007921714818266543,395,0.18406337371854614,6,0.0008539709649871904,6150,0.8753202391118702,20,0.002846569883290635,554,0.07884998576715058,3,0.0004269854824935952,293,0.0417022487902078,1,0.0017889087656529517,437,0.7817531305903399,13,0.023255813953488372,69,0.12343470483005367,1,0.0017889087656529517,38,0.06797853309481217,109,0.020753998476770754,911,0.17345773038842346,3,0.0005712109672505713,3364,0.6405178979436406,23,0.004379284082254379,842,0.16031987814166032,49,0.016879090595935238,486,0.16741302101274544,4,0.0013778849466069584,1775,0.6114364450568378,28,0.009645194626248708,561,0.1932483637616259,90,0.02181818181818182,918,0.22254545454545455,5,0.0012121212121212121,1586,0.3844848484848485,38,0.009212121212121211,1488,0.36072727272727273
3,0.2987853476872829,0.14259715750901047,0.7326359361993541,0.02998209843503231,0.4909355853376252,0.020411107940213207,0.37615020070246197,186,0.08667287977632805,443,0.206430568499534,2,0.0009319664492078285,1139,0.5307548928238583,16,0.007455731593662628,360,0.16775396085740912,6,0.0008539709649871904,6025,0.8575291773413037,13,0.0018502704241389126,575,0.08183888414460574,7,0.0009962994591517223,400,0.0569313976658127,0,0.0,447,0.7996422182468694,9,0.016100178890876567,59,0.10554561717352415,3,0.005366726296958855,41,0.07334525939177101,116,0.022086824067022087,968,0.1843107387661843,4,0.0007616146230007616,3350,0.6378522467631379,25,0.00476009139375476,789,0.15022848438690023,57,0.019634860489149156,519,0.17878057182225285,1,0.0003444712366517396,1763,0.6073027902170168,31,0.010678608336203927,532,0.18325869789872545,96,0.02327272727272727,1019,0.24703030303030302,9,0.002181818181818182,1509,0.3658181818181818,45,0.01090909090909091,1447,0.3507878787878788
4,0.33257196606149164,0.14730862751524887,0.8329002957802721,0.02697911192530782,0.5204983898146797,0.031836517314659134,0.435908854018782,193,0.08993476234855545,183,0.08527493010251631,1,0.00046598322460391424,1247,0.581081081081081,13,0.0060577819198508855,509,0.23718546132339235,4,0.000569313976658127,6391,0.9096214062055223,14,0.0019925989183034445,268,0.03814403643609451,6,0.0008539709649871904,343,0.048818673498434384,1,0.0017889087656529517,468,0.8372093023255814,8,0.014311270125223614,34,0.06082289803220036,2,0.0035778175313059034,46,0.08228980322003578,119,0.022658035034272658,492,0.09367859862909368,2,0.0003808073115003808,3610,0.6873571972581873,47,0.00894897182025895,982,0.18697638994668697,52,0.017912504305890458,244,0.08405098174302446,0,0.0,1905,0.6562177058215639,49,0.016879090595935238,653,0.22493971753358594,104,0.025212121212121213,542,0.1313939393939394,7,0.001696969696969697,1556,0.3772121212121212,60,0.014545454545454545,1856,0.4499393939393939
5,0.3581992933506642,0.15586454846244252,0.9133482006701934,0.024058824772255804,0.5394298461804918,0.040986126721621365,0.4755082132969803,207,0.09645852749301025,41,0.019105312208760484,0,0.0,1286,0.5992544268406338,16,0.007455731593662628,596,0.2777260018639329,2,0.0002846569883290635,6730,0.9578707657272986,9,0.0012809564474807857,98,0.01394819242812411,1,0.00014232849416453175,186,0.026473099914602904,0,0.0,512,0.9159212880143113,7,0.012522361359570662,18,0.03220035778175313,1,0.0017889087656529517,21,0.03756708407871199,120,0.02284843869002285,159,0.030274181264280275,3,0.0005712109672505713,3796,0.7227722772277227,58,0.011043412033511044,1116,0.2124904798172125,60,0.020668274199104376,68,0.02342404409231829,1,0.0003444712366517396,2001,0.689286944540131,64,0.022046159145711335,709,0.24423010678608337,118,0.028606060606060607,201,0.04872727272727273,4,0.0009696969696969697,1623,0.39345454545454545,72,0.017454545454545455,2107,0.5107878787878788
6,0.34871863197946995,0.15508969309423049,0.8680749266740572,0.037351539372433205,0.5303740888004086,0.04307321436113094,0.4583483295745589,205,0.09552656104380243,117,0.054520037278657965,0,0.0,1234,0.5750232991612302,16,0.007455731593662628,574,0.2674743709226468,3,0.0004269854824935952,6517,0.9275547964702533,11,0.0015656134358098491,242,0.03444349558781668,3,0.0004269854824935952,250,0.03558212354113294,1,0.0017889087656529517,467,0.8354203935599285,11,0.01967799642218247,31,0.055456171735241505,3,0.005366726296958855,46,0.08228980322003578,112,0.021325209444021324,346,0.06587966488956588,3,0.0005712109672505713,3718,0.7079207920792079,60,0.011424219345011425,1013,0.1928789032749429,59,0.020323802962452637,189,0.06510506372717878,1,0.0003444712366517396,1927,0.6637960730279022,67,0.02307957285566655,660,0.22735101619014814,112,0.027151515151515152,353,0.08557575757575757,3,0.0007272727272727272,1617,0.392,57,0.013818181818181818,1983,0.4807272727272727
7,0.339970393920576,0.16673828108495486,0.8292270751684102,0.040497938960102085,0.5178181561804195,0.05236381627235579,0.43317709585721326,229,0.10671015843429636,179,0.08341099720410065,2,0.0009319664492078285,1185,0.5521901211556384,26,0.012115563839701771,525,0.244641192917055,4,0.000569313976658127,6357,0.9047822374039283,11,0.0015656134358098491,308,0.04383717620267578,3,0.0004269854824935952,343,0.048818673498434384,1,0.0017889087656529517,452,0.8085867620751341,12,0.02146690518783542,46,0.08228980322003578,0,0.0,48,0.08586762075134168,149,0.028370144706778372,497,0.09463061690784463,2,0.0003808073115003808,3557,0.6772658035034272,77,0.014661081492764662,970,0.1846915460776847,77,0.026524285222183946,257,0.08852910781949708,0,0.0,1868,0.6434722700654495,83,0.028591112642094386,618,0.21288322425077505,136,0.03296969696969697,564,0.13672727272727273,5,0.0012121212121212121,1523,0.3692121212121212,64,0.015515151515151515,1833,0.44436363636363635
8,0.35844425891913106,0.17944647924698437,0.8861031943857061,0.03393311075937179,0.5338804353810152,0.04330640927775463,0.4739959244639545,248,0.11556383970177074,94,0.04380242311276794,1,0.00046598322460391424,1183,0.5512581547064306,26,0.012115563839701771,594,0.2767940354147251,3,0.0004269854824935952,6621,0.9423569598633647,12,0.0017079419299743809,185,0.02633077142043837,7,0.0009962994591517223,198,0.028181041844577284,1,0.0017889087656529517,497,0.889087656529517,10,0.017889087656529516,30,0.05366726296958855,1,0.0017889087656529517,20,0.03577817531305903,151,0.02875095201827875,277,0.05274181264280274,2,0.0003808073115003808,3691,0.7027798933739527,64,0.012185833968012186,1067,0.20316070068545317,85,0.029280055115397864,142,0.04891491560454702,2,0.0006889424733034792,1914,0.6593179469514295,68,0.02342404409231829,692,0.23837409576300378,128,0.03103030303030303,287,0.06957575757575758,5,0.0012121212121212121,1572,0.3810909090909091,53,0.012848484848484849,2080,0.5042424242424243
9,0.3741752953243747,0.1653400002491318,0.9428587827764912,0.037615267996253976,0.5532331889201232,0.051911043981397356,0.49409348802285047,225,0.1048462255358807,4,0.001863932898415657,0,0.0,1251,0.5829450139794967,32,0.014911463187325256,634,0.2954333643988816,2,0.0002846569883290635,6872,0.9780814118986622,8,0.001138627953316254,25,0.0035582123541132936,2,0.0002846569883290635,117,0.016652433817250213,0,0.0,530,0.9481216457960644,11,0.01967799642218247,3,0.005366726296958855,1,0.0017889087656529517,14,0.025044722719141325,148,0.02817974105102818,21,0.003998476770753999,2,0.0003808073115003808,3868,0.7364813404417365,72,0.013709063214013708,1141,0.21725057121096725,76,0.026179813985532208,13,0.0044781260764726145,2,0.0006889424733034792,1981,0.6823975198070961,82,0.028246641405442644,749,0.2580089562521529,122,0.029575757575757575,111,0.02690909090909091,4,0.0009696969696969697,1603,0.3886060606060606,60,0.014545454545454545,2225,0.5393939393939394
