layer,f1_macro,f1_capable_failed,f1_honest_mistake,f1_natural_deception,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_capable_failed_natural_deception,cm_norm_capable_failed_natural_deception,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_natural_deception_capable_failed,cm_norm_natural_deception_capable_failed,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth
0,0.2830787095157723,0.12286151228324178,0.538690581845165,0.009426011829764446,0.4613367321049179,154,0.0717614165890028,1433,0.6677539608574091,3,0.0013979496738117428,556,0.2590866728797763,81,0.015422696115765423,3984,0.7585681645087585,14,0.0026656511805026656,1173,0.22334348819497335,34,0.011712022046159145,2093,0.7209782983120909,14,0.004822597313124354,762,0.26248708232862555,88,0.021333333333333333,2030,0.4921212121212121,23,0.005575757575757576,1984,0.480969696969697
1,0.2832814057099142,0.11989990290845007,0.5371095270013317,0.013326781970758053,0.46278941095911685,152,0.07082945013979497,1416,0.6598322460391426,6,0.0027958993476234857,572,0.26654240447343897,105,0.01999238385376999,3937,0.7496191926884996,24,0.00456968773800457,1186,0.22581873571972583,47,0.01619014812263176,2050,0.7061660351360661,20,0.006889424733034792,786,0.2707543920082673,81,0.019636363636363636,2005,0.4860606060606061,31,0.0075151515151515155,2008,0.48678787878787877
2,0.2946797363251115,0.13966158770317721,0.5430227295046646,0.017944235377349682,0.4780903927152546,180,0.08387698042870456,1386,0.6458527493010252,6,0.0027958993476234857,574,0.2674743709226468,105,0.01999238385376999,3964,0.7547600913937548,35,0.006664127951256664,1148,0.21858339680121858,53,0.018256975542542197,2068,0.7123665173957975,27,0.009300723389596968,755,0.2600757836720634,89,0.021575757575757575,1930,0.4678787878787879,32,0.007757575757575757,2074,0.5027878787878788
3,0.2980327834196456,0.13430149446505737,0.5432490941992631,0.02440962172788214,0.4901709232863798,174,0.08108108108108109,1392,0.6486486486486487,12,0.005591798695246971,568,0.2646784715750233,116,0.022086824067022087,3936,0.7494287890327495,38,0.0072353389185072356,1162,0.22124904798172124,53,0.018256975542542197,2065,0.7113331036858422,37,0.012745435756114365,748,0.2576644850155012,93,0.022545454545454546,1847,0.44775757575757574,41,0.009939393939393939,2144,0.5197575757575758
4,0.30356683195258843,0.1427188355662431,0.5444152300053993,0.029366008808480486,0.4977672534302308,186,0.08667287977632805,1345,0.6267474370922647,13,0.0060577819198508855,602,0.2805219012115564,126,0.02399086062452399,3897,0.742003046458492,50,0.00952018278750952,1179,0.2244859101294745,47,0.01619014812263176,2057,0.7085773337926283,45,0.015501205649328281,754,0.25973131243541164,101,0.024484848484848484,1766,0.4281212121212121,51,0.012363636363636363,2207,0.5350303030303031
5,0.3125176139691407,0.1565685626161166,0.5503686311551337,0.03728398375818501,0.5058492783471273,208,0.09692451071761417,1325,0.6174277726001864,14,0.0065237651444548,599,0.27912395153774466,127,0.02418126428027418,3909,0.7442878903274943,60,0.011424219345011425,1156,0.22010662604722012,58,0.019979331725800895,2033,0.7003100241129866,58,0.019979331725800895,754,0.25973131243541164,118,0.028606060606060607,1686,0.4087272727272727,74,0.01793939393939394,2247,0.5447272727272727
6,0.3117769962088567,0.15200084987634013,0.5519192294108022,0.04173713421571674,0.5014507713325675,200,0.09319664492078285,1338,0.6234855545200373,11,0.005125815470643057,597,0.2781919850885368,116,0.022086824067022087,3958,0.7536176694592536,60,0.011424219345011425,1118,0.21287128712871287,57,0.019634860489149156,2052,0.7068549776093697,65,0.022390630382363073,729,0.25111953151911814,113,0.027393939393939394,1744,0.42278787878787877,69,0.016727272727272726,2199,0.5330909090909091
7,0.32020065644277285,0.1646373227385895,0.551833433663891,0.05537011106472933,0.5089617583038814,224,0.1043802423112768,1296,0.6039142590866728,24,0.011183597390493943,602,0.2805219012115564,143,0.027227722772277228,3905,0.7435262757044935,70,0.013328255902513329,1134,0.21591774562071592,73,0.025146400275576988,2012,0.6930761281433,87,0.029968997588701342,731,0.2518084739924216,134,0.032484848484848484,1687,0.408969696969697,54,0.01309090909090909,2250,0.5454545454545454
8,0.32236638453864996,0.17643241959705325,0.5539171259013533,0.04864524487116843,0.5104707477850248,242,0.11276794035414725,1269,0.5913327120223671,22,0.010251630941286114,613,0.28564771668219946,148,0.02817974105102818,3912,0.7448591012947449,72,0.013709063214013708,1120,0.21325209444021326,77,0.026524285222183946,2011,0.6927316569066483,76,0.026179813985532208,739,0.25456424388563553,130,0.03151515151515152,1681,0.4075151515151515,53,0.012848484848484849,2261,0.5481212121212121
9,0.3217067302357154,0.16134438821866143,0.5583875878905898,0.04587256008594038,0.5212223847476697,217,0.1011183597390494,1264,0.5890027958993477,28,0.0130475302889096,637,0.29683131407269336,139,0.026466108149276465,3926,0.7475247524752475,72,0.013709063214013708,1115,0.2123000761614623,71,0.02445745780227351,2008,0.691698243196693,72,0.02480192903892525,752,0.25904236996210817,116,0.02812121212121212,1612,0.3907878787878788,60,0.014545454545454545,2337,0.5665454545454546
