layer,explained_var
0,0.6704288721084595
1,0.6710211038589478
2,0.610065758228302
3,0.5770660042762756
4,0.5804172158241272
5,0.5953291654586792
6,0.6131596565246582
7,0.6055736541748047
8,0.5914480090141296
9,0.6048125624656677
10,0.6165117025375366
11,0.6065695285797119
12,0.6069676280021667
13,0.6210320591926575
14,0.6398128271102905
15,0.6477371454238892
16,0.6369903683662415
17,0.6353031396865845
18,0.6306831240653992
19,0.6284559965133667
20,0.6158339381217957
21,0.6082364916801453
22,0.6050841212272644
23,0.5972369313240051
24,0.5817042589187622
25,0.5799412131309509
26,0.5741938352584839
27,0.6634261608123779
