layer,f1_macro,f1_capable_failed,f1_honest_mistake,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,auroc,n_samples
0,0.561277771566501,0.3577174627950221,0.7648380803379801,850,0.25449101796407186,2490,0.7455089820359282,559,0.10130482058716926,4959,0.8986951794128307,0.6578554732497635,8858
1,0.587792855694635,0.40969379324512606,0.7658919181441439,1032,0.3089820359281437,2308,0.6910179640718563,661,0.1197897789054005,4857,0.8802102210945995,0.6764867748882778,8858
2,0.6079552723607384,0.4482714208868561,0.7676391238346206,1177,0.3523952095808383,2163,0.6476047904191616,733,0.13283798477709316,4785,0.8671620152229068,0.6938530093966742,8858
3,0.6146374241110864,0.4609851521703012,0.7682896960518715,1230,0.36826347305389223,2110,0.6317365269461078,760,0.1377310619789779,4758,0.8622689380210221,0.694931101866589,8858
4,0.6162602398488266,0.4643708704199879,0.7681496092776652,1244,0.3724550898203593,2096,0.6275449101796408,770,0.13954331279449075,4748,0.8604566872055093,0.7005826653288086,8858
5,0.6222313794544858,0.47013787119301326,0.7743248877159583,1245,0.3727544910179641,2095,0.6272455089820359,708,0.12830735773831098,4810,0.871692642261689,0.7009350811857307,8858
6,0.6136070338174797,0.4610155119432947,0.7661985556916648,1237,0.37035928143712576,2103,0.6296407185628743,785,0.14226168901776007,4733,0.85773831098224,0.6981443996393668,8858
7,0.6231278649422481,0.4773053267246655,0.7689504031598308,1297,0.38832335329341316,2043,0.6116766467065868,795,0.14407393983327293,4723,0.8559260601667271,0.7000001036350179,8858
8,0.6309881671939594,0.4925204503718814,0.7694558840160374,1364,0.40838323353293415,1976,0.5916167664670658,832,0.15077926785067053,4686,0.8492207321493295,0.7125667515239535,8858
9,0.6371502085591723,0.5014446443292424,0.7728557727891022,1392,0.4167664670658683,1948,0.5832335329341317,816,0.14787966654584994,4702,0.8521203334541501,0.7163859303447581,8858
10,0.6354995346671264,0.5009383516385111,0.7700607176957417,1402,0.41976047904191616,1938,0.5802395209580838,850,0.1540413193185937,4668,0.8459586806814063,0.7198031975683621,8858
11,0.6440106825983741,0.5149134158591568,0.7731079493375914,1453,0.4350299401197605,1887,0.5649700598802395,851,0.154222544400145,4667,0.8457774555998551,0.7219735344046426,8858
12,0.6433488958269757,0.5141361492821506,0.7725616423718008,1452,0.4347305389221557,1888,0.5652694610778443,856,0.1551286698079014,4662,0.8448713301920986,0.7221916498509937,8858
13,0.6548371676262631,0.5308828221410399,0.7787915131114863,1507,0.45119760479041915,1833,0.5488023952095809,830,0.15041681768756796,4688,0.849583182312432,0.7338077190006835,8858
14,0.6656444701075463,0.5488343035093851,0.7824546367057076,1581,0.47335329341317367,1759,0.5266467065868263,841,0.15241029358463212,4677,0.8475897064153679,0.7424339429658952,8858
15,0.6755927297564012,0.5649402866987712,0.7862451728140312,1648,0.4934131736526946,1692,0.5065868263473053,847,0.15349764407393984,4671,0.8465023559260602,0.7489771223743532,8858
16,0.6892989374573033,0.588096630863835,0.7905012440507715,1756,0.525748502994012,1584,0.474251497005988,876,0.15875317143892714,4642,0.8412468285610728,0.7680258164442921,8858
17,0.696809060228236,0.5994978781465214,0.7941202423099505,1803,0.5398203592814371,1537,0.4601796407185629,872,0.158028271112722,4646,0.841971728887278,0.7739664527620229,8858
18,0.6988108027862072,0.6025130758058581,0.7951085297665562,1816,0.5437125748502994,1524,0.4562874251497006,871,0.15784704603117072,4647,0.8421529539688293,0.780483157910597,8858
19,0.7133009705963369,0.6230937163180912,0.8035082248745826,1891,0.5661676646706587,1449,0.4338323353293413,839,0.15204784342152955,4679,0.8479521565784705,0.7949296733506852,8858
20,0.7211571317408532,0.635385610008317,0.8069286534733893,1948,0.5832335329341317,1392,0.4167664670658683,844,0.15295396882928597,4674,0.847046031170714,0.8022984011971328,8858
21,0.7241065988442961,0.6399334231740325,0.8082797745145598,1968,0.5892215568862276,1372,0.41077844311377243,844,0.15295396882928597,4674,0.847046031170714,0.8037806801942647,8858
22,0.7235369972267465,0.6405726491128723,0.8065013453406207,1986,0.5946107784431137,1354,0.4053892215568862,874,0.15839072127582457,4644,0.8416092787241755,0.8090039507389888,8858
23,0.721775610363526,0.6380392098832457,0.8055120108438064,1975,0.5913173652694611,1365,0.4086826347305389,876,0.15875317143892714,4642,0.8412468285610728,0.806465398315671,8858
24,0.7205396846331154,0.635347041907961,0.8057323273582698,1956,0.5856287425149701,1384,0.41437125748502995,861,0.15603479521565786,4657,0.8439652047843421,0.80357231455336,8858
25,0.719914379800449,0.6345084346262936,0.8053203249746046,1953,0.5847305389221557,1387,0.4152694610778443,863,0.15639724537876043,4655,0.8436027546212396,0.802965306674286,8858
26,0.7140127498939154,0.6258016412781388,0.802223858509692,1917,0.5739520958083832,1423,0.42604790419161676,869,0.15748459586806815,4649,0.8425154041319318,0.7948389456256395,8858
27,0.7065071267248189,0.6164963174509688,0.796517935998669,1893,0.5667664670658683,1447,0.43323353293413175,908,0.16455237404856832,4610,0.8354476259514316,0.7938428381667427,8858
28,0.707730056464096,0.6167932080937625,0.7986669048344297,1882,0.5634730538922156,1458,0.4365269461077844,880,0.1594780717651323,4638,0.8405219282348677,0.7917481225612948,8858
29,0.7048445842842403,0.6110393379568408,0.7986498306116397,1846,0.5526946107784431,1494,0.4473053892215569,856,0.1551286698079014,4662,0.8448713301920986,0.7868093429257611,8858
30,0.7010917171355333,0.6047127295741642,0.7974707046969023,1815,0.5434131736526946,1525,0.4565868263473054,847,0.15349764407393984,4671,0.8465023559260602,0.7816391685468985,8858
31,0.7002254509659906,0.6030318170168955,0.797419084915086,1805,0.5404191616766467,1535,0.4595808383233533,841,0.15241029358463212,4677,0.8475897064153679,0.7804354349069216,8858
32,0.7067211971410856,0.6135072513129887,0.7999351429691824,1854,0.5550898203592814,1486,0.44491017964071855,849,0.15386009423704242,4669,0.8461399057629576,0.7863550956445735,8858
33,0.7023201994547725,0.6069889772134202,0.7976514216961248,1827,0.5470059880239521,1513,0.4529940119760479,853,0.15458499456324756,4665,0.8454150054367524,0.7834641492469356,8858
34,0.696271480705926,0.5984381471705286,0.7941048142413236,1797,0.5380239520958083,1543,0.4619760479041916,868,0.15730337078651685,4650,0.8426966292134831,0.7780491389211014,8858
35,0.6985451193990513,0.6022876653157978,0.7948025734823047,1816,0.5437125748502994,1524,0.4562874251497006,874,0.15839072127582457,4644,0.8416092787241755,0.7790976226328532,8858
