layer,f1_macro,f1_deception,f1_natural_deception,cm_deception_deception,cm_norm_deception_deception,cm_deception_natural_deception,cm_norm_deception_natural_deception,cm_natural_deception_deception,cm_norm_natural_deception_deception,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,auroc,n_samples
0,0.7419570302531131,0.7962074471388989,0.6877066133673274,2887,0.8258009153318078,609,0.17419908466819223,869,0.34801762114537443,1628,0.6519823788546255,0.8239842855955114,5993
1,0.7825134582587754,0.8238702881317543,0.7411566283857965,2937,0.8401029748283753,559,0.1598970251716247,697,0.27913496195434523,1800,0.7208650380456548,0.8627584113250004,5993
2,0.8517206412866047,0.8787542867575764,0.8246869958156331,3112,0.8901601830663616,384,0.10983981693363844,475,0.19022827392871447,2022,0.8097717260712856,0.9251769019338493,5993
3,0.8503502307097597,0.8766941053090918,0.8240063561104275,3090,0.8838672768878718,406,0.11613272311212815,463,0.1854225070084101,2034,0.8145774929915899,0.9256778955827043,5993
4,0.9129208353343359,0.9275833428215172,0.8982583278471544,3245,0.9282036613272311,251,0.07179633867276888,256,0.10252302763315979,2241,0.8974769723668402,0.9684510496570496,5993
5,0.8724435781613676,0.894294577956868,0.8505925783658673,3139,0.897883295194508,357,0.102116704805492,385,0.15418502202643172,2112,0.8458149779735683,0.9406479969135082,5993
6,0.8099406586398423,0.845528211905321,0.7743531053743637,3010,0.8609839816933639,486,0.13901601830663615,613,0.24549459351221467,1884,0.7545054064877853,0.8899884055050629,5993
7,0.8100834175761376,0.845676060197959,0.774490774954316,3010,0.8609839816933639,486,0.13901601830663615,612,0.24509411293552263,1885,0.7549058870644774,0.8875005613925582,5993
8,0.8887413267846818,0.9073888339436429,0.8700938196257205,3175,0.9081807780320366,321,0.09181922196796338,327,0.13095714857829396,2170,0.869042851421706,0.9520489844598249,5993
9,0.9681172404876119,0.9733100722117314,0.9629244087634925,3392,0.9702517162471396,104,0.029748283752860413,82,0.03283940728874649,2415,0.9671605927112535,0.9943040274704323,5993
10,0.9481426786537757,0.9568615596168563,0.9394237976906951,3349,0.9579519450800915,147,0.04204805491990847,155,0.06207448938726472,2342,0.9379255106127353,0.98650565664335,5993
11,0.9673819492701448,0.9728452241285133,0.9619186744117764,3403,0.9733981693363845,93,0.02660183066361556,97,0.03884661593912695,2400,0.961153384060873,0.9933320458206418,5993
12,0.9624547951193194,0.9685908332015435,0.9563187570370953,3378,0.9662471395881007,118,0.033752860411899316,101,0.040448538245895074,2396,0.9595514617541049,0.9926519401361482,5993
13,0.9787277573539204,0.9822460240347158,0.9752094906731248,3431,0.9814073226544623,65,0.018592677345537757,59,0.023628354024829795,2438,0.9763716459751702,0.9972519133505106,5993
14,0.9957079102592004,0.9964276508000284,0.9949881697183723,3486,0.9971395881006865,10,0.002860411899313501,15,0.006007208650380457,2482,0.9939927913496196,0.9998097839660518,5993
15,0.9948520660004653,0.9957077412189832,0.9939963907819473,3480,0.9954233409610984,16,0.004576659038901602,14,0.005606728073688426,2483,0.9943932719263116,0.9997816872248482,5993
16,0.9945051620699222,0.9954304020442404,0.9935799220956041,3484,0.9965675057208238,12,0.003432494279176201,20,0.008009611533840609,2477,0.9919903884661594,0.9998367835609908,5993
17,0.9970832212278485,0.9975682574912614,0.9965981849644356,3488,0.9977116704805492,8,0.002288329519450801,9,0.003604325190228274,2488,0.9963956748097718,0.999943910055959,5993
18,0.9967388703332118,0.9972839717739419,0.9961937688924818,3488,0.9977116704805492,8,0.002288329519450801,11,0.004405286343612335,2486,0.9955947136563876,0.9999312862389402,5993
19,0.9986270508477166,0.9988557109259532,0.99839839076948,3492,0.9988558352402745,4,0.0011441647597254005,4,0.0016019223067681217,2493,0.9983980776932319,0.9999931315727715,5993
20,0.998455276553029,0.9987131601231034,0.9981973929829545,3492,0.9988558352402745,4,0.0011441647597254005,5,0.002002402883460152,2492,0.9979975971165399,0.9999948497854078,5993
21,0.9984553739985499,0.9987129566282192,0.9981977913688805,3492,0.9988558352402745,4,0.0011441647597254005,5,0.002002402883460152,2492,0.9979975971165399,0.9999868291662007,5993
22,0.9993133776585565,0.99942795772313,0.9991987975939832,3494,0.9994279176201373,2,0.0005720823798627002,2,0.0008009611533840609,2495,0.999199038846616,0.9999988555078684,5993
23,0.998798437945135,0.9989990800996935,0.9985977957905765,3493,0.9991418764302059,3,0.0008581235697940503,4,0.0016019223067681217,2493,0.9983980776932319,0.999997709868951,5993
24,0.9989702127135437,0.9991416294379203,0.9987987959891671,3493,0.9991418764302059,3,0.0008581235697940503,3,0.0012014417300760913,2494,0.9987985582699239,0.9999908314483044,5993
25,0.9989702151694981,0.9991420371646995,0.9987983931742968,3493,0.9991418764302059,3,0.0008581235697940503,3,0.0012014417300760913,2494,0.9987985582699239,0.9999799455031052,5993
26,0.9982837766003017,0.9985687648235256,0.9979987883770776,3491,0.9985697940503433,5,0.0014302059496567505,5,0.002002402883460152,2492,0.9979975971165399,0.9999753680260582,5993
27,0.9982839782089418,0.9985687648235256,0.9979991915943579,3491,0.9985697940503433,5,0.0014302059496567505,5,0.002002402883460152,2492,0.9979975971165399,0.9999724990958823,5993
28,0.9970825253602594,0.9975684605431816,0.9965965901773373,3487,0.9974256292906178,9,0.002574370709382151,8,0.0032038446135362435,2489,0.9967961553864637,0.9998710205205015,5993
29,0.9965681713265566,0.997138760301338,0.9959975823517752,3485,0.9968535469107551,11,0.003146453089244851,9,0.003604325190228274,2488,0.9963956748097718,0.999879668759141,5993
30,0.9960523436360853,0.9967113147511064,0.9953933725210643,3486,0.9971395881006865,10,0.002860411899313501,13,0.005206247496996396,2484,0.9947937525030036,0.9998940438817548,5993
31,0.9970827146588004,0.99756764113428,0.9965977881833208,3487,0.9974256292906178,9,0.002574370709382151,8,0.0032038446135362435,2489,0.9967961553864637,0.9999158362504694,5993
32,0.9967398495828776,0.9972815162013215,0.9961981829644337,3486,0.9971395881006865,10,0.002860411899313501,9,0.003604325190228274,2488,0.9963956748097718,0.9997879909420313,5993
33,0.9975974654185675,0.9979973400660457,0.9971975907710895,3489,0.9979977116704806,7,0.002002288329519451,7,0.002803364036844213,2490,0.9971966359631558,0.9998539615916894,5993
34,0.9977698310413692,0.9981390686821691,0.9974005934005692,3488,0.9977116704805492,8,0.002288329519450801,5,0.002002402883460152,2492,0.9979975971165399,0.9999753827704458,5993
35,0.9977690445752447,0.9981407050061127,0.9973973841443768,3489,0.9979977116704806,7,0.002002288329519451,6,0.0024028834601521826,2491,0.9975971165398478,0.9999765171053326,5993
