layer,f1_macro,f1_honest_mistake,f1_natural_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,auroc,n_samples
0,0.4180218578300416,0.8136334558160291,0.022410259844054082,5477,0.9925697716563973,41,0.007430228343602754,2468,0.9883860632759311,29,0.011613936724068883,0.5288058537601568,8015
1,0.42977268726887713,0.8150366673732012,0.04450870716455298,5473,0.9918448713301921,45,0.008155128669807901,2439,0.9767721265518622,58,0.023227873448137766,0.5258883976870135,8015
2,0.4347809354432142,0.8142684338834838,0.055293437002944604,5454,0.9884015947807177,64,0.011598405219282348,2424,0.9707649179014818,73,0.02923508209851822,0.5389715948933093,8015
3,0.44285260668554216,0.8151047616994147,0.07060045167166966,5449,0.9874954693729612,69,0.012504530627038782,2403,0.9623548257909491,94,0.03764517420905086,0.5416479064716212,8015
4,0.4423648863356956,0.8138373812871971,0.07089239138419413,5434,0.9847770931496919,84,0.015222906850308082,2402,0.9619543452142572,95,0.03804565478574289,0.5430129966346031,8015
5,0.44471415877087456,0.8142031598811567,0.07522515766059241,5434,0.9847770931496919,84,0.015222906850308082,2396,0.9595514617541049,101,0.040448538245895074,0.5483439938465496,8015
6,0.4416965490089879,0.8149234327933434,0.06846966522463234,5449,0.9874954693729612,69,0.012504530627038782,2406,0.9635562675210252,91,0.03644373247897477,0.5455237095974439,8015
7,0.44136691629469926,0.815511354114294,0.06722247847510451,5457,0.9889452700253715,61,0.011054729974628488,2408,0.9643572286744093,89,0.03564277132559071,0.5418759950465794,8015
8,0.442669322236798,0.8153110632690688,0.07002758120452726,5452,0.9880391446176151,66,0.011960855382384922,2404,0.9627553063676412,93,0.03724469363235883,0.54509571491387,8015
9,0.44171132951660164,0.8154846551831538,0.06793800385004947,5456,0.9887640449438202,62,0.011235955056179775,2407,0.9639567480977173,90,0.03604325190228274,0.5501006907003858,8015
10,0.43875306991424384,0.8153509297945432,0.06215521003394457,5460,0.9894889452700254,58,0.010511054729974628,2415,0.9671605927112535,82,0.03283940728874649,0.5484127827415641,8015
11,0.44012821866277424,0.8152391855612043,0.06501725176434417,5456,0.9887640449438202,62,0.011235955056179775,2411,0.9655586704044854,86,0.034441329595514616,0.5495774991558794,8015
12,0.43245937342247787,0.8146411324299188,0.05027761441503702,5463,0.9900326205146792,55,0.009967379485320768,2431,0.973568281938326,66,0.02643171806167401,0.5463732468840081,8015
13,0.43433120304167716,0.8153275778238536,0.05333482825950077,5468,0.9909387459224357,50,0.009061254077564335,2427,0.9719663596315579,70,0.02803364036844213,0.5496695359934265,8015
14,0.43874631630443806,0.8164661861877617,0.06102644642111443,5474,0.9920260964117433,44,0.007973903588256614,2417,0.9679615538646376,80,0.032038446135362435,0.5479644330536327,8015
15,0.4365246671744362,0.8153396581634595,0.05770967618541293,5464,0.9902138455962305,54,0.009786154403769481,2421,0.9695634761714057,76,0.030436523828594315,0.5446129927085832,8015
16,0.43898949084416633,0.8152353634167853,0.06274361827154737,5458,0.9891264951069227,60,0.010873504893077202,2414,0.9667601121345615,83,0.03323988786543853,0.5467090172026816,8015
17,0.4407196591737004,0.8162118994607737,0.06522741888662713,5467,0.9907575208408844,51,0.009242479159115621,2411,0.9655586704044854,86,0.034441329595514616,0.5479404700843999,8015
18,0.4375778781788332,0.8158150628642696,0.059340693493396726,5468,0.9909387459224357,50,0.009061254077564335,2419,0.9687625150180216,78,0.031237484981978373,0.5464976310037921,8015
19,0.44107072977032113,0.815625955044071,0.06651550449657129,5459,0.9893077201884741,59,0.010692279811525915,2409,0.9647577092511013,88,0.03524229074889868,0.5496068798245315,8015
20,0.44140772730403716,0.8155984705865151,0.06721698402155918,5458,0.9891264951069227,60,0.010873504893077202,2408,0.9643572286744093,89,0.03564277132559071,0.5585114928952601,8015
21,0.4425434149092076,0.8162510993491331,0.06883573046928218,5464,0.9902138455962305,54,0.009786154403769481,2406,0.9635562675210252,91,0.03644373247897477,0.5529542098742797,8015
22,0.4424424608748585,0.8160758155028459,0.06880910624687113,5462,0.989851395433128,56,0.010148604566872055,2406,0.9635562675210252,91,0.03644373247897477,0.5516420034966592,8015
23,0.4422162192350009,0.8151630337292157,0.069269404740786,5451,0.9878579195360638,67,0.012142080463936208,2405,0.9631557869443332,92,0.0368442130556668,0.5564097570704761,8015
24,0.44157868362842756,0.8153071639526533,0.06785020330420174,5454,0.9884015947807177,64,0.011598405219282348,2407,0.9639567480977173,90,0.03604325190228274,0.5549100413659253,8015
25,0.4420716714377202,0.8149843564522626,0.06915898642317778,5449,0.9874954693729612,69,0.012504530627038782,2405,0.9631557869443332,92,0.0368442130556668,0.5536832729908554,8015
26,0.4396515323153462,0.8150915848416705,0.06421147978902182,5455,0.9885828198622689,63,0.011417180137731062,2412,0.9659591509811775,85,0.03404084901882259,0.545487519709423,8015
27,0.4403725783437449,0.8156817949343746,0.06506336175311514,5461,0.9896701703515767,57,0.010329829648423342,2411,0.9655586704044854,86,0.034441329595514616,0.5443577392660945,8015
28,0.4403631885705453,0.8156813236230939,0.06504505351799676,5461,0.9896701703515767,57,0.010329829648423342,2411,0.9655586704044854,86,0.034441329595514616,0.5449783779734434,8015
29,0.44120277181963763,0.8158913866337955,0.0665141570054798,5462,0.989851395433128,56,0.010148604566872055,2409,0.9647577092511013,88,0.03524229074889868,0.5426289050567531,8015
30,0.44165372432988714,0.8154832325679052,0.06782421609186905,5456,0.9887640449438202,62,0.011235955056179775,2407,0.9639567480977173,90,0.03604325190228274,0.5463451115773007,8015
31,0.4408843629722851,0.8159193594790887,0.06584936646548153,5463,0.9900326205146792,55,0.009967379485320768,2410,0.9651581898277933,87,0.034841810172206646,0.5446195229040602,8015
32,0.4386873678839815,0.8152620978374208,0.06211263793054221,5459,0.9893077201884741,59,0.010692279811525915,2415,0.9671605927112535,82,0.03283940728874649,0.5415571458920312,8015
33,0.4393575397673316,0.8157659588743584,0.06294912066030477,5464,0.9902138455962305,54,0.009786154403769481,2414,0.9667601121345615,83,0.03323988786543853,0.5403450085449519,8015
34,0.44091968188363706,0.8153608248124996,0.0664785389547745,5456,0.9887640449438202,62,0.011235955056179775,2409,0.9647577092511013,88,0.03524229074889868,0.544624406626595,8015
35,0.43789917323794547,0.8156988478823137,0.060099498593577175,5466,0.990576295759333,52,0.009423704240666908,2418,0.9683620344413296,79,0.031637965558670406,0.5416944894453393,8015
