layer,f1_macro,f1_capable_failed,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.5311313971175743,0.7172154627678468,0.3450473314673018,2876,0.8610778443113772,464,0.13892215568862276,1804,0.7510407993338885,598,0.24895920066611157,0.5994946787817297,5742
1,0.5409421049006962,0.7142584797680673,0.3676257300333251,2825,0.8458083832335329,515,0.15419161676646706,1745,0.7264779350541216,657,0.27352206494587844,0.6133385535322287,5742
2,0.5483691994837131,0.7130733852668233,0.38366501370060285,2794,0.8365269461077844,546,0.16347305389221556,1702,0.7085761865112407,700,0.29142381348875934,0.619457721770596,5742
3,0.5516205673227769,0.7101861646691903,0.39305496997636347,2760,0.8263473053892215,580,0.17365269461077845,1672,0.6960865945045795,730,0.3039134054954205,0.6222539017598898,5742
4,0.5496388500942871,0.7089567677039823,0.39032093248459193,2756,0.8251497005988024,584,0.17485029940119762,1678,0.6985845129059117,724,0.3014154870940883,0.6208248374612522,5742
5,0.5450038371835638,0.7047670685678268,0.38524060579930086,2734,0.818562874251497,606,0.181437125748503,1684,0.701082431307244,718,0.29891756869275604,0.6166022010033986,5742
6,0.565587632873879,0.7130108549885464,0.4181644107592116,2742,0.8209580838323354,598,0.17904191616766468,1609,0.6698584512905912,793,0.3301415487094088,0.6249842311219556,5742
7,0.5524567714104917,0.7050279448714315,0.39988559794955186,2714,0.8125748502994012,626,0.18742514970059881,1645,0.6848459616985845,757,0.3151540383014155,0.6234437491959947,5742
8,0.5524870909651859,0.708056738398661,0.3969174435317108,2740,0.8203592814371258,600,0.17964071856287425,1659,0.6906744379683597,743,0.3093255620316403,0.6164270614177052,5742
9,0.5600557041560742,0.7108408440416983,0.40927056427045,2741,0.8206586826347305,599,0.17934131736526945,1630,0.678601165695254,772,0.32139883430474603,0.6219535487237582,5742
10,0.5665452408490519,0.7131715741639364,0.4199189075341675,2740,0.8203592814371258,600,0.17964071856287425,1604,0.6677768526228143,798,0.33222314737718567,0.6280220224831004,5742
11,0.5732193280149716,0.7110660473283206,0.43537260870162264,2700,0.8083832335329342,640,0.19161676646706588,1554,0.6469608659450458,848,0.3530391340549542,0.6399693881467834,5742
12,0.5663360366537968,0.7077331673204637,0.4249389059871301,2695,0.8068862275449101,645,0.19311377245508982,1580,0.6577851790174855,822,0.34221482098251454,0.6383913682510239,5742
13,0.571603768671832,0.7101548380468039,0.4330526992968601,2698,0.8077844311377246,642,0.19221556886227545,1560,0.649458784346378,842,0.350541215653622,0.6408880575647042,5742
14,0.5840853311780569,0.7113846382447159,0.45678602411139807,2668,0.7988023952095809,672,0.20119760479041915,1492,0.6211490424646128,910,0.37885095753538717,0.6476020049298493,5742
