layer,f1_macro,f1_natural_deception,f1_truth,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.6427961415721701,0.6690412806488542,0.6165510024954862,1760,0.7048458149779736,737,0.29515418502202645,1003,0.41756869275603664,1399,0.5824313072439634,0.6972301714933679,4899
1,0.6457076978154406,0.6684878222069142,0.6229275734239669,1744,0.698438125750901,753,0.3015618742490989,975,0.40591174021648624,1427,0.5940882597835138,0.706560199709884,4899
2,0.6723605070102083,0.6897308440825048,0.6549901699379117,1780,0.7128554265118142,717,0.28714457348818584,883,0.36761032472939215,1519,0.6323896752706079,0.7404684757769175,4899
3,0.6778219133488483,0.6974976979595059,0.6581461287381909,1814,0.7264717661193432,683,0.2735282338806568,889,0.3701082431307244,1513,0.6298917568692756,0.7418673471266859,4899
4,0.6807095252012095,0.7015955362445652,0.6598235141578539,1832,0.7336804164997998,665,0.26631958350020024,892,0.3713572023313905,1510,0.6286427976686095,0.7488603296683458,4899
5,0.6802306482225698,0.7006871645103587,0.659774131934781,1827,0.7316780136163397,670,0.2683219863836604,890,0.37052456286427976,1512,0.6294754371357202,0.7480412934566291,4899
6,0.6790829654187498,0.6951055689341917,0.6630603619033077,1788,0.7160592711253504,709,0.2839407288746496,859,0.35761865112406327,1543,0.6423813488759367,0.7461801085469623,4899
7,0.6718619245653947,0.6866907372824917,0.6570331118482977,1759,0.7044453344012815,738,0.29555466559871846,866,0.3605328892589509,1536,0.6394671107410491,0.7460776435476635,4899
8,0.6824362111256514,0.6993001691074683,0.6655722531438346,1804,0.7224669603524229,693,0.2775330396475771,858,0.3572023313905079,1544,0.6427976686094921,0.7540855414501906,4899
9,0.6817443183063793,0.697409529506016,0.6660791071067426,1793,0.7180616740088106,704,0.28193832599118945,851,0.35428809325562033,1551,0.6457119067443797,0.753181105818706,4899
10,0.6981834020091398,0.7119623885106787,0.6844044155076008,1825,0.7308770524629555,672,0.26912294753704447,803,0.3343047460449625,1599,0.6656952539550375,0.7702151432733797,4899
11,0.695060204844059,0.7072595930810952,0.6828608166070227,1803,0.7220664797757309,694,0.27793352022426915,797,0.3318068276436303,1605,0.6681931723563697,0.7716319520537956,4899
12,0.6962380645416574,0.7092241107173431,0.6832520183659716,1812,0.7256708049659591,685,0.27432919503404085,800,0.33305578684429643,1602,0.6669442131557036,0.7699075186269975,4899
13,0.7021623025085921,0.715130407041134,0.6891941979760504,1828,0.7320784941930316,669,0.2679215058069684,787,0.3276436303080766,1615,0.6723563696919234,0.7774814060206345,4899
14,0.7157617064416988,0.7247526825623237,0.7067707303210737,1831,0.7332799359231077,666,0.26672006407689225,725,0.30183180682764366,1677,0.6981681931723563,0.79161739988119,4899
15,0.7172990348702539,0.7272307591648178,0.7073673105756901,1844,0.7384861834201041,653,0.26151381657989586,730,0.3039134054954205,1672,0.6960865945045795,0.7936610721338727,4899
