layer,f1_macro,f1_capable_failed,f1_deception,f1_deception_rejection,f1_honest_mistake,f1_natural_deception,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_deception,cm_norm_capable_failed_deception,cm_capable_failed_deception_rejection,cm_norm_capable_failed_deception_rejection,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_capable_failed_natural_deception,cm_norm_capable_failed_natural_deception,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_deception_capable_failed,cm_norm_deception_capable_failed,cm_deception_deception,cm_norm_deception_deception,cm_deception_deception_rejection,cm_norm_deception_deception_rejection,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_natural_deception,cm_norm_deception_natural_deception,cm_deception_truth,cm_norm_deception_truth,cm_deception_rejection_capable_failed,cm_norm_deception_rejection_capable_failed,cm_deception_rejection_deception,cm_norm_deception_rejection_deception,cm_deception_rejection_deception_rejection,cm_norm_deception_rejection_deception_rejection,cm_deception_rejection_honest_mistake,cm_norm_deception_rejection_honest_mistake,cm_deception_rejection_natural_deception,cm_norm_deception_rejection_natural_deception,cm_deception_rejection_truth,cm_norm_deception_rejection_truth,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_deception_rejection,cm_norm_honest_mistake_deception_rejection,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_natural_deception_capable_failed,cm_norm_natural_deception_capable_failed,cm_natural_deception_deception,cm_norm_natural_deception_deception,cm_natural_deception_deception_rejection,cm_norm_natural_deception_deception_rejection,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_deception,cm_norm_truth_deception,cm_truth_deception_rejection,cm_norm_truth_deception_rejection,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth
0,0.26217750064887807,0.2275151239545985,0.49207443256588856,0.16755259002606931,0.5103547195252295,0.0156003493144584,0.15996778850702437,575,0.1721556886227545,468,0.14011976047904193,51,0.01526946107784431,2043,0.6116766467065868,5,0.0014970059880239522,198,0.0592814371257485,124,0.03546910755148741,2035,0.5820938215102975,115,0.03289473684210526,1090,0.31178489702517165,4,0.0011441647597254005,128,0.036613272311212815,115,0.07898351648351648,696,0.47802197802197804,161,0.11057692307692307,429,0.29464285714285715,1,0.0006868131868131869,54,0.03708791208791209,367,0.06650960492932222,801,0.14516129032258066,36,0.006524102935846321,4186,0.7586081913736861,16,0.002899601304820587,112,0.02029720913374411,148,0.059271125350420506,381,0.1525830997196636,20,0.008009611533840609,1859,0.7444933920704846,20,0.008009611533840609,69,0.0276331597917501,384,0.15986677768526228,394,0.16402997502081598,82,0.03413821815154038,1278,0.5320566194837635,6,0.002497918401332223,258,0.10741049125728559
1,0.28152152585981727,0.26906081060071124,0.5426634997086848,0.1679969612569774,0.5145643572069805,0.03696448396930256,0.15787904241624715,724,0.21676646706586827,406,0.12155688622754492,54,0.016167664670658683,1960,0.5868263473053892,2,0.0005988023952095808,194,0.05808383233532934,82,0.02345537757437071,2245,0.642162471395881,119,0.034038901601830665,902,0.2580091533180778,6,0.0017162471395881006,142,0.04061784897025172,101,0.06936813186813187,755,0.5185439560439561,161,0.11057692307692307,386,0.2651098901098901,0,0.0,53,0.036401098901098904,459,0.08318231243204059,730,0.13229430953243929,32,0.005799202609641174,4106,0.7441101848495831,38,0.006886553098948894,153,0.027727437477346864,217,0.0869042851421706,302,0.12094513416099319,17,0.006808169803764518,1822,0.7296756107328795,48,0.01922306768121746,91,0.03644373247897477,456,0.18984179850124897,340,0.14154870940882597,78,0.0324729392173189,1265,0.5266444629475437,3,0.0012489592006661116,260,0.10824313072439634
2,0.32318917928572566,0.3129911587666615,0.6104892680173089,0.23509531248400117,0.5397002879074705,0.05407004739194058,0.1867890011469711,906,0.2712574850299401,317,0.09491017964071856,48,0.01437125748502994,1838,0.5502994011976048,5,0.0014970059880239522,226,0.06766467065868263,73,0.020881006864988557,2490,0.7122425629290617,176,0.05034324942791762,590,0.16876430205949658,8,0.002288329519450801,159,0.04548054919908467,67,0.04601648351648352,847,0.5817307692307693,242,0.1662087912087912,243,0.16689560439560439,2,0.0013736263736263737,55,0.03777472527472527,574,0.10402319681043856,523,0.09478071765132294,45,0.008155128669807901,4140,0.750271837622327,70,0.012685755708590069,166,0.03008336353751359,257,0.10292350820985183,206,0.08249899879855827,24,0.00961153384060873,1846,0.7392871445734882,72,0.02883460152182619,92,0.0368442130556668,569,0.23688592839300582,278,0.115736885928393,67,0.027893422148209824,1166,0.48542880932556204,2,0.0008326394671107411,320,0.13322231473771856
3,0.32976016538662756,0.3149919373025126,0.6145428471161634,0.2555315154305581,0.5436671630872041,0.057958609408451045,0.19186891997487615,916,0.274251497005988,293,0.0877245508982036,46,0.013772455089820359,1812,0.5425149700598803,6,0.0017964071856287425,267,0.07994011976047904,71,0.02030892448512586,2479,0.709096109839817,193,0.055205949656750575,603,0.17248283752860413,1,0.0002860411899313501,149,0.04262013729977117,66,0.04532967032967033,814,0.5590659340659341,268,0.18406593406593408,234,0.16071428571428573,1,0.0006868131868131869,73,0.05013736263736264,574,0.10402319681043856,508,0.09206234142805364,34,0.0061616527727437476,4153,0.7526277636824936,70,0.012685755708590069,179,0.03243928959768032,260,0.10412494993992791,188,0.07529034841810173,26,0.010412494993992792,1840,0.736884261113336,77,0.030837004405286344,106,0.04245094112935523,583,0.24271440466278102,291,0.12114904246461282,72,0.02997502081598668,1117,0.4650291423813489,2,0.0008326394671107411,337,0.14029975020815988
4,0.3607769393142422,0.33094938581168415,0.695814530472877,0.2817730555489183,0.573517419277378,0.05902875388161423,0.22357849089298137,970,0.2904191616766467,165,0.04940119760479042,21,0.006287425149700598,1894,0.567065868263473,7,0.002095808383233533,283,0.0847305389221557,38,0.010869565217391304,2746,0.7854691075514875,235,0.06721967963386728,327,0.09353546910755149,1,0.0002860411899313501,149,0.04262013729977117,50,0.034340659340659344,940,0.6456043956043956,295,0.2026098901098901,115,0.07898351648351648,1,0.0006868131868131869,55,0.03777472527472527,589,0.10674157303370786,254,0.04603117071402682,28,0.005074302283436027,4396,0.7966654584994564,51,0.009242479159115621,200,0.03624501631025734,280,0.11213456147376852,125,0.0500600720865038,15,0.006007208650380457,1890,0.7569082899479376,78,0.031237484981978373,109,0.043652382859431314,595,0.24771024146544546,167,0.06952539550374688,41,0.01706910907577019,1190,0.4954204829308909,6,0.002497918401332223,403,0.16777685262281433
5,0.34748824207921686,0.3264003423869693,0.6408243065252985,0.3015426791780956,0.5561894339395881,0.06214220639319588,0.19783048405215398,950,0.2844311377245509,241,0.0721556886227545,40,0.011976047904191617,1837,0.55,9,0.002694610778443114,263,0.07874251497005988,57,0.016304347826086956,2558,0.7316933638443935,199,0.05692219679633867,519,0.14845537757437072,4,0.0011441647597254005,159,0.04548054919908467,58,0.03983516483516483,831,0.5707417582417582,323,0.22184065934065933,176,0.12087912087912088,2,0.0013736263736263737,66,0.04532967032967033,547,0.09913011960855382,437,0.07919536063791228,34,0.0061616527727437476,4253,0.7707502718376223,64,0.011598405219282348,183,0.033164189923885465,279,0.1117340808970765,168,0.06728073688426112,22,0.00881057268722467,1849,0.7404885863035643,83,0.03323988786543853,96,0.03844613536243492,588,0.24479600333055787,253,0.10532889258950874,63,0.026228143213988343,1141,0.4750208159866778,9,0.003746877601998335,348,0.14487926727726894
6,0.31980668677094526,0.3154964267234958,0.5543588187485923,0.2532253642753229,0.5315440814373905,0.059858001323200384,0.20435742811766974,907,0.2715568862275449,390,0.11676646706586827,61,0.018263473053892216,1740,0.5209580838323353,5,0.0014970059880239522,237,0.07095808383233533,118,0.033752860411899316,2251,0.6438787185354691,149,0.04262013729977117,798,0.22826086956521738,1,0.0002860411899313501,179,0.05120137299771167,99,0.06799450549450549,709,0.48695054945054944,265,0.1820054945054945,302,0.20741758241758243,0,0.0,81,0.05563186813186813,514,0.09314969191736136,680,0.12323305545487495,40,0.007249003262051468,4067,0.737042406669083,51,0.009242479159115621,166,0.03008336353751359,257,0.10292350820985183,259,0.10372446936323589,28,0.011213456147376852,1784,0.7144573488185822,79,0.031637965558670406,90,0.03604325190228274,515,0.21440466278101583,336,0.1398834304746045,93,0.03871773522064946,1094,0.45545378850957535,4,0.0016652789342214821,360,0.1498751040799334
7,0.3197543653699786,0.30815703934463085,0.5483147334859979,0.26108057879823143,0.5344843456102378,0.06022324205290687,0.2062662529278668,902,0.27005988023952093,386,0.1155688622754491,74,0.02215568862275449,1727,0.517065868263473,2,0.0005988023952095808,249,0.07455089820359281,139,0.03975972540045766,2201,0.6295766590389016,163,0.04662471395881007,831,0.23770022883295194,5,0.0014302059496567505,157,0.04490846681922197,106,0.07280219780219781,693,0.47596153846153844,277,0.19024725274725274,306,0.21016483516483517,0,0.0,74,0.050824175824175824,541,0.0980427691192461,648,0.11743385284523378,37,0.006705328017397608,4084,0.7401232330554549,38,0.006886553098948894,170,0.030808263863718738,262,0.10492591109331198,264,0.10572687224669604,27,0.010812975570684821,1769,0.7084501401682018,79,0.031637965558670406,96,0.03844613536243492,563,0.2343880099916736,340,0.14154870940882597,88,0.03663613655287261,1047,0.4358867610324729,1,0.00041631973355537054,363,0.1511240632805995
8,0.35861389862677195,0.35306300052256795,0.6647548679206143,0.30710251200883454,0.5636601170242834,0.05781688820341224,0.2052860060809194,1088,0.325748502994012,170,0.05089820359281437,42,0.012574850299401197,1768,0.5293413173652695,6,0.0017964071856287425,266,0.07964071856287425,56,0.016018306636155607,2601,0.7439931350114416,218,0.062356979405034325,480,0.13729977116704806,1,0.0002860411899313501,140,0.04004576659038902,52,0.03571428571428571,810,0.5563186813186813,335,0.23008241758241757,189,0.12980769230769232,1,0.0006868131868131869,69,0.04739010989010989,614,0.11127220007249003,373,0.06759695541862994,53,0.009604929322218195,4260,0.7720188474084814,45,0.008155128669807901,173,0.0313519391083726,327,0.13095714857829396,151,0.06047256708049659,17,0.006808169803764518,1833,0.7340808970764918,76,0.030436523828594315,93,0.03724469363235883,686,0.28559533721898417,225,0.09367194004995837,61,0.0253955037468776,1068,0.4446294754371357,2,0.0008326394671107411,360,0.1498751040799334
9,0.4025843023761458,0.3582360541175695,0.7718834313413645,0.3952996878080993,0.5874751954201772,0.055388369978611,0.24722307559105303,1093,0.3272455089820359,35,0.010479041916167664,8,0.0023952095808383233,1860,0.5568862275449101,9,0.002694610778443114,335,0.10029940119760479,4,0.0011441647597254005,2979,0.852116704805492,244,0.06979405034324943,163,0.04662471395881007,0,0.0,106,0.03032036613272311,10,0.006868131868131868,934,0.6414835164835165,429,0.29464285714285715,63,0.04326923076923077,0,0.0,20,0.013736263736263736,652,0.11815875317143892,120,0.021747009786154403,14,0.0025371511417180137,4443,0.8051830373323668,54,0.009786154403769481,235,0.04258789416455237,334,0.13376051261513816,41,0.016419703644373247,2,0.0008009611533840609,1933,0.7741289547456949,73,0.02923508209851822,114,0.04565478574289147,668,0.2781015820149875,114,0.04746044962531224,17,0.007077435470441299,1146,0.47710241465445463,3,0.0012489592006661116,454,0.18900915903413823
