layer,f1_macro,f1_capable_failed,f1_honest_mistake,f1_natural_deception,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_capable_failed_natural_deception,cm_norm_capable_failed_natural_deception,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_natural_deception_capable_failed,cm_norm_natural_deception_capable_failed,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth
0,0.2777971290819745,0.263279768716978,0.5920931521404559,0.014917715360004167,0.24089788011046007,670,0.20059880239520958,2419,0.724251497005988,5,0.0014970059880239522,246,0.07365269461077845,427,0.07738310982239942,4908,0.8894527002537151,12,0.0021747009786154403,171,0.030989488945270025,195,0.07809371245494594,2190,0.8770524629555466,19,0.007609130957148579,93,0.03724469363235883,452,0.18817651956702747,1544,0.6427976686094921,7,0.0029142381348875937,399,0.16611157368859283
1,0.2970453739666251,0.3008872795518091,0.5899191048753265,0.04231092137146701,0.2550641900678977,820,0.24550898203592814,2282,0.6832335329341317,3,0.0008982035928143712,235,0.07035928143712575,536,0.09713664371148967,4744,0.8597317868793041,37,0.006705328017397608,201,0.036426241391808625,238,0.09531437725270324,2087,0.8358029635562675,55,0.022026431718061675,117,0.04685622747296756,512,0.21315570358034971,1453,0.6049125728559533,5,0.0020815986677768525,432,0.17985012489592006
2,0.3127457580657932,0.32969652480858913,0.5962404696061807,0.05283576821949525,0.2722102696289076,948,0.2838323353293413,2098,0.6281437125748504,8,0.0023952095808383233,286,0.08562874251497006,578,0.10474809713664371,4656,0.8437839797027908,64,0.011598405219282348,220,0.03986951794128307,276,0.1105326391670004,2034,0.8145774929915899,70,0.02803364036844213,117,0.04685622747296756,606,0.25228975853455454,1312,0.5462114904246461,7,0.0029142381348875937,477,0.19858451290591175
3,0.3197253451100984,0.33698292724783696,0.5967335885554801,0.059513905071694406,0.28567095956538235,982,0.2940119760479042,2039,0.6104790419161676,6,0.0017964071856287425,313,0.09371257485029941,618,0.11199710039869518,4607,0.8349039507067778,66,0.011960855382384922,227,0.04113809351214208,270,0.10812975570684821,2011,0.8053664397276732,79,0.031637965558670406,137,0.05486583900680817,617,0.2568692756036636,1266,0.5270607826810991,5,0.0020815986677768525,514,0.21398834304746045
4,0.3222647719344083,0.34270380136119577,0.5961035034248561,0.06131375537235663,0.2889380275792246,1011,0.3026946107784431,2030,0.6077844311377245,4,0.0011976047904191617,295,0.08832335329341318,647,0.11725262776368249,4592,0.8321855744835085,55,0.009967379485320768,224,0.04059441826748822,290,0.11613936724068882,1998,0.8001601922306768,81,0.032438926712054464,128,0.051261513816579896,613,0.25520399666944216,1269,0.5283097418817652,5,0.0020815986677768525,515,0.21440466278101583
5,0.32414506008601196,0.34280468078893966,0.6006123484867165,0.06659553362703353,0.28656767744135814,1002,0.3,2020,0.6047904191616766,9,0.002694610778443114,309,0.09251497005988024,587,0.10637912287060529,4640,0.8408843783979703,66,0.011960855382384922,225,0.040775643349039506,298,0.11934321185422507,2003,0.802162595114137,89,0.03564277132559071,107,0.042851421706047256,617,0.2568692756036636,1270,0.5287260616153205,6,0.002497918401332223,509,0.2119067443796836
6,0.3260287382717908,0.34233149890548475,0.5970569656139058,0.0575889849483785,0.30713750361939424,999,0.29910179640718565,2038,0.6101796407185629,5,0.0014970059880239522,298,0.08922155688622754,625,0.11326567596955418,4602,0.8339978252990213,55,0.009967379485320768,236,0.04276911924610366,275,0.11013215859030837,2013,0.8061674008810573,76,0.030436523828594315,133,0.05326391670004005,596,0.24812656119900084,1245,0.5183180682764363,4,0.0016652789342214821,557,0.23189009159034138
7,0.3272199697824511,0.34868510875783737,0.6001813447688684,0.054744596057421255,0.3052688295456773,1038,0.31077844311377245,1972,0.5904191616766467,4,0.0011976047904191617,326,0.09760479041916167,641,0.11616527727437477,4585,0.8309169989126495,46,0.008336353751359188,246,0.044581370061616526,304,0.12174609531437726,1994,0.7985582699239087,72,0.02883460152182619,127,0.050861033239887866,629,0.26186511240632804,1210,0.5037468776019983,4,0.0016652789342214821,559,0.23272273105745211
8,0.33082942094754175,0.36165509647232713,0.6064939161122578,0.057043126475264695,0.2981255447303176,1116,0.3341317365269461,1911,0.5721556886227545,8,0.0023952095808383233,305,0.09131736526946108,666,0.12069590431315694,4598,0.8332729249728162,46,0.008336353751359188,208,0.03769481696266763,337,0.13496195434521427,1975,0.7909491389667601,75,0.030036043251902282,110,0.04405286343612335,709,0.2951706910907577,1161,0.4833472106577852,2,0.0008326394671107411,530,0.2206494587843464
9,0.33298884861726047,0.3645830803395421,0.6035777220999087,0.05694875607338982,0.3068458359562012,1115,0.3338323353293413,1905,0.5703592814371258,5,0.0014970059880239522,315,0.09431137724550898,659,0.11942732874229793,4570,0.8281986226893802,55,0.009967379485320768,234,0.042406669083001086,341,0.13656387665198239,1967,0.7877452943532238,75,0.030036043251902282,114,0.04565478574289147,661,0.2751873438800999,1183,0.49250624479600336,2,0.0008326394671107411,556,0.231473771856786
10,0.3361889239913819,0.36424240021744086,0.6060475534908395,0.05703497743098512,0.31743076482626215,1135,0.3398203592814371,1872,0.5604790419161677,5,0.0014970059880239522,328,0.09820359281437126,695,0.12595143167814427,4554,0.8252990213845596,51,0.009242479159115621,218,0.0395070677781805,352,0.14096916299559473,1965,0.7869443331998398,75,0.030036043251902282,105,0.0420504605526632,705,0.2935054121565362,1120,0.466278101582015,1,0.00041631973355537054,576,0.23980016652789343
11,0.33996233117201535,0.3703401618168517,0.6071238096170931,0.059219494014059716,0.3231658592400568,1155,0.3458083832335329,1822,0.5455089820359281,6,0.0017964071856287425,357,0.10688622754491017,703,0.12740123233055456,4528,0.8205871692642261,50,0.009061254077564335,237,0.042950344327654946,343,0.13736483780536643,1944,0.7785342410893071,78,0.031237484981978373,132,0.05286343612334802,692,0.2880932556203164,1105,0.46003330557868444,2,0.0008326394671107411,603,0.25104079933388845
12,0.33511705072123704,0.37036605471017836,0.6059226092503378,0.04664556901045287,0.3175339699139792,1156,0.3461077844311377,1825,0.5464071856287425,3,0.0008982035928143712,356,0.10658682634730539,711,0.12885103298296485,4531,0.8211308445088801,49,0.008880028996013048,227,0.04113809351214208,336,0.13456147376852223,1965,0.7869443331998398,61,0.024429315178213857,135,0.054064877853424106,696,0.28975853455453787,1117,0.4650291423813489,0,0.0,589,0.24521232306411325
13,0.34289881563856933,0.38372810793991646,0.6126501816445016,0.05562997393374717,0.3195869990361122,1216,0.36407185628742517,1776,0.5317365269461077,2,0.0005988023952095808,346,0.10359281437125749,687,0.12450163102573396,4545,0.823667995650598,45,0.008155128669807901,241,0.04367524465386009,375,0.15018021625951142,1917,0.7677212655186223,73,0.02923508209851822,132,0.05286343612334802,721,0.30016652789342213,1081,0.45004163197335556,6,0.002497918401332223,594,0.2472939217318901
14,0.3529768619776676,0.389292279830279,0.6179835763602631,0.055790717341968186,0.34884087437815997,1224,0.3664670658682635,1712,0.5125748502994012,2,0.0005988023952095808,402,0.12035928143712575,671,0.12160202972091337,4551,0.8247553461399058,44,0.007973903588256614,252,0.04566872055092425,345,0.1381657989587505,1930,0.7729275130156188,73,0.02923508209851822,149,0.059671605927112535,707,0.29433805162364696,1018,0.4238134887593672,0,0.0,677,0.28184845961698585
15,0.355150007199976,0.40221155566624417,0.6204765775842898,0.055677045450134036,0.3422348500992361,1292,0.38682634730538923,1657,0.49610778443113773,2,0.0005988023952095808,389,0.11646706586826347,674,0.12214570496556723,4538,0.822399420079739,46,0.008336353751359188,260,0.04711852120333454,362,0.144973968762515,1928,0.7721265518622347,73,0.02923508209851822,134,0.05366439727673208,754,0.3139050791007494,987,0.4109075770191507,3,0.0012489592006661116,658,0.2739383846794338
16,0.35710846190755685,0.4109003801969002,0.6283930029366501,0.055577002363042485,0.33356346213363486,1350,0.4041916167664671,1543,0.4619760479041916,6,0.0017964071856287425,441,0.13203592814371257,689,0.12486408118883653,4534,0.8216745197535339,48,0.008698803914461761,247,0.04476259514316781,373,0.14937925510612735,1902,0.7617140568682419,73,0.02923508209851822,149,0.059671605927112535,818,0.3405495420482931,933,0.3884263114071607,3,0.0012489592006661116,648,0.2697751873438801
17,0.3632665593744439,0.42980194391482557,0.6304666426607213,0.05634293412300061,0.3364547167992283,1435,0.4296407185628742,1501,0.4494011976047904,7,0.002095808383233533,397,0.1188622754491018,701,0.12703878216745199,4536,0.8220369699166364,44,0.007973903588256614,237,0.042950344327654946,354,0.14177012414897877,1927,0.7717260712855426,74,0.029635562675210253,142,0.056868241890268324,847,0.35262281432139886,908,0.37801831806827646,4,0.0016652789342214821,643,0.26769358867610327
18,0.3669034893734237,0.43144609925273025,0.634547014502062,0.05715518476556621,0.34446565897333636,1447,0.43323353293413175,1479,0.442814371257485,0,0.0,414,0.12395209580838323,685,0.12413918086263138,4549,0.8243928959768032,49,0.008880028996013048,235,0.04258789416455237,372,0.1489787745294353,1919,0.7685222266720064,75,0.030036043251902282,131,0.05246295554665599,864,0.3597002497918401,873,0.36344712739383844,2,0.0008326394671107411,663,0.2760199833472107
19,0.37225305653539353,0.44342271490896473,0.6397193559345469,0.06138409601750394,0.34448605928055864,1515,0.4535928143712575,1416,0.4239520958083832,6,0.0017964071856287425,403,0.12065868263473054,699,0.1266763320043494,4550,0.8245741210583545,53,0.009604929322218195,216,0.039144617615077926,359,0.14377252703243892,1918,0.7681217460953144,81,0.032438926712054464,139,0.05566680016019223,921,0.38343047460449625,823,0.3426311407160699,0,0.0,658,0.2739383846794338
20,0.37335276672844453,0.4526134537959675,0.6431337369247925,0.05918759543621484,0.33847628075680347,1559,0.4667664670658683,1362,0.40778443113772456,3,0.0008982035928143712,416,0.12455089820359282,688,0.12468285610728524,4562,0.8267488220369699,50,0.009061254077564335,218,0.0395070677781805,368,0.1473768522226672,1927,0.7717260712855426,78,0.031237484981978373,124,0.04965959150981177,934,0.38884263114071604,818,0.3405495420482931,6,0.002497918401332223,644,0.2681099084096586
21,0.3746741774247539,0.4544965244026303,0.645362663688732,0.05770734729823981,0.3411301743094135,1566,0.4688622754491018,1342,0.40179640718562876,7,0.002095808383233533,425,0.12724550898203593,687,0.12450163102573396,4576,0.8292859731786879,46,0.008336353751359188,209,0.03787604204421892,366,0.14657589106928315,1930,0.7729275130156188,76,0.030436523828594315,125,0.0500600720865038,931,0.38759367194004996,815,0.339300582847627,6,0.002497918401332223,650,0.2706078268109908
22,0.3784273050033105,0.4609412546916797,0.6468271569108961,0.05784463630021609,0.34809617211045035,1612,0.48263473053892214,1308,0.3916167664670659,4,0.0011976047904191617,416,0.12455089820359282,714,0.1293947082276187,4561,0.8265675969554186,45,0.008155128669807901,198,0.035882566147154765,367,0.14697637164597516,1941,0.777332799359231,76,0.030436523828594315,113,0.04525430516619944,962,0.40049958368026645,775,0.3226477935054122,5,0.0020815986677768525,660,0.27477102414654453
23,0.3775305179008321,0.45263115756740213,0.6478566167006135,0.06437479494953866,0.3452595023857741,1593,0.47694610778443114,1329,0.3979041916167665,4,0.0011976047904191617,414,0.12395209580838323,721,0.13066328379847772,4554,0.8252990213845596,47,0.008517578832910475,196,0.03552011598405219,390,0.15618742490989188,1907,0.763716459751702,85,0.03404084901882259,115,0.0460552663195835,994,0.4138218151540383,751,0.31265611990008324,4,0.0016652789342214821,653,0.27185678601165697
24,0.3724658914748218,0.4513965916820008,0.6461657046095767,0.059231899257583355,0.3330693703501263,1570,0.47005988023952094,1348,0.4035928143712575,6,0.0017964071856287425,416,0.12455089820359282,693,0.1255889815150417,4582,0.8303733236679957,45,0.008155128669807901,198,0.035882566147154765,387,0.15498598317981577,1926,0.7713255907088507,78,0.031237484981978373,106,0.04245094112935523,964,0.4013322231473772,809,0.33680266444629475,5,0.0020815986677768525,624,0.2597835137385512
25,0.37293706947261746,0.45127482530532664,0.6425755942512315,0.06140905193994637,0.33648880639396533,1569,0.46976047904191615,1350,0.4041916167664671,7,0.002095808383233533,414,0.12395209580838323,704,0.12758245741210583,4546,0.8238492207321493,47,0.008517578832910475,221,0.04005074302283436,400,0.16019223067681218,1913,0.7661193432118543,81,0.032438926712054464,103,0.04124949939927913,939,0.3909242298084929,823,0.3426311407160699,4,0.0016652789342214821,636,0.26477935054121565
26,0.37218546232802974,0.449242911666712,0.6418702604159165,0.0601730009368306,0.3374556762926598,1553,0.46497005988023954,1402,0.41976047904191616,0,0.0,385,0.11526946107784432,689,0.12486408118883653,4568,0.8278361725262776,44,0.007973903588256614,217,0.03932584269662921,392,0.15698838606327592,1920,0.7689227072486985,79,0.031637965558670406,106,0.04245094112935523,940,0.3913405495420483,826,0.34388009991673607,4,0.0016652789342214821,632,0.2631140716069942
27,0.3699231346644064,0.4428265839606297,0.6411101339348597,0.05792731710852359,0.33782850365361294,1528,0.45748502994011975,1412,0.4227544910179641,2,0.0005988023952095808,398,0.11916167664670659,699,0.1266763320043494,4560,0.8263863718738673,45,0.008155128669807901,214,0.03878216745197535,395,0.15818982779335203,1912,0.7657188626351622,76,0.030436523828594315,114,0.04565478574289147,939,0.3909242298084929,824,0.3430474604496253,3,0.0012489592006661116,636,0.26477935054121565
28,0.3665120257342438,0.4434290361313649,0.638935133216643,0.057901278669292455,0.3257826549196746,1537,0.4601796407185629,1419,0.4248502994011976,3,0.0008982035928143712,381,0.11407185628742515,698,0.1264951069227981,4549,0.8243928959768032,47,0.008517578832910475,224,0.04059441826748822,414,0.1657989587505006,1903,0.762114537444934,76,0.030436523828594315,104,0.04164997997597117,943,0.3925895087427144,851,0.35428809325562033,2,0.0008326394671107411,606,0.25228975853455454
29,0.3662619510256246,0.44037749851049635,0.6351170141068805,0.05874482576298843,0.330808465722133,1495,0.4476047904191617,1462,0.4377245508982036,2,0.0005988023952095808,381,0.11407185628742515,696,0.12613265675969554,4563,0.8269300471185212,43,0.007792678506705328,216,0.039144617615077926,369,0.14777733279935923,1934,0.7745294353223868,77,0.030837004405286344,117,0.04685622747296756,890,0.37052456286427976,892,0.3713572023313905,2,0.0008326394671107411,618,0.257285595337219
30,0.36211354400896073,0.43592027817096113,0.6324932508025803,0.06083947503682141,0.3192011720254799,1468,0.43952095808383235,1486,0.44491017964071855,4,0.0011976047904191617,382,0.11437125748502994,686,0.12432040594418267,4565,0.8272924972816238,46,0.008336353751359188,221,0.04005074302283436,363,0.14537444933920704,1938,0.776131357629155,80,0.032038446135362435,116,0.04645574689627553,878,0.3655287260616153,928,0.38634471273938387,3,0.0012489592006661116,593,0.24687760199833472
31,0.3632777709143894,0.438250091754842,0.63352026761008,0.058819112679346065,0.32252161161328974,1480,0.4431137724550898,1480,0.4431137724550898,3,0.0008982035928143712,377,0.11287425149700599,680,0.12323305545487495,4567,0.8276549474447263,40,0.007249003262051468,231,0.041862993838347226,375,0.15018021625951142,1931,0.7733279935923107,77,0.030837004405286344,114,0.04565478574289147,878,0.3655287260616153,922,0.38384679433805163,1,0.00041631973355537054,601,0.2502081598667777
32,0.36228002654120417,0.4423835874375251,0.6329326626473312,0.05812971770215798,0.31567413837780245,1508,0.45149700598802395,1453,0.4350299401197605,1,0.0002994011976047904,378,0.11317365269461079,706,0.1279449075752084,4552,0.824936571221457,39,0.007067778180500181,221,0.04005074302283436,374,0.14977973568281938,1935,0.7749299158990789,76,0.030436523828594315,112,0.04485382458950741,890,0.37052456286427976,926,0.3855120732722731,2,0.0008326394671107411,584,0.24313072439633637
33,0.3614638064388853,0.43705111293297527,0.6317116229775124,0.058056903107381666,0.3190355867376719,1482,0.4437125748502994,1479,0.442814371257485,2,0.0005988023952095808,377,0.11287425149700599,706,0.1279449075752084,4552,0.824936571221457,41,0.007430228343602754,219,0.039688292859731786,361,0.144573488185823,1947,0.7797356828193832,76,0.030436523828594315,113,0.04525430516619944,893,0.3717735220649459,916,0.3813488759367194,2,0.0008326394671107411,591,0.246044962531224
34,0.35390813783256125,0.42421203932607987,0.6276877905734882,0.0588154611523077,0.3049172602783693,1439,0.4308383233532934,1531,0.45838323353293414,0,0.0,370,0.11077844311377245,718,0.13011960855382385,4534,0.8216745197535339,41,0.007430228343602754,225,0.040775643349039506,366,0.14657589106928315,1946,0.7793352022426913,77,0.030837004405286344,108,0.043251902282739285,921,0.38343047460449625,918,0.38218151540383016,3,0.0012489592006661116,560,0.2331390507910075
35,0.358281897346161,0.43623133508082035,0.631523332869963,0.05929528033235504,0.30607764110150565,1499,0.4488023952095808,1472,0.4407185628742515,2,0.0005988023952095808,367,0.10988023952095809,714,0.1293947082276187,4540,0.8227618702428416,50,0.009061254077564335,214,0.03878216745197535,386,0.15458550260312376,1942,0.7777332799359231,78,0.031237484981978373,91,0.03644373247897477,936,0.3896752706078268,906,0.3771856786011657,3,0.0012489592006661116,557,0.23189009159034138
