layer,f1_macro,f1_capable_failed,f1_honest_mistake,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,auroc,n_samples
0,0.6152644596201686,0.5792700932260744,0.6512588260142629,2105,0.529559748427673,1870,0.47044025157232705,1188,0.29376854599406527,2856,0.7062314540059347,0.6590686972351876,8019
1,0.6323832281609143,0.6093733195388051,0.6553931367830234,2291,0.5763522012578617,1684,0.42364779874213837,1252,0.3095944609297725,2792,0.6904055390702275,0.6846148725293035,8019
2,0.6416622064736728,0.6246951750206547,0.6586292379266907,2387,0.600503144654088,1588,0.39949685534591195,1278,0.31602373887240354,2766,0.6839762611275965,0.699404637457472,8019
3,0.6465648225331677,0.6292134670310332,0.6639161780353021,2400,0.6037735849056604,1575,0.39622641509433965,1252,0.3095944609297725,2792,0.6904055390702275,0.7074181590967362,8019
4,0.6504881129703952,0.6326047202375755,0.6683715057032149,2407,0.6055345911949686,1568,0.39446540880503145,1227,0.3034124629080119,2817,0.6965875370919882,0.7110242168653278,8019
5,0.6543226500212818,0.6351843975844247,0.6734609024581389,2408,0.6057861635220125,1567,0.3942138364779874,1196,0.29574678536102866,2848,0.7042532146389713,0.7141571096261152,8019
6,0.6484886766697808,0.6262589648039516,0.6707183885356102,2354,0.5922012578616352,1621,0.40779874213836476,1186,0.2932739861523244,2858,0.7067260138476755,0.7063257348077789,8019
7,0.6506071342291573,0.6288325374038599,0.6723817310544546,2366,0.5952201257861636,1609,0.4047798742138365,1181,0.2920375865479723,2863,0.7079624134520277,0.7087798954581187,8019
8,0.6541036541286791,0.6360863031747073,0.672121005082651,2418,0.6083018867924528,1557,0.39169811320754716,1209,0.29896142433234424,2835,0.7010385756676558,0.7216999409085672,8019
9,0.6589745388060813,0.6421887839066474,0.675760293705515,2448,0.6158490566037735,1527,0.3841509433962264,1201,0.2969831849653808,2843,0.7030168150346192,0.7281526049146183,8019
10,0.6598014227929758,0.6459724716095541,0.6736303739763976,2486,0.6254088050314466,1489,0.3745911949685535,1234,0.30514342235410485,2810,0.6948565776458951,0.7235239403432845,8019
11,0.6557714668957968,0.6396871733718215,0.6718557604197722,2446,0.6153459119496856,1529,0.3846540880503145,1225,0.30291790306627103,2819,0.697082096933729,0.7255395601248209,8019
12,0.6624169960940467,0.6465273315638079,0.6783066606242854,2471,0.6216352201257862,1504,0.37836477987421385,1197,0.2959940652818991,2847,0.7040059347181009,0.7297923567690864,8019
