layer,f1_macro,f1_deception,f1_natural_deception,cm_deception_deception,cm_norm_deception_deception,cm_deception_natural_deception,cm_norm_deception_natural_deception,cm_natural_deception_deception,cm_norm_natural_deception_deception,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,auroc,n_samples
0,0.8202695703771626,0.9015830952574163,0.738956045496909,4018,0.9275161588180979,314,0.07248384118190213,563,0.3120842572062084,1241,0.6879157427937915,0.9133048610240566,6136
1,0.8570188308922134,0.9194541949905158,0.794583466793911,4053,0.935595567867036,279,0.06440443213296398,431,0.23891352549889136,1373,0.7610864745011087,0.9413980352920499,6136
2,0.9032508927549368,0.9442546684334017,0.8622471170764717,4123,0.9517543859649122,209,0.04824561403508772,278,0.1541019955654102,1526,0.8458980044345898,0.9700246744300985,6136
3,0.9008575021324918,0.9432678740964484,0.8584471301685352,4131,0.953601108033241,201,0.046398891966759004,296,0.164079822616408,1508,0.835920177383592,0.9649027080477998,6136
4,0.9390653218828551,0.9644506844933535,0.9136799592723568,4192,0.9676823638042474,140,0.032317636195752536,169,0.09368070953436806,1635,0.906319290465632,0.9847869983292812,6136
5,0.9148431235263934,0.9508688066983414,0.8788174403544453,4151,0.9582179132040628,181,0.04178208679593721,248,0.13747228381374724,1556,0.8625277161862528,0.9748804160378606,6136
6,0.888498160927143,0.9360018667649163,0.8409944550893698,4096,0.9455216989843028,236,0.05447830101569714,324,0.17960088691796008,1480,0.8203991130820399,0.9606490543571592,6136
7,0.8800592343034048,0.9314203589816014,0.8286981096252083,4081,0.9420590951061866,251,0.05794090489381348,350,0.19401330376940132,1454,0.8059866962305987,0.9571438848195252,6136
8,0.9294349427567384,0.9588011609483882,0.9000687245650887,4165,0.961449676823638,167,0.03855032317636196,191,0.10587583148558759,1613,0.8941241685144125,0.9819524153308009,6136
9,0.977785224426182,0.9869714718426096,0.9685989770097543,4279,0.9877654662973222,53,0.012234533702677746,60,0.03325942350332594,1744,0.9667405764966741,0.9972874478150997,6136
10,0.9628338680114744,0.9782134012262892,0.9474543347966596,4243,0.9794552169898431,89,0.020544783010156973,100,0.05543237250554324,1704,0.9445676274944568,0.9931472917644918,6136
11,0.9699018185656727,0.9823676612073877,0.9574359759239577,4262,0.9838411819021238,70,0.016158818097876268,83,0.046008869179600884,1721,0.9539911308203991,0.9963605146992197,6136
12,0.9677576146756567,0.981091508353534,0.9544237209977794,4255,0.9822253000923361,77,0.017774699907663897,87,0.048226164079822616,1717,0.9517738359201774,0.99595493992529,6136
13,0.9840630911251587,0.9906651634489301,0.9774610188013874,4299,0.9923822714681441,33,0.007617728531855956,48,0.026607538802660754,1756,0.9733924611973392,0.9989075345740757,6136
14,0.9974468027099075,0.9984997112522833,0.9963938941675317,4326,0.9986149584487535,6,0.0013850415512465374,7,0.003880266075388027,1797,0.996119733924612,0.9999775872482786,6136
15,0.9978364532193684,0.9987319852540523,0.9969409211846847,4330,0.9995383194829178,2,0.0004616805170821791,9,0.004988913525498891,1795,0.9950110864745011,0.9999840012629425,6136
16,0.9980352412072337,0.9988467287322491,0.9972237536822185,4328,0.9990766389658357,4,0.0009233610341643582,6,0.0033259423503325942,1798,0.9966740576496674,0.9999827134817785,6136
17,0.9996068819684736,0.9997693194925029,0.9994444444444444,4331,0.9997691597414589,1,0.00023084025854108956,1,0.0005543237250554324,1803,0.9994456762749445,0.999998718441625,6136
18,0.9996069479111683,0.9997694524495678,0.9994444433727688,4332,1.0,0,0.0,2,0.0011086474501108647,1802,0.9988913525498891,1.0,6136
19,0.9996069479111683,0.9997694524495678,0.9994444433727688,4332,1.0,0,0.0,2,0.0011086474501108647,1802,0.9988913525498891,0.9999993592208124,6136
20,0.9996075841956444,0.9997691860745818,0.999445982316707,4331,0.9997691597414589,1,0.00023084025854108956,1,0.0005543237250554324,1803,0.9994456762749445,1.0,6136
21,1.0,1.0,1.0,4332,1.0,0,0.0,0,0.0,1804,1.0,1.0,6136
22,1.0,1.0,1.0,4332,1.0,0,0.0,0,0.0,1804,1.0,1.0,6136
23,1.0,1.0,1.0,4332,1.0,0,0.0,0,0.0,1804,1.0,1.0,6136
24,1.0,1.0,1.0,4332,1.0,0,0.0,0,0.0,1804,1.0,1.0,6136
25,0.9998032810539774,0.9998847262247839,0.9997218358831711,4332,1.0,0,0.0,1,0.0005543237250554324,1803,0.9994456762749445,1.0,6136
26,0.9998032810539774,0.9998847262247839,0.9997218358831711,4332,1.0,0,0.0,1,0.0005543237250554324,1803,0.9994456762749445,1.0,6136
27,0.9996062410946946,0.9997695852534563,0.9994428969359331,4332,1.0,0,0.0,2,0.0011086474501108647,1802,0.9988913525498891,1.0,6136
28,0.9998032810539774,0.9998847262247839,0.9997218358831711,4332,1.0,0,0.0,1,0.0005543237250554324,1803,0.9994456762749445,0.9999993592208124,6136
