layer,f1_macro,f1_honest_mistake,f1_natural_deception,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,auroc,n_samples
0,0.41322656056076523,0.8155801770369596,0.01087294408457087,4020,0.9940652818991098,24,0.005934718100890208,1794,0.9944567627494457,10,0.005543237250554324,0.5188635529917198,5848
1,0.4173622399538025,0.8153988438061839,0.019325636101421132,4013,0.9923343224530168,31,0.007665677546983185,1786,0.9900221729490022,18,0.009977827050997782,0.522539207906252,5848
2,0.4203383274492141,0.8159349567602646,0.024741698138163615,4014,0.9925816023738873,30,0.00741839762611276,1781,0.9872505543237251,23,0.012749445676274944,0.5301773218138595,5848
3,0.41858807891111716,0.8156864395273737,0.02148971829486062,4014,0.9925816023738873,30,0.00741839762611276,1784,0.9889135254988913,20,0.011086474501108648,0.5275125543021792,5848
4,0.4159216038679859,0.8136288229927204,0.01821438474325137,3999,0.9888724035608308,45,0.01112759643916914,1787,0.9905764966740577,17,0.009423503325942351,0.5313089785809524,5848
5,0.4225398837949734,0.8152646597532213,0.02981510783672555,4005,0.9903560830860534,39,0.009643916913946587,1776,0.9844789356984479,28,0.015521064301552107,0.5367946288463785,5848
6,0.41984661613902413,0.8159720541574311,0.023721178120617113,4015,0.9928288822947576,29,0.0071711177052423344,1782,0.9878048780487805,22,0.012195121951219513,0.5190650792957152,5848
7,0.4195572183191055,0.8144887938479757,0.02462564279023532,4002,0.9896142433234422,42,0.010385756676557863,1781,0.9872505543237251,23,0.012749445676274944,0.5340372219324936,5848
8,0.42045023437976187,0.8142917060597881,0.026608762699735646,3999,0.9888724035608308,45,0.01112759643916914,1779,0.9861419068736141,25,0.01385809312638581,0.5424372191849401,5848
9,0.41555465596874575,0.8159125404045587,0.01519677153293272,4020,0.9940652818991098,24,0.005934718100890208,1790,0.9922394678492239,14,0.007760532150776054,0.5430364219476845,5848
10,0.4178016735032872,0.8161229647101109,0.019480382296463414,4019,0.9938180019782393,25,0.006181998021760633,1786,0.9900221729490022,18,0.009977827050997782,0.542109414001503,5848
11,0.41873286481030325,0.8149276299548427,0.022538099665763832,4007,0.9908506429277942,37,0.009149357072205737,1783,0.988359201773836,21,0.01164079822616408,0.5457505259084404,5848
12,0.4151896871008808,0.8163103686802804,0.014069005521481135,4024,0.9950544015825915,20,0.004945598417408506,1791,0.9927937915742794,13,0.007206208425720621,0.5327351635399459,5848
13,0.4154526355723523,0.8157930013280235,0.015112269816681154,4019,0.9938180019782393,25,0.006181998021760633,1790,0.9922394678492239,14,0.007760532150776054,0.5444715136847241,5848
14,0.4126460064947438,0.8154973151117264,0.009794697877761258,4020,0.9940652818991098,24,0.005934718100890208,1795,0.9950110864745011,9,0.004988913525498891,0.5393736430917727,5848
15,0.421264858506962,0.815742572368974,0.026787144644949988,4011,0.9918397626112759,33,0.008160237388724036,1779,0.9861419068736141,25,0.01385809312638581,0.5484821543935123,5848
16,0.43169170164735415,0.814305933429457,0.0490774698652513,3984,0.9851632047477745,60,0.01483679525222552,1757,0.9739467849223947,47,0.026053215077605323,0.5605089772542614,5848
17,0.43241189196109503,0.8155169592890987,0.049306824633091294,3994,0.9876360039564788,50,0.012363996043521267,1757,0.9739467849223947,47,0.026053215077605323,0.5617602545944667,5848
18,0.427497310946562,0.8140035664599925,0.04099105543313151,3987,0.9859050445103857,57,0.014094955489614243,1765,0.9783813747228381,39,0.021618625277161862,0.558555438149816,5848
19,0.4229281512420256,0.8158677416561337,0.029988560827917454,4010,0.9915924826904056,34,0.008407517309594461,1776,0.9844789356984479,28,0.015521064301552107,0.5475630287503068,5848
20,0.4288488044455682,0.8163002949229835,0.04139731396815295,4006,0.9906033630069239,38,0.009396636993076163,1765,0.9783813747228381,39,0.021618625277161862,0.556565753348479,5848
21,0.42209591395732654,0.8135378730935553,0.030653954821097736,3990,0.9866468842729971,54,0.013353115727002967,1775,0.9839246119733924,29,0.01607538802660754,0.5546868306428724,5848
22,0.42580294489924503,0.8156462521125247,0.03595963768596531,4004,0.990108803165183,40,0.009891196834817012,1770,0.9811529933481153,34,0.018847006651884702,0.5531456991252439,5848
23,0.42143158772354244,0.8152160400479367,0.02764713539914825,4006,0.9906033630069239,38,0.009396636993076163,1778,0.9855875831485588,26,0.014412416851441241,0.5553813476513187,5848
24,0.42496875389695576,0.8140696095534972,0.035867898240414385,3991,0.9868941641938674,53,0.013105835806132542,1770,0.9811529933481153,34,0.018847006651884702,0.5588682130217001,5848
25,0.4237056889857247,0.8145451580384968,0.03286621993295252,3997,0.98837784371909,47,0.01162215628090999,1773,0.9828159645232816,31,0.017184035476718405,0.5517945067245204,5848
26,0.4206894218832551,0.8146534610859326,0.026725382680577586,4002,0.9896142433234422,42,0.010385756676557863,1779,0.9861419068736141,25,0.01385809312638581,0.5475609316030919,5848
27,0.4214056211524615,0.8159789966402162,0.026832245664706787,4013,0.9923343224530168,31,0.007665677546983185,1779,0.9861419068736141,25,0.01385809312638581,0.5516697051918451,5848
28,0.41938160845909356,0.8142477516693394,0.0245154652488477,4000,0.9891196834817013,44,0.010880316518298714,1781,0.9872505543237251,23,0.012749445676274944,0.5493857766442217,5848
29,0.42357359719457527,0.8151910356367867,0.031956158752363774,4003,0.9898615232443125,41,0.010138476755687438,1774,0.983370288248337,30,0.01662971175166297,0.5532393720712532,5848
30,0.42312413843946767,0.8153497540297368,0.030898522849198536,4005,0.9903560830860534,39,0.009643916913946587,1775,0.9839246119733924,29,0.01607538802660754,0.5520654543137853,5848
31,0.4211735434376982,0.8146181820235923,0.027728904851804154,4001,0.9893669634025717,43,0.01063303659742829,1778,0.9855875831485588,26,0.014412416851441241,0.5515158256141451,5848
32,0.4207181299368799,0.8156578801814293,0.025778379692330506,4011,0.9918397626112759,33,0.008160237388724036,1780,0.9866962305986696,24,0.013303769401330377,0.5512794231136695,5848
33,0.42132268346209106,0.8139764486016045,0.02866891832257772,3995,0.9878832838773491,49,0.01211671612265084,1777,0.9850332594235033,27,0.014966740576496674,0.5523783291206754,5848
34,0.4211224419509587,0.8154981492825802,0.026746734619337242,4009,0.9913452027695351,35,0.008654797230464886,1779,0.9861419068736141,25,0.01385809312638581,0.5499985333511386,5848
35,0.4221946291723511,0.8155438608771158,0.02884539746758637,4008,0.9910979228486647,36,0.008902077151335312,1777,0.9850332594235033,27,0.014966740576496674,0.5474004315195823,5848
