layer,f1_macro,f1_capable_failed,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.4918660470778891,0.7411863409515488,0.24254575320422944,3669,0.9230188679245283,306,0.07698113207547169,2256,0.846211552888222,410,0.15378844711177794,0.5616490626053339,6641
1,0.5207635543773473,0.7340692937600827,0.30745781499461194,3522,0.8860377358490567,453,0.11396226415094339,2099,0.7873218304576144,567,0.2126781695423856,0.5877391348887805,6641
2,0.532376937357699,0.7357156214501142,0.32903825326528385,3505,0.8817610062893082,470,0.11823899371069183,2048,0.768192048012003,618,0.231807951987997,0.6103699139925143,6641
3,0.526374968061062,0.7308234976371505,0.3219264384849735,3474,0.8739622641509434,501,0.12603773584905661,2058,0.7719429857464366,608,0.2280570142535634,0.6050874868837403,6641
4,0.5369625961210254,0.7329433817520452,0.34098181049000564,3464,0.8714465408805031,511,0.12855345911949687,2013,0.7550637659414854,653,0.24493623405851464,0.6149851801676804,6641
5,0.5499728413775524,0.7361179458609622,0.36382773689414255,3456,0.8694339622641509,519,0.13056603773584904,1958,0.7344336084021005,708,0.26556639159789946,0.6234130643715072,6641
6,0.5492926011980442,0.7356626585404124,0.3629225438556762,3453,0.8686792452830189,522,0.13132075471698113,1959,0.7348087021755438,707,0.2651912978244561,0.6128733919585898,6641
7,0.5456644900936168,0.731344848894644,0.35998413129258966,3421,0.86062893081761,554,0.13937106918238995,1959,0.7348087021755438,707,0.2651912978244561,0.6176577094483784,6641
8,0.5477846366190349,0.7332342782162774,0.3623349950217922,3433,0.8636477987421384,542,0.13635220125786163,1956,0.7336834208552138,710,0.2663165791447862,0.6099287285986149,6641
9,0.5486470729477645,0.7293288250829335,0.36796532081259553,3391,0.8530817610062893,584,0.1469182389937107,1933,0.7250562640660165,733,0.27494373593398347,0.6186695124138828,6641
10,0.5477854828293067,0.7307966249677142,0.3647743406908992,3408,0.8573584905660377,567,0.14264150943396225,1944,0.7291822955738935,722,0.27081770442610653,0.614680820626311,6641
11,0.5662262154532641,0.7385318630991715,0.3939205678073568,3426,0.8618867924528302,549,0.13811320754716983,1877,0.7040510127531883,789,0.2959489872468117,0.6311608418606977,6641
12,0.5556820057907935,0.7325275219166912,0.37883648966489575,3400,0.8553459119496856,575,0.14465408805031446,1908,0.7156789197299325,758,0.2843210802700675,0.6348004576211839,6641
13,0.5615096298862432,0.737440273745554,0.38557898602693236,3431,0.8631446540880503,544,0.13685534591194967,1899,0.7123030757689423,767,0.28769692423105775,0.6423025503228402,6641
14,0.5684045072591177,0.7384610412113357,0.39834797330689975,3418,0.859874213836478,557,0.140125786163522,1864,0.6991747936984246,802,0.3008252063015754,0.6426891109112655,6641
15,0.5670543799163187,0.7400439692655733,0.39406479056706406,3439,0.8651572327044025,536,0.1348427672955975,1880,0.7051762940735183,786,0.2948237059264816,0.6444669489698109,6641
16,0.5682712420572152,0.7407630412810674,0.395779442833363,3442,0.8659119496855346,533,0.1340880503144654,1876,0.7036759189797449,790,0.29632408102025504,0.6429310091473414,6641
17,0.5625930004814265,0.7377967048146298,0.3873892961482231,3431,0.8631446540880503,544,0.13685534591194967,1894,0.7104276069017255,772,0.2895723930982746,0.6418444567038909,6641
18,0.5634310525521431,0.7380651035151371,0.388797001589149,3431,0.8631446540880503,544,0.13685534591194967,1891,0.7093023255813954,775,0.29069767441860467,0.6419380823706641,6641
19,0.5662288218268212,0.7372915576359941,0.39516608601764824,3414,0.8588679245283019,561,0.14113207547169812,1871,0.7018004501125281,795,0.2981995498874719,0.6454775445521941,6641
20,0.5625954187044335,0.734676219041925,0.3905146183669419,3399,0.8550943396226415,576,0.1449056603773585,1879,0.704801200300075,787,0.29519879969992496,0.6404579685496142,6641
21,0.5660162939605697,0.7382309562290312,0.39380163169210824,3424,0.8613836477987421,551,0.13861635220125787,1877,0.7040510127531883,789,0.2959489872468117,0.6420816213087035,6641
