layer,f1_macro,f1_natural_deception,f1_truth,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.6163492424882018,0.5064713041905532,0.7262271807858502,808,0.44789356984478934,996,0.5521064301552107,577,0.21642910727681922,2089,0.7835708927231808,0.6886171024370025,4470
1,0.623183529932032,0.5198342695969789,0.7265327902670851,845,0.46840354767184034,959,0.5315964523281597,598,0.2243060765191298,2068,0.7756939234808702,0.6994364484510155,4470
2,0.6476120906940012,0.5574482150346871,0.7377759663533152,929,0.5149667405764967,875,0.48503325942350334,596,0.22355588897224307,2070,0.7764441110277569,0.7271471693378276,4470
3,0.6511767965234709,0.563568052374754,0.7387855406721877,945,0.5238359201773836,859,0.4761640798226164,600,0.2250562640660165,2066,0.7749437359339835,0.7285459522951998,4470
4,0.6550940207978329,0.570570764631386,0.7396172769642797,963,0.5338137472283814,841,0.4661862527716186,607,0.22768192048012004,2059,0.77231807951988,0.7404400318130279,4470
5,0.6556083892628907,0.5669969372272862,0.7442198412984952,942,0.5221729490022173,862,0.4778270509977827,575,0.21567891972993247,2091,0.7843210802700675,0.7394946754735134,4470
6,0.6526879207326601,0.5659041668326156,0.7394716746327046,950,0.5266075388026608,854,0.47339246119733924,601,0.22543135783945986,2065,0.7745686421605401,0.7360588640653303,4470
7,0.6481207480023907,0.556524185177387,0.7397173108273944,920,0.5099778270509978,884,0.49002217294900224,582,0.218304576144036,2084,0.781695423855964,0.7310996906733074,4470
8,0.6597547750180247,0.5727056457082655,0.7468039043277839,953,0.5282705099778271,851,0.47172949002217296,570,0.21380345086271568,2096,0.7861965491372843,0.7450656631377472,4470
9,0.67252540698828,0.59261827841562,0.75243253556094,1002,0.5554323725055432,802,0.4445676274944568,574,0.21530382595648911,2092,0.7846961740435109,0.7569746445269374,4470
10,0.6720172669478868,0.5913784221716404,0.7526561117241333,997,0.552660753880266,807,0.4473392461197339,570,0.21380345086271568,2096,0.7861965491372843,0.7566994696355129,4470
11,0.6760914083622966,0.5960453660254214,0.756137450699172,1002,0.5554323725055432,802,0.4445676274944568,557,0.20892723180795197,2109,0.791072768192048,0.7641232734150785,4470
12,0.6774224060854359,0.5937090205981936,0.7611357915726783,984,0.5454545454545454,820,0.45454545454545453,524,0.19654913728432108,2142,0.8034508627156789,0.766659915605745,4470
13,0.6852313705118189,0.607453079910858,0.7630096611127798,1024,0.5676274944567627,780,0.43237250554323725,540,0.20255063765941486,2126,0.7974493623405852,0.7760852651752902,4470
14,0.6891199520933251,0.614386816691853,0.7638530874947971,1043,0.5781596452328159,761,0.421840354767184,548,0.20555138784696175,2118,0.7944486121530383,0.7834937326572153,4470
