layer,f1_macro,f1_capable_failed,f1_deception,f1_deception_rejection,f1_honest_mistake,f1_natural_deception,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_deception,cm_norm_capable_failed_deception,cm_capable_failed_deception_rejection,cm_norm_capable_failed_deception_rejection,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_capable_failed_natural_deception,cm_norm_capable_failed_natural_deception,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_deception_capable_failed,cm_norm_deception_capable_failed,cm_deception_deception,cm_norm_deception_deception,cm_deception_deception_rejection,cm_norm_deception_deception_rejection,cm_deception_honest_mistake,cm_norm_deception_honest_mistake,cm_deception_natural_deception,cm_norm_deception_natural_deception,cm_deception_truth,cm_norm_deception_truth,cm_deception_rejection_capable_failed,cm_norm_deception_rejection_capable_failed,cm_deception_rejection_deception,cm_norm_deception_rejection_deception,cm_deception_rejection_deception_rejection,cm_norm_deception_rejection_deception_rejection,cm_deception_rejection_honest_mistake,cm_norm_deception_rejection_honest_mistake,cm_deception_rejection_natural_deception,cm_norm_deception_rejection_natural_deception,cm_deception_rejection_truth,cm_norm_deception_rejection_truth,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_deception,cm_norm_honest_mistake_deception,cm_honest_mistake_deception_rejection,cm_norm_honest_mistake_deception_rejection,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_natural_deception_capable_failed,cm_norm_natural_deception_capable_failed,cm_natural_deception_deception,cm_norm_natural_deception_deception,cm_natural_deception_deception_rejection,cm_norm_natural_deception_deception_rejection,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_deception,cm_norm_truth_deception,cm_truth_deception_rejection,cm_norm_truth_deception_rejection,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth
0,0.28556978154964363,0.3845125430313604,0.700305542770774,0.041579557702142646,0.447649388204583,0.003290698372665586,0.13608095921633603,1602,0.4030188679245283,526,0.13232704402515724,3,0.0007547169811320754,1612,0.40553459119496854,2,0.0005031446540880503,230,0.05786163522012579,299,0.06902123730378577,3438,0.7936288088642659,15,0.0034626038781163434,488,0.11265004616805172,1,0.00023084025854108956,91,0.02100646352723915,33,0.09649122807017543,188,0.5497076023391813,8,0.023391812865497075,107,0.3128654970760234,0,0.0,6,0.017543859649122806,912,0.22551928783382788,643,0.1590009891196835,8,0.0019782393669634025,2370,0.586053412462908,2,0.0004945598417408506,109,0.02695351137487636,403,0.22339246119733924,279,0.15465631929046564,3,0.0016629711751662971,1059,0.5870288248337029,3,0.0016629711751662971,57,0.03159645232815964,1109,0.41597899474868716,414,0.15528882220555137,2,0.0007501875468867217,907,0.3402100525131283,3,0.0011252813203300824,231,0.08664666166541636
1,0.3102177696471484,0.4247176408060927,0.7489815076245383,0.06593251349369493,0.45047915363925395,0.0022008627866495116,0.1689949395326611,1842,0.4633962264150943,408,0.10264150943396226,6,0.0015094339622641509,1414,0.3557232704402516,1,0.00025157232704402514,304,0.07647798742138365,203,0.04686057248384118,3634,0.8388734995383195,10,0.0023084025854108957,367,0.08471837488457987,0,0.0,118,0.02723915050784857,20,0.05847953216374269,252,0.7368421052631579,13,0.038011695906432746,53,0.15497076023391812,0,0.0,4,0.011695906432748537,1026,0.25370919881305637,536,0.13254203758654798,11,0.0027200791295746785,2264,0.559841740850643,5,0.0012363996043521265,202,0.049950544015825916,501,0.2777161862527716,218,0.12084257206208426,3,0.0016629711751662971,989,0.5482261640798226,2,0.0011086474501108647,91,0.05044345898004435,1107,0.41522880720180044,325,0.12190547636909227,1,0.00037509377344336085,919,0.3447111777944486,2,0.0007501875468867217,312,0.11702925731432859
2,0.351603045430267,0.44543711860719604,0.8094040192601268,0.17082050125636233,0.4805614430060093,0.001092896174863388,0.2023022942770442,1980,0.4981132075471698,247,0.062138364779874215,7,0.001761006289308176,1402,0.35270440251572327,7,0.001761006289308176,332,0.08352201257861636,121,0.027931671283471838,3797,0.8765004616805171,26,0.006001846722068329,274,0.06325023084025855,0,0.0,114,0.02631578947368421,17,0.049707602339181284,246,0.7192982456140351,36,0.10526315789473684,41,0.11988304093567251,0,0.0,2,0.005847953216374269,1053,0.2603857566765579,356,0.08803165182987141,6,0.001483679525222552,2403,0.594213649851632,7,0.0017309594460929772,219,0.05415430267062315,541,0.2998891352549889,138,0.07649667405764966,1,0.0005543237250554324,1029,0.5703991130820399,1,0.0005543237250554324,94,0.052106430155210645,1204,0.45161290322580644,266,0.09977494373593399,3,0.0011252813203300824,807,0.3027006751687922,0,0.0,386,0.1447861965491373
3,0.3559769828818335,0.4470452493342175,0.8011205055229016,0.20679464954870092,0.48616078352346603,0.0,0.19474070936171448,1994,0.5016352201257862,262,0.06591194968553458,7,0.001761006289308176,1392,0.350188679245283,4,0.0010062893081761006,316,0.07949685534591194,139,0.03208679593721145,3749,0.8654201292705448,21,0.004847645429362881,288,0.0664819944598338,2,0.0004616805170821791,133,0.03070175438596491,17,0.049707602339181284,236,0.6900584795321637,45,0.13157894736842105,42,0.12280701754385964,0,0.0,2,0.005847953216374269,1050,0.2596439169139466,361,0.08926805143422355,8,0.0019782393669634025,2441,0.6036102868447082,6,0.001483679525222552,178,0.044015825914935705,522,0.2893569844789357,152,0.08425720620842572,3,0.0016629711751662971,1031,0.5715077605321508,0,0.0,96,0.05321507760532151,1225,0.459489872468117,267,0.10015003750937734,4,0.0015003750937734434,804,0.3015753938484621,0,0.0,366,0.13728432108027006
4,0.3867562048485919,0.45528485677361763,0.8590763961342963,0.2815477768138619,0.5014373655476749,0.001098901098901099,0.2220919327231993,2032,0.5111949685534591,163,0.041006289308176104,5,0.0012578616352201257,1423,0.3579874213836478,6,0.0015094339622641509,346,0.08704402515723271,74,0.017082179132040628,3934,0.9081255771006463,40,0.009233610341643583,152,0.03508771929824561,1,0.00023084025854108956,131,0.030240073868882732,14,0.04093567251461988,234,0.6842105263157895,66,0.19298245614035087,26,0.07602339181286549,1,0.0029239766081871343,1,0.0029239766081871343,1079,0.26681503461918893,236,0.058358061325420374,5,0.0012363996043521265,2534,0.6266073194856577,7,0.0017309594460929772,183,0.045252225519287835,541,0.2998891352549889,86,0.04767184035476718,4,0.0022172949002217295,1080,0.5986696230598669,1,0.0005543237250554324,92,0.050997782705099776,1209,0.45348837209302323,174,0.06526631657914479,3,0.0011252813203300824,849,0.3184546136534134,4,0.0015003750937734434,427,0.16016504126031508
5,0.3777316314856902,0.4585572854588178,0.8285707519825811,0.2326808460977193,0.49876554554719454,0.0011049723756906076,0.2467103874521382,2021,0.5084276729559748,216,0.05433962264150943,5,0.0012578616352201257,1364,0.34314465408805034,2,0.0005031446540880503,367,0.09232704402515723,111,0.025623268698060944,3852,0.889196675900277,42,0.009695290858725761,203,0.04686057248384118,0,0.0,124,0.028624192059095107,14,0.04093567251461988,240,0.7017543859649122,53,0.15497076023391812,34,0.09941520467836257,1,0.0029239766081871343,0,0.0,1023,0.2529673590504451,320,0.0791295746785361,5,0.0012363996043521265,2498,0.6177052423343224,1,0.0002472799208704253,197,0.048714144411473786,535,0.2965631929046563,117,0.06485587583148558,1,0.0005543237250554324,1050,0.582039911308204,1,0.0005543237250554324,100,0.05543237250554324,1132,0.42460615153788445,220,0.08252063015753938,2,0.0007501875468867217,825,0.3094523630907727,1,0.00037509377344336085,486,0.18229557389347337
6,0.3611714621348754,0.4387258398085959,0.7928763026010818,0.1881191179393272,0.48433459521930605,0.0,0.26297291724094146,1908,0.48,285,0.07169811320754717,3,0.0007547169811320754,1398,0.3516981132075472,1,0.00025157232704402514,380,0.09559748427672957,178,0.041089566020313946,3725,0.8598799630655586,28,0.006463527239150508,271,0.06255771006463527,1,0.00023084025854108956,129,0.029778393351800554,18,0.05263157894736842,243,0.7105263157894737,40,0.11695906432748537,36,0.10526315789473684,1,0.0029239766081871343,4,0.011695906432748537,987,0.24406528189910978,436,0.10781404549950543,9,0.002225519287833828,2422,0.5989119683481702,2,0.0004945598417408506,188,0.04648862512363996,514,0.28492239467849223,151,0.0837028824833703,2,0.0011086474501108647,1035,0.5737250554323725,0,0.0,102,0.0565410199556541,1119,0.4197299324831208,224,0.08402100525131283,0,0.0,796,0.29857464366091524,2,0.0007501875468867217,525,0.19692423105776444
7,0.36513677895754726,0.44384165366935735,0.792636066912253,0.22819997512139106,0.48170000387002754,0.0,0.24444297417225455,1927,0.4847798742138365,280,0.07044025157232704,3,0.0007547169811320754,1374,0.3456603773584906,2,0.0005031446540880503,389,0.09786163522012578,174,0.04016620498614958,3711,0.8566481994459834,33,0.007617728531855956,300,0.06925207756232687,1,0.00023084025854108956,113,0.02608494921514312,18,0.05263157894736842,230,0.672514619883041,50,0.14619883040935672,39,0.11403508771929824,1,0.0029239766081871343,4,0.011695906432748537,974,0.24085064292779426,420,0.10385756676557864,6,0.001483679525222552,2421,0.5986646884272997,9,0.002225519287833828,214,0.05291790306627102,509,0.2821507760532151,158,0.08758314855875832,1,0.0005543237250554324,1033,0.5726164079822617,0,0.0,103,0.05709534368070954,1106,0.4148537134283571,232,0.08702175543885972,1,0.00037509377344336085,840,0.3150787696924231,1,0.00037509377344336085,486,0.18229557389347337
8,0.38360711958310917,0.46604754286301275,0.8540608618453852,0.21617916476188936,0.5131548967135312,0.0032817810712581657,0.24891847024357813,2064,0.519245283018868,150,0.03773584905660377,2,0.0005031446540880503,1383,0.3479245283018868,6,0.0015094339622641509,370,0.0930817610062893,75,0.01731301939058172,3912,0.9030470914127424,37,0.008541089566020314,193,0.044552169898430284,4,0.0009233610341643582,111,0.025623268698060944,12,0.03508771929824561,255,0.7456140350877193,48,0.14035087719298245,26,0.07602339181286549,0,0.0,1,0.0029239766081871343,999,0.2470326409495549,236,0.058358061325420374,4,0.0009891196834817012,2587,0.6397131552917903,11,0.0027200791295746785,207,0.05118694362017804,539,0.29878048780487804,88,0.04878048780487805,5,0.002771618625277162,1064,0.5898004434589801,3,0.0016629711751662971,105,0.0582039911308204,1195,0.4482370592648162,188,0.07051762940735183,3,0.0011252813203300824,786,0.2948237059264816,2,0.0007501875468867217,492,0.18454613653413354
9,0.40750707152019516,0.4644602647078931,0.9129228653506767,0.2823107357885683,0.5284883569241506,0.0021888848963947777,0.2546713214534874,2051,0.5159748427672955,42,0.010566037735849057,3,0.0007547169811320754,1439,0.3620125786163522,4,0.0010062893081761006,436,0.10968553459119497,21,0.004847645429362881,4110,0.9487534626038782,42,0.009695290858725761,58,0.013388734995383195,2,0.0004616805170821791,99,0.022853185595567867,6,0.017543859649122806,253,0.7397660818713451,66,0.19298245614035087,17,0.049707602339181284,0,0.0,0,0.0,1005,0.24851632047477745,106,0.026211671612265085,5,0.0012363996043521265,2679,0.6624629080118695,6,0.001483679525222552,243,0.06008902077151335,556,0.3082039911308204,32,0.017738359201773836,6,0.0033259423503325942,1105,0.6125277161862528,2,0.0011086474501108647,103,0.05709534368070954,1218,0.4568642160540135,129,0.04838709677419355,2,0.0007501875468867217,798,0.29932483120780196,1,0.00037509377344336085,518,0.1942985746436609
