layer,f1_macro,f1_capable_failed,f1_honest_mistake,f1_natural_deception,f1_truth,cm_capable_failed_capable_failed,cm_norm_capable_failed_capable_failed,cm_capable_failed_honest_mistake,cm_norm_capable_failed_honest_mistake,cm_capable_failed_natural_deception,cm_norm_capable_failed_natural_deception,cm_capable_failed_truth,cm_norm_capable_failed_truth,cm_honest_mistake_capable_failed,cm_norm_honest_mistake_capable_failed,cm_honest_mistake_honest_mistake,cm_norm_honest_mistake_honest_mistake,cm_honest_mistake_natural_deception,cm_norm_honest_mistake_natural_deception,cm_honest_mistake_truth,cm_norm_honest_mistake_truth,cm_natural_deception_capable_failed,cm_norm_natural_deception_capable_failed,cm_natural_deception_honest_mistake,cm_norm_natural_deception_honest_mistake,cm_natural_deception_natural_deception,cm_norm_natural_deception_natural_deception,cm_natural_deception_truth,cm_norm_natural_deception_truth,cm_truth_capable_failed,cm_norm_truth_capable_failed,cm_truth_honest_mistake,cm_norm_truth_honest_mistake,cm_truth_natural_deception,cm_norm_truth_natural_deception,cm_truth_truth,cm_norm_truth_truth
0,0.28104862826871974,0.4222574547198681,0.5092933249786402,0.0022008294735567464,0.19044290390281388,1819,0.45761006289308176,1881,0.47320754716981134,3,0.0007547169811320754,272,0.06842767295597484,1089,0.2692878338278932,2820,0.6973293768545994,7,0.0017309594460929772,128,0.03165182987141444,502,0.27827050997782704,1229,0.6812638580931264,2,0.0011086474501108647,71,0.0393569844789357,1230,0.46136534133533386,1100,0.41260315078769694,6,0.002250562640660165,330,0.12378094523630907
1,0.2973262708796106,0.44803112492127717,0.5111174050594685,0.003287867589419696,0.2268686859482772,1980,0.4981132075471698,1654,0.4161006289308176,8,0.002012578616352201,333,0.08377358490566038,1115,0.2757171117705242,2696,0.6666666666666666,6,0.001483679525222552,227,0.056132542037586546,554,0.3070953436807095,1133,0.6280487804878049,3,0.0016629711751662971,114,0.06319290465631928,1214,0.4553638409602401,1022,0.3833458364591148,3,0.0011252813203300824,427,0.16016504126031508
2,0.31340622535532153,0.4567996531794818,0.5202222591963682,0.003287720453932988,0.2733152685915032,2045,0.5144654088050314,1553,0.39069182389937107,4,0.0010062893081761006,373,0.09383647798742138,1125,0.27818991097922846,2670,0.6602373887240356,11,0.0027200791295746785,238,0.05885262116716122,560,0.31042128603104213,1119,0.6202882483370288,3,0.0016629711751662971,122,0.06762749445676275,1248,0.46811702925731435,879,0.32970742685671417,1,0.00037509377344336085,538,0.20180045011252815
3,0.3134321697138559,0.4610289067705584,0.5276924313786269,0.0011019283746556475,0.2639054123315827,2057,0.5174842767295598,1541,0.38767295597484275,3,0.0007547169811320754,374,0.0940880503144654,1090,0.2695351137487636,2737,0.6768051434223541,7,0.0017309594460929772,210,0.05192878338278932,538,0.2982261640798226,1160,0.6430155210643016,1,0.0005543237250554324,105,0.0582039911308204,1263,0.4737434358589647,891,0.3342085521380345,2,0.0007501875468867217,510,0.19129782445611404
4,0.32142369426592315,0.46825824836597674,0.5299359785971156,0.0032727651888288245,0.2842277849117713,2088,0.5252830188679245,1495,0.37610062893081764,5,0.0012578616352201257,387,0.09735849056603774,1090,0.2695351137487636,2733,0.6758160237388724,9,0.002225519287833828,212,0.05242334322453017,544,0.30155210643015523,1161,0.643569844789357,3,0.0016629711751662971,96,0.05321507760532151,1221,0.4579894973743436,882,0.33083270817704424,6,0.002250562640660165,557,0.20892723180795197
5,0.3282890721496371,0.4668114021419788,0.5373166699904222,0.0011049723756906076,0.3079232440904568,2053,0.5164779874213836,1508,0.37937106918238994,1,0.00025157232704402514,413,0.10389937106918239,1050,0.2596439169139466,2780,0.6874381800197824,6,0.001483679525222552,208,0.051434223541048464,543,0.3009977827050998,1141,0.6324833702882483,1,0.0005543237250554324,119,0.06596452328159645,1172,0.43960990247561893,874,0.3278319579894974,0,0.0,620,0.23255813953488372
6,0.323593867862991,0.4589241769645004,0.5306195877431463,0.001098901098901099,0.30373280564541616,2011,0.5059119496855345,1559,0.39220125786163523,1,0.00025157232704402514,404,0.10163522012578616,1055,0.26088031651829874,2752,0.6805143422354105,6,0.001483679525222552,231,0.05712166172106825,543,0.3009977827050998,1142,0.6330376940133038,1,0.0005543237250554324,118,0.06541019955654102,1178,0.4418604651162791,876,0.3285821455363841,0,0.0,612,0.22955738934733683
7,0.3214261196836686,0.46162379796816166,0.5276065910228804,0.002203856749311295,0.2942702329943209,2022,0.5086792452830189,1544,0.38842767295597486,3,0.0007547169811320754,406,0.10213836477987422,1052,0.26013847675568746,2733,0.6758160237388724,11,0.0027200791295746785,248,0.06132542037586548,537,0.2976718403547672,1143,0.6335920177383592,2,0.0011086474501108647,122,0.06762749445676275,1174,0.44036009002250565,896,0.3360840210052513,2,0.0007501875468867217,594,0.22280570142535633
8,0.3259883809084897,0.4675469097570826,0.5389122508294554,0.00541147283974888,0.2920828902076719,2073,0.5215094339622641,1486,0.37383647798742137,6,0.0015094339622641509,410,0.10314465408805032,1028,0.2542037586547972,2771,0.6852126607319485,20,0.004945598417408506,225,0.055637982195845696,555,0.307649667405765,1138,0.6308203991130821,5,0.002771618625277162,106,0.058758314855875834,1236,0.463615903975994,844,0.31657914478619653,3,0.0011252813203300824,583,0.21867966991747936
9,0.32734970523690377,0.4652613539534417,0.53911996904196,0.002194791509860003,0.30282270644235343,2064,0.519245283018868,1452,0.3652830188679245,3,0.0007547169811320754,456,0.11471698113207547,1026,0.25370919881305637,2746,0.679030662710188,10,0.002472799208704253,262,0.06478733926805143,573,0.31762749445676275,1136,0.6297117516629712,2,0.0011086474501108647,93,0.05155210643015521,1234,0.4628657164291073,810,0.3038259564891223,2,0.0007501875468867217,620,0.23255813953488372
